,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/01/2023,Cash,$0.34,08/03/2023,09/05/2023,10/02/2023,USD
1,06/02/2023,Cash,$0.34,05/04/2023,06/05/2023,07/05/2023,USD
2,03/03/2023,Cash,$0.34,02/09/2023,03/06/2023,04/03/2023,USD
3,12/02/2022,Cash,$0.34,11/15/2022,12/05/2022,12/28/2022,USD
4,09/02/2022,Cash,$0.305,08/04/2022,09/06/2022,10/03/2022,USD
5,06/03/2022,Cash,$0.305,05/05/2022,06/06/2022,07/01/2022,USD
6,03/04/2022,Cash,$0.305,02/10/2022,03/07/2022,04/01/2022,USD
7,12/03/2021,Cash,$0.305,11/18/2021,12/06/2021,12/28/2021,USD
8,08/27/2021,Cash,$0.275,08/05/2021,08/30/2021,10/01/2021,USD
9,05/28/2021,Cash,$0.275,05/06/2021,06/01/2021,07/01/2021,USD
10,02/26/2021,Cash,$0.275,02/11/2021,03/01/2021,04/01/2021,USD
11,12/04/2020,Cash,$0.275,11/20/2020,12/07/2020,12/29/2020,USD
12,08/28/2020,Cash,$0.245,08/06/2020,08/31/2020,10/01/2020,USD
13,05/29/2020,Cash,$0.245,05/07/2020,06/01/2020,07/01/2020,USD
14,02/28/2020,Cash,$0.245,02/13/2020,03/02/2020,04/01/2020,USD
15,11/29/2019,Cash,$0.245,11/15/2019,12/02/2019,01/02/2020,USD
16,08/30/2019,Cash,$0.22,08/09/2019,09/03/2019,09/30/2019,USD
17,05/31/2019,Cash,$0.22,05/10/2019,06/03/2019,07/01/2019,USD
18,03/01/2019,Cash,$0.22,02/15/2019,03/04/2019,04/01/2019,USD
19,11/30/2018,Cash,$0.22,11/16/2018,12/03/2018,01/02/2019,USD
20,08/31/2018,Cash,$0.20,08/10/2018,09/04/2018,10/01/2018,USD
21,06/01/2018,Cash,$0.20,05/10/2018,06/04/2018,07/05/2018,USD
22,03/02/2018,Cash,$0.20,02/15/2018,03/05/2018,04/02/2018,USD
23,12/01/2017,Cash,$0.20,11/16/2017,12/04/2017,01/02/2018,USD
24,08/31/2017,Cash,$0.18,08/10/2017,09/05/2017,10/02/2017,USD
25,06/01/2017,Cash,$0.18,05/11/2017,06/05/2017,07/05/2017,USD
26,03/02/2017,Cash,$0.18,02/16/2017,03/06/2017,04/03/2017,USD
27,12/01/2016,Cash,$0.18,11/17/2016,12/05/2016,01/03/2017,USD
28,09/01/2016,Cash,$0.16,08/11/2016,09/06/2016,10/03/2016,USD
29,06/02/2016,Cash,$0.16,05/13/2016,06/06/2016,07/05/2016,USD
30,03/03/2016,Cash,$0.16,02/11/2016,03/07/2016,04/04/2016,USD
