,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/04/2024,Cash,$0.50,11/28/2023,01/05/2024,01/24/2024,USD
1,10/05/2023,Cash,$0.50,08/23/2023,10/06/2023,10/25/2023,USD
2,07/06/2023,Cash,$0.50,05/31/2023,07/07/2023,07/26/2023,USD
3,04/05/2023,Cash,$0.50,02/22/2023,04/06/2023,04/26/2023,USD
4,01/05/2023,Cash,$0.50,11/29/2022,01/06/2023,01/25/2023,USD
5,10/06/2022,Cash,$0.50,08/24/2022,10/07/2022,10/26/2022,USD
6,07/07/2022,Cash,$0.50,06/01/2022,07/08/2022,07/27/2022,USD
7,04/07/2022,Cash,$0.50,02/23/2022,04/08/2022,04/27/2022,USD
8,01/06/2022,Cash,$0.50,11/30/2021,01/07/2022,01/26/2022,USD
9,10/07/2021,Cash,$0.50,08/25/2021,10/08/2021,10/27/2021,USD
10,07/08/2021,Cash,$0.50,06/02/2021,07/09/2021,07/28/2021,USD
11,04/08/2021,Cash,$0.48,02/24/2021,04/09/2021,04/28/2021,USD
12,01/07/2021,Cash,$0.48,12/01/2020,01/08/2021,01/27/2021,USD
13,10/08/2020,Cash,$0.48,08/26/2020,10/09/2020,10/28/2020,USD
14,07/09/2020,Cash,$0.48,05/27/2020,07/10/2020,07/29/2020,USD
15,04/02/2020,Cash,$0.48,02/12/2020,04/03/2020,04/22/2020,USD
16,01/02/2020,Cash,$0.48,11/13/2019,01/03/2020,01/22/2020,USD
17,10/03/2019,Cash,$0.48,08/14/2019,10/04/2019,10/23/2019,USD
18,07/03/2019,Cash,$0.48,05/22/2019,07/05/2019,07/24/2019,USD
19,04/04/2019,Cash,$0.40,02/13/2019,04/05/2019,04/24/2019,USD
20,01/03/2019,Cash,$0.40,11/14/2018,01/04/2019,01/23/2019,USD
21,10/04/2018,Cash,$0.40,08/15/2018,10/05/2018,10/24/2018,USD
22,07/05/2018,Cash,$0.40,05/23/2018,07/06/2018,07/25/2018,USD
23,04/05/2018,Cash,$0.20,02/14/2018,04/06/2018,04/25/2018,USD
24,01/04/2018,Cash,$0.20,11/15/2017,01/05/2018,01/24/2018,USD
25,10/05/2017,Cash,$0.20,08/16/2017,10/06/2017,10/25/2017,USD
26,07/05/2017,Cash,$0.20,05/24/2017,07/07/2017,07/26/2017,USD
27,04/05/2017,Cash,$0.19,02/15/2017,04/07/2017,04/26/2017,USD
28,01/04/2017,Cash,$0.19,11/16/2016,01/06/2017,01/25/2017,USD
29,10/05/2016,Cash,$0.19,08/17/2016,10/07/2016,10/26/2016,USD
30,07/14/2016,Cash,$0.19,05/25/2016,07/18/2016,07/27/2016,USD
31,04/06/2016,Cash,$0.18,02/17/2016,04/08/2016,04/27/2016,USD
32,01/06/2016,Cash,$0.18,11/18/2015,01/08/2016,01/20/2016,USD
33,10/07/2015,Cash,$0.18,08/19/2015,10/09/2015,10/21/2015,USD
34,07/08/2015,Cash,$0.18,05/20/2015,07/10/2015,07/23/2015,USD
35,04/08/2015,Cash,$0.165,02/11/2015,04/10/2015,04/23/2015,USD
36,01/07/2015,Cash,$0.165,11/12/2014,01/09/2015,01/22/2015,USD
37,10/08/2014,Cash,$0.165,08/13/2014,10/10/2014,10/22/2014,USD
38,07/08/2014,Cash,$0.165,05/21/2014,07/10/2014,07/22/2014,USD
39,04/08/2014,Cash,$0.15,02/12/2014,04/10/2014,04/22/2014,USD
40,01/07/2014,Cash,$0.15,11/13/2013,01/09/2014,01/22/2014,USD
41,10/17/2013,Cash,$0.15,08/14/2013,10/21/2013,10/25/2013,USD
42,07/09/2013,Cash,$0.15,05/21/2013,07/11/2013,07/23/2013,USD
