,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/14/2023,Cash,$0.08,08/24/2023,09/15/2023,09/29/2023,USD
1,06/14/2023,Cash,$0.08,05/25/2023,06/15/2023,06/30/2023,USD
2,03/14/2023,Cash,$0.08,03/01/2023,03/15/2023,03/31/2023,USD
3,12/16/2022,Cash,$0.08,12/09/2022,12/19/2022,12/30/2022,USD
4,09/15/2022,Cash,$0.08,08/29/2022,09/16/2022,09/30/2022,USD
5,06/14/2022,Cash,$0.08,05/26/2022,06/15/2022,06/30/2022,USD
6,03/14/2022,Cash,$0.08,02/23/2022,03/15/2022,03/30/2022,USD
7,12/20/2021,Cash,$0.08,12/10/2021,12/21/2021,12/31/2021,USD
8,09/15/2021,Cash,$0.08,08/27/2021,09/16/2021,09/30/2021,USD
9,06/14/2021,Cash,$0.08,05/27/2021,06/15/2021,06/30/2021,USD
10,03/12/2021,Cash,$0.08,03/04/2021,03/15/2021,03/30/2021,USD
11,12/15/2020,Cash,$0.08,12/03/2020,12/16/2020,12/30/2020,USD
12,09/15/2020,Cash,$0.08,09/03/2020,09/16/2020,09/30/2020,USD
13,06/12/2020,Cash,$0.08,06/04/2020,06/15/2020,06/30/2020,USD
14,03/16/2020,Cash,$0.08,03/05/2020,03/17/2020,03/31/2020,USD
15,12/13/2019,Cash,$0.08,12/06/2019,12/16/2019,12/30/2019,USD
16,09/13/2019,Cash,$0.08,09/06/2019,09/16/2019,09/30/2019,USD
17,06/13/2019,Cash,$0.08,06/05/2019,06/14/2019,06/28/2019,USD
18,03/15/2019,Cash,$0.08,03/06/2019,03/18/2019,03/29/2019,USD
19,12/14/2018,Cash,$0.08,12/07/2018,12/17/2018,12/28/2018,USD
20,09/13/2018,Cash,$0.08,09/07/2018,09/14/2018,09/28/2018,USD
21,06/14/2018,Cash,$0.04,06/05/2018,06/15/2018,06/30/2018,USD
22,03/14/2018,Cash,$0.04,03/05/2018,03/15/2018,03/29/2018,USD
23,12/14/2017,Cash,$0.04,12/04/2017,12/15/2017,12/29/2017,USD
24,09/15/2017,Cash,$0.04,09/06/2017,09/18/2017,09/29/2017,USD
25,06/13/2017,Cash,$0.04,05/30/2017,06/15/2017,06/30/2017,USD
26,03/15/2017,Cash,$0.04,03/06/2017,03/17/2017,03/31/2017,USD
27,12/13/2016,Cash,$0.04,12/05/2016,12/15/2016,12/30/2016,USD
28,09/14/2016,Cash,$0.04,09/01/2016,09/16/2016,09/30/2016,USD
29,06/13/2016,Cash,$0.04,05/26/2016,06/15/2016,06/30/2016,USD
30,03/16/2016,Cash,$0.04,03/04/2016,03/18/2016,03/31/2016,USD
31,12/11/2015,Cash,$0.04,12/04/2015,12/15/2015,12/29/2015,USD
32,09/16/2015,Cash,$0.04,09/03/2015,09/18/2015,09/30/2015,USD
33,06/11/2015,Cash,$0.04,05/28/2015,06/15/2015,06/30/2015,USD
34,03/12/2015,Cash,$0.04,03/03/2015,03/16/2015,03/31/2015,USD
35,12/11/2014,Cash,$0.04,12/04/2014,12/15/2014,12/29/2014,USD
36,09/12/2014,Cash,$0.04,09/05/2014,09/16/2014,09/30/2014,USD
37,06/12/2014,Cash,$0.04,06/02/2014,06/16/2014,06/30/2014,USD
38,03/12/2014,Cash,$0.04,02/28/2014,03/14/2014,03/28/2014,USD
39,12/12/2013,Cash,$0.04,12/05/2013,12/16/2013,12/27/2013,USD
40,09/12/2013,Cash,$0.04,08/29/2013,09/16/2013,09/30/2013,USD
41,06/13/2013,Cash,$0.04,06/06/2013,06/17/2013,06/28/2013,USD
42,03/13/2013,Cash,$0.04,03/01/2013,03/15/2013,03/29/2013,USD
43,12/14/2012,Cash,$0.04,12/06/2012,12/18/2012,12/28/2012,USD
44,09/12/2012,Cash,$0.04,08/30/2012,09/14/2012,09/28/2012,USD
45,06/13/2012,Cash,$0.04,05/31/2012,06/15/2012,06/29/2012,USD
46,03/13/2012,Cash,$0.04,02/23/2012,03/15/2012,03/30/2012,USD
47,12/20/2011,Cash,$0.04,12/12/2011,12/22/2011,12/30/2011,USD
48,09/13/2011,Cash,$0.04,08/25/2011,09/15/2011,09/30/2011,USD
49,06/14/2011,Cash,$0.04,05/31/2011,06/16/2011,06/30/2011,USD
50,03/11/2011,Cash,$0.04,02/24/2011,03/15/2011,03/31/2011,USD
51,12/13/2010,Cash,$0.04,12/02/2010,12/15/2010,12/30/2010,USD
52,09/13/2010,Cash,$0.04,08/27/2010,09/15/2010,09/30/2010,USD
53,06/14/2010,Cash,$0.04,05/27/2010,06/16/2010,06/30/2010,USD
54,12/16/2009,Cash,$0.03,12/03/2009,12/18/2009,12/31/2009,USD
55,09/11/2009,Cash,$0.03,09/02/2009,09/15/2009,09/30/2009,USD
56,06/11/2009,Cash,$0.03,05/28/2009,06/15/2009,06/30/2009,USD
