,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,08/10/2023,Cash,$0.29,06/08/2023,08/11/2023,08/25/2023,USD
1,05/11/2023,Cash,$0.28,03/22/2023,05/12/2023,05/26/2023,USD
2,02/09/2023,Cash,$0.28,12/08/2022,02/10/2023,02/24/2023,USD
3,11/09/2022,Cash,$0.28,10/14/2022,11/11/2022,11/25/2022,USD
4,08/11/2022,Cash,$0.28,06/08/2022,08/12/2022,08/26/2022,USD
5,05/12/2022,Cash,$0.27,03/23/2022,05/13/2022,05/27/2022,USD
6,02/10/2022,Cash,$0.27,12/08/2021,02/11/2022,02/25/2022,USD
7,11/10/2021,Cash,$0.27,10/14/2021,11/12/2021,11/26/2021,USD
8,08/12/2021,Cash,$0.27,06/09/2021,08/13/2021,08/27/2021,USD
9,05/13/2021,Cash,$0.26,03/10/2021,05/14/2021,05/28/2021,USD
10,02/11/2021,Cash,$0.26,12/09/2020,02/12/2021,02/26/2021,USD
11,11/12/2020,Cash,$0.26,10/14/2020,11/13/2020,11/27/2020,USD
12,08/13/2020,Cash,$0.26,06/09/2020,08/14/2020,08/28/2020,USD
13,05/14/2020,Cash,$0.25,03/06/2020,05/15/2020,05/29/2020,USD
14,02/13/2020,Cash,$0.25,12/12/2019,02/14/2020,02/28/2020,USD
15,11/14/2019,Cash,$0.25,10/17/2019,11/15/2019,11/29/2019,USD
16,08/15/2019,Cash,$0.25,06/13/2019,08/16/2019,08/30/2019,USD
17,05/16/2019,Cash,$0.24,03/13/2019,05/17/2019,05/31/2019,USD
18,02/14/2019,Cash,$0.24,12/12/2018,02/15/2019,03/01/2019,USD
19,11/15/2018,Cash,$0.24,10/18/2018,11/16/2018,11/30/2018,USD
20,08/16/2018,Cash,$0.24,06/22/2018,08/17/2018,08/31/2018,USD
21,05/17/2018,Cash,$0.23,03/21/2018,05/18/2018,06/01/2018,USD
22,02/15/2018,Cash,$0.23,12/13/2017,02/16/2018,03/02/2018,USD
23,11/16/2017,Cash,$0.23,10/18/2017,11/17/2017,12/01/2017,USD
24,08/16/2017,Cash,$0.23,06/14/2017,08/18/2017,09/01/2017,USD
25,05/17/2017,Cash,$0.22,03/16/2017,05/19/2017,06/02/2017,USD
26,02/15/2017,Cash,$0.22,12/13/2016,02/17/2017,03/03/2017,USD
27,11/16/2016,Cash,$0.22,10/13/2016,11/18/2016,12/02/2016,USD
28,08/17/2016,Cash,$0.22,06/09/2016,08/19/2016,09/02/2016,USD
29,05/18/2016,Cash,$0.21,03/15/2016,05/20/2016,06/03/2016,USD
30,02/17/2016,Cash,$0.21,12/08/2015,02/19/2016,03/04/2016,USD
31,11/18/2015,Cash,$0.21,10/15/2015,11/20/2015,12/04/2015,USD
32,08/19/2015,Cash,$0.21,06/11/2015,08/21/2015,09/04/2015,USD
33,05/13/2015,Cash,$0.20,03/17/2015,05/15/2015,05/29/2015,USD
34,02/18/2015,Cash,$0.20,12/10/2014,02/20/2015,03/06/2015,USD
35,11/12/2014,Cash,$0.20,10/16/2014,11/14/2014,11/28/2014,USD
36,08/13/2014,Cash,$0.20,06/12/2014,08/15/2014,08/29/2014,USD
37,05/14/2014,Cash,$0.19,03/17/2014,05/16/2014,05/30/2014,USD
38,02/19/2014,Cash,$0.19,12/11/2013,02/21/2014,03/07/2014,USD
39,11/13/2013,Cash,$0.19,10/16/2013,11/15/2013,11/29/2013,USD
40,08/14/2013,Cash,$0.19,06/11/2013,08/16/2013,08/30/2013,USD
41,12/12/2012,Cash,$0.36,12/04/2012,12/14/2012,12/28/2012,USD
42,08/15/2012,Cash,$0.18,06/14/2012,08/17/2012,08/31/2012,USD
43,05/16/2012,Cash,$0.17,03/15/2012,05/18/2012,06/01/2012,USD
44,02/22/2012,Cash,$0.17,12/13/2011,02/24/2012,03/09/2012,USD
45,11/16/2011,Cash,$0.17,10/18/2011,11/18/2011,12/02/2011,USD
46,08/17/2011,Cash,$0.17,06/23/2011,08/19/2011,09/02/2011,USD
47,05/18/2011,Cash,$0.16,03/11/2011,05/20/2011,06/03/2011,USD
48,02/23/2011,Cash,$0.16,12/14/2010,02/25/2011,03/11/2011,USD
49,11/17/2010,Cash,$0.16,10/14/2010,11/19/2010,12/03/2010,USD
50,08/18/2010,Cash,$0.16,06/15/2010,08/20/2010,09/03/2010,USD
51,05/19/2010,Cash,$0.15,03/12/2010,05/21/2010,06/04/2010,USD
52,02/17/2010,Cash,$0.15,12/08/2009,02/19/2010,03/05/2010,USD
53,11/18/2009,Cash,$0.15,10/15/2009,11/20/2009,12/04/2009,USD
54,08/19/2009,Cash,$0.15,06/09/2009,08/21/2009,09/04/2009,USD
55,05/20/2009,Cash,$0.14,03/17/2009,05/22/2009,06/05/2009,USD
56,02/18/2009,Cash,$0.14,12/09/2008,02/20/2009,03/06/2009,USD
57,11/19/2008,Cash,$0.14,10/15/2008,11/21/2008,12/05/2008,USD
58,08/20/2008,Cash,$0.14,06/10/2008,08/22/2008,09/05/2008,USD
59,05/21/2008,Cash,$0.13,03/13/2008,05/23/2008,06/06/2008,USD
60,05/20/2008,Cash,$0.13,03/13/2008,05/23/2008,06/06/2008,USD
61,02/20/2008,Cash,$0.13,12/04/2007,02/22/2008,03/07/2008,USD
62,11/20/2007,Cash,$0.13,10/09/2007,11/23/2007,12/07/2007,USD
63,08/22/2007,Cash,$0.13,06/05/2007,08/24/2007,09/07/2007,USD
64,05/02/2007,Cash,$0.12,03/14/2007,05/04/2007,06/01/2007,USD
65,02/07/2007,Cash,$0.12,12/06/2006,02/09/2007,03/16/2007,USD
66,11/08/2006,Cash,$0.12,10/10/2006,11/10/2006,12/08/2006,USD
67,08/02/2006,Cash,$0.12,06/06/2006,08/04/2006,09/08/2006,USD
68,05/03/2006,Cash,$0.12,03/14/2006,05/05/2006,06/02/2006,USD
69,11/08/2005,Cash,$0.12,10/11/2005,11/11/2005,12/09/2005,USD
70,08/03/2005,Cash,$0.11,06/09/2005,08/05/2005,09/09/2005,USD
71,05/04/2005,Cash,$0.11,03/15/2005,05/08/2005,06/10/2005,USD
72,02/09/2005,Cash,$0.11,12/07/2004,02/11/2005,03/18/2005,USD
73,11/09/2004,Cash,$0.11,10/07/2004,11/12/2004,12/10/2004,USD
74,08/04/2004,Cash,$0.10,06/08/2004,08/06/2004,09/10/2004,USD
75,05/05/2004,Cash,$0.10,03/09/2004,05/07/2004,06/11/2004,USD
76,02/11/2004,Cash,$0.10,12/02/2003,02/13/2004,03/12/2004,USD
77,11/12/2003,Cash,$0.10,10/09/2003,11/14/2003,12/12/2003,USD
78,08/06/2003,Cash,$0.09,06/10/2003,08/08/2003,09/12/2003,USD
79,05/07/2003,Cash,$0.09,03/14/2003,05/09/2003,06/13/2003,USD
80,02/12/2003,Cash,$0.09,12/05/2002,02/14/2003,03/14/2003,USD
81,11/13/2002,Cash,$0.09,10/10/2002,11/15/2002,12/13/2002,USD
82,08/07/2002,Cash,$0.09,06/07/2002,08/09/2002,09/13/2002,USD
83,05/08/2002,Cash,$0.09,03/15/2002,05/10/2002,06/14/2002,USD
84,02/13/2002,Cash,$0.09,12/05/2001,02/15/2002,03/15/2002,USD
85,11/07/2001,Cash,$0.09,10/15/2001,11/09/2001,12/14/2001,USD
86,08/15/2001,Cash,$0.09,06/11/2001,08/17/2001,09/11/2001,USD
87,05/09/2001,Cash,$0.09,03/09/2001,05/12/2001,06/15/2001,USD
88,02/14/2001,Cash,$0.09,12/05/2000,02/16/2001,03/15/2001,USD
89,11/08/2000,Cash,$0.09,10/16/2000,11/10/2000,12/15/2000,USD
90,08/14/2000,Cash,$0.09,06/13/2000,08/16/2000,09/11/2000,USD
91,05/10/2000,Cash,$0.09,03/15/2000,05/12/2000,06/12/2000,USD
92,02/09/2000,Cash,$0.09,12/09/1999,02/11/2000,03/17/2000,USD
93,11/09/1999,Cash,$0.09,10/20/1999,11/12/1999,12/15/1999,USD
94,08/11/1999,Cash,$0.09,06/14/1999,08/13/1999,09/10/1999,USD
95,05/12/1999,Cash,$0.09,03/17/1999,05/14/1999,06/11/1999,USD
96,02/10/1999,Cash,$0.09,12/08/1998,02/12/1999,03/16/1999,USD
97,11/10/1998,Cash,$0.08,10/12/1998,11/13/1998,12/14/1998,USD
98,08/12/1998,Cash,$0.08,06/10/1998,08/14/1998,09/15/1998,USD
99,05/13/1998,Cash,$0.08,03/12/1998,05/15/1998,06/12/1998,USD
100,02/11/1998,Cash,$0.08,12/15/1997,02/13/1998,03/16/1998,USD
101,11/12/1997,Cash,$0.08,10/15/1997,11/14/1997,12/16/1997,USD
102,08/13/1997,Cash,$0.08,06/09/1997,08/15/1997,09/15/1997,USD
103,05/14/1997,Cash,$0.08,03/17/1997,05/16/1997,06/13/1997,USD
104,02/12/1997,Cash,$0.08,12/10/1996,02/14/1997,03/14/1997,USD
105,11/13/1996,Cash,$0.08,10/14/1996,11/15/1996,12/16/1996,USD
106,08/14/1996,Cash,$0.08,06/17/1996,08/16/1996,09/16/1996,USD
107,05/15/1996,Cash,$0.08,03/22/1996,05/17/1996,06/14/1996,USD
108,02/14/1996,Cash,$0.08,12/14/1995,02/16/1996,03/15/1996,USD
109,11/15/1995,Cash,$0.08,10/16/1995,11/17/1995,12/15/1995,USD
110,08/16/1995,Cash,$0.08,06/21/1995,08/18/1995,09/15/1995,USD
111,05/15/1995,Cash,$0.08,03/28/1995,05/19/1995,06/16/1995,USD
