,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/11/2023,Cash,$0.40,09/11/2023,10/12/2023,10/26/2023,USD
1,07/11/2023,Cash,$0.40,06/12/2023,07/12/2023,07/26/2023,USD
2,04/10/2023,Cash,$0.40,03/09/2023,04/11/2023,04/24/2023,USD
3,01/09/2023,Cash,$0.32,12/12/2022,01/10/2023,01/24/2023,USD
4,10/11/2022,Cash,$0.32,09/12/2022,10/12/2022,10/25/2022,USD
5,07/11/2022,Cash,$0.32,06/13/2022,07/12/2022,07/26/2022,USD
6,04/07/2022,Cash,$0.32,03/10/2022,04/08/2022,04/21/2022,USD
7,01/06/2022,Cash,$0.32,12/09/2021,01/07/2022,01/19/2022,USD
8,10/08/2021,Cash,$0.32,09/13/2021,10/12/2021,10/26/2021,USD
9,07/14/2021,Cash,$0.32,06/15/2021,07/15/2021,07/29/2021,USD
10,04/07/2021,Cash,$0.32,03/10/2021,04/08/2021,04/22/2021,USD
11,01/06/2021,Cash,$0.24,12/10/2020,01/07/2021,01/21/2021,USD
12,10/07/2020,Cash,$0.24,09/10/2020,10/08/2020,10/22/2020,USD
13,07/14/2020,Cash,$0.24,06/16/2020,07/15/2020,07/28/2020,USD
14,04/08/2020,Cash,$0.24,03/12/2020,04/09/2020,04/23/2020,USD
15,01/08/2020,Cash,$0.24,12/13/2019,01/09/2020,01/23/2020,USD
16,10/09/2019,Cash,$0.24,09/12/2019,10/10/2019,10/24/2019,USD
17,07/16/2019,Cash,$0.24,06/20/2019,07/17/2019,07/31/2019,USD
18,04/10/2019,Cash,$0.24,03/15/2019,04/11/2019,04/25/2019,USD
19,01/15/2019,Cash,$0.19,12/18/2018,01/16/2019,01/30/2019,USD
20,10/15/2018,Cash,$0.19,09/18/2018,10/16/2018,10/30/2018,USD
21,07/16/2018,Cash,$0.19,06/20/2018,07/17/2018,07/31/2018,USD
22,04/16/2018,Cash,$0.19,03/16/2018,04/17/2018,05/01/2018,USD
23,01/09/2018,Cash,$0.19,12/14/2017,01/10/2018,01/24/2018,USD
24,10/10/2017,Cash,$0.19,09/14/2017,10/11/2017,10/25/2017,USD
25,07/17/2017,Cash,$0.19,06/21/2017,07/19/2017,08/02/2017,USD
26,04/10/2017,Cash,$0.19,03/15/2017,04/12/2017,04/26/2017,USD
27,01/03/2017,Cash,$0.15,12/15/2016,01/05/2017,01/26/2017,USD
28,10/07/2016,Cash,$0.15,09/15/2016,10/12/2016,10/26/2016,USD
29,07/01/2016,Cash,$0.15,06/16/2016,07/06/2016,07/27/2016,USD
30,04/12/2016,Cash,$0.15,03/14/2016,04/14/2016,04/28/2016,USD
31,01/04/2016,Cash,$0.15,12/15/2015,01/06/2016,01/27/2016,USD
32,10/09/2015,Cash,$0.15,09/15/2015,10/14/2015,10/28/2015,USD
33,07/06/2015,Cash,$0.15,06/17/2015,07/08/2015,07/29/2015,USD
34,04/02/2015,Cash,$0.15,03/17/2015,04/07/2015,04/28/2015,USD
35,01/05/2015,Cash,$0.12,12/17/2014,01/07/2015,01/28/2015,USD
36,10/06/2014,Cash,$0.12,09/18/2014,10/08/2014,10/29/2014,USD
37,07/07/2014,Cash,$0.12,06/19/2014,07/09/2014,07/30/2014,USD
38,04/04/2014,Cash,$0.12,03/18/2014,04/08/2014,04/29/2014,USD
39,01/03/2014,Cash,$0.12,12/18/2013,01/07/2014,01/28/2014,USD
40,10/04/2013,Cash,$0.12,09/18/2013,10/08/2013,10/29/2013,USD
41,07/10/2013,Cash,$0.12,06/20/2013,07/12/2013,08/02/2013,USD
42,12/12/2012,Cash,$0.18,12/03/2012,12/14/2012,12/21/2012,USD
43,10/10/2012,Cash,$0.06,09/20/2012,10/12/2012,11/02/2012,USD
44,07/11/2012,Cash,$0.06,06/18/2012,07/13/2012,08/03/2012,USD
45,04/09/2012,Cash,$0.06,03/20/2012,04/11/2012,05/02/2012,USD
46,01/09/2012,Cash,$0.06,12/20/2011,01/11/2012,02/01/2012,USD
47,10/07/2011,Cash,$0.06,09/20/2011,10/12/2011,11/02/2011,USD
48,07/11/2011,Cash,$0.06,06/23/2011,07/13/2011,08/03/2011,USD
49,04/11/2011,Cash,$0.06,03/24/2011,04/13/2011,05/04/2011,USD
50,01/14/2011,Cash,$0.05,12/15/2010,01/19/2011,02/09/2011,USD
51,10/04/2010,Cash,$0.05,09/16/2010,10/06/2010,11/03/2010,USD
52,07/12/2010,Cash,$0.05,06/24/2010,07/14/2010,08/04/2010,USD
53,04/12/2010,Cash,$0.05,03/23/2010,04/14/2010,05/05/2010,USD
54,01/14/2010,Cash,$0.05,12/17/2009,01/19/2010,02/09/2010,USD
55,10/09/2009,Cash,$0.05,09/16/2009,10/14/2009,11/04/2009,USD
56,07/13/2009,Cash,$0.05,06/22/2009,07/15/2009,08/13/2009,USD
57,04/06/2009,Cash,$0.05,03/17/2009,04/08/2009,05/08/2009,USD
