,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/18/2024,Cash,$0.65,12/06/2023,01/19/2024,02/02/2024,USD
1,10/12/2023,Cash,$0.65,08/31/2023,10/13/2023,10/27/2023,USD
2,07/13/2023,Cash,$0.65,06/07/2023,07/14/2023,07/28/2023,USD
3,04/13/2023,Cash,$0.65,03/23/2023,04/14/2023,04/28/2023,USD
4,01/12/2023,Cash,$0.55,12/07/2022,01/13/2023,01/27/2023,USD
5,10/13/2022,Cash,$0.55,09/01/2022,10/14/2022,10/28/2022,USD
6,07/14/2022,Cash,$0.55,06/08/2022,07/15/2022,07/29/2022,USD
7,04/13/2022,Cash,$0.55,03/23/2022,04/14/2022,04/29/2022,USD
8,01/13/2022,Cash,$0.42,12/08/2021,01/14/2022,01/28/2022,USD
9,10/14/2021,Cash,$0.42,09/02/2021,10/15/2021,10/29/2021,USD
10,07/15/2021,Cash,$0.42,06/15/2021,07/16/2021,07/30/2021,USD
11,04/15/2021,Cash,$0.37,03/25/2021,04/16/2021,04/30/2021,USD
12,01/14/2021,Cash,$0.25,12/09/2020,01/15/2021,01/29/2021,USD
13,10/15/2020,Cash,$0.25,09/03/2020,10/16/2020,10/30/2020,USD
14,07/16/2020,Cash,$0.25,06/09/2020,07/17/2020,07/31/2020,USD
15,04/16/2020,Cash,$0.25,03/26/2020,04/17/2020,05/01/2020,USD
16,01/16/2020,Cash,$0.37,12/12/2019,01/17/2020,01/31/2020,USD
17,10/17/2019,Cash,$0.37,09/12/2019,10/18/2019,11/01/2019,USD
18,07/18/2019,Cash,$0.37,06/19/2019,07/19/2019,08/02/2019,USD
19,04/17/2019,Cash,$0.37,03/29/2019,04/18/2019,05/03/2019,USD
20,01/17/2019,Cash,$0.34,12/13/2018,01/18/2019,02/01/2019,USD
21,10/18/2018,Cash,$0.34,09/13/2018,10/19/2018,11/02/2018,USD
22,07/19/2018,Cash,$0.34,06/21/2018,07/20/2018,08/03/2018,USD
23,04/19/2018,Cash,$0.34,03/28/2018,04/20/2018,05/04/2018,USD
24,01/18/2018,Cash,$0.27,12/04/2017,01/19/2018,02/02/2018,USD
25,10/12/2017,Cash,$0.27,08/31/2017,10/13/2017,10/27/2017,USD
26,07/12/2017,Cash,$0.27,06/14/2017,07/14/2017,07/28/2017,USD
27,04/11/2017,Cash,$0.27,03/23/2017,04/13/2017,04/28/2017,USD
28,01/11/2017,Cash,$0.27,12/06/2016,01/13/2017,01/27/2017,USD
29,10/12/2016,Cash,$0.27,08/31/2016,10/14/2016,10/28/2016,USD
30,07/13/2016,Cash,$0.27,06/15/2016,07/15/2016,07/29/2016,USD
31,04/13/2016,Cash,$0.27,03/23/2016,04/15/2016,04/29/2016,USD
32,01/13/2016,Cash,$0.25,12/07/2015,01/15/2016,01/29/2016,USD
33,10/14/2015,Cash,$0.25,09/01/2015,10/16/2015,10/30/2015,USD
34,07/15/2015,Cash,$0.25,06/17/2015,07/17/2015,07/31/2015,USD
35,04/15/2015,Cash,$0.25,03/24/2015,04/17/2015,05/01/2015,USD
36,01/14/2015,Cash,$0.21,12/09/2014,01/16/2015,01/30/2015,USD
37,10/15/2014,Cash,$0.21,09/08/2014,10/17/2014,10/31/2014,USD
38,07/16/2014,Cash,$0.21,06/19/2014,07/18/2014,08/01/2014,USD
