,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/13/2023,Cash,$0.89,10/12/2023,11/14/2023,11/28/2023,USD
1,08/09/2023,Cash,$0.89,07/13/2023,08/10/2023,08/24/2023,USD
2,05/10/2023,Cash,$0.89,04/28/2023,05/11/2023,05/25/2023,USD
3,02/08/2023,Cash,$0.79,01/20/2023,02/09/2023,02/23/2023,USD
4,11/08/2022,Cash,$0.79,10/13/2022,11/09/2022,11/23/2022,USD
5,08/10/2022,Cash,$0.79,07/14/2022,08/11/2022,08/25/2022,USD
6,05/11/2022,Cash,$0.79,04/29/2022,05/12/2022,05/26/2022,USD
7,01/28/2022,Cash,$0.66,01/14/2022,01/31/2022,02/24/2022,USD
8,10/29/2021,Cash,$0.66,10/14/2021,11/01/2021,11/29/2021,USD
9,07/30/2021,Cash,$0.66,07/08/2021,08/02/2021,08/26/2021,USD
10,05/11/2021,Cash,$0.66,04/30/2021,05/12/2021,05/27/2021,USD
11,01/29/2021,Cash,$0.62,01/22/2021,02/01/2021,02/25/2021,USD
12,10/30/2020,Cash,$0.62,10/15/2020,11/02/2020,11/24/2020,USD
13,07/31/2020,Cash,$0.62,07/09/2020,08/03/2020,08/27/2020,USD
14,05/14/2020,Cash,$0.62,05/01/2020,05/15/2020,05/28/2020,USD
15,01/31/2020,Cash,$0.62,01/17/2020,02/03/2020,02/20/2020,USD
16,10/31/2019,Cash,$0.62,10/17/2019,11/01/2019,11/21/2019,USD
17,07/31/2019,Cash,$0.62,07/11/2019,08/01/2019,08/22/2019,USD
18,05/14/2019,Cash,$0.62,05/03/2019,05/15/2019,05/30/2019,USD
19,01/31/2019,Cash,$0.56,01/18/2019,02/01/2019,02/15/2019,USD
20,10/31/2018,Cash,$0.56,10/10/2018,11/01/2018,11/15/2018,USD
21,07/31/2018,Cash,$0.56,07/11/2018,08/01/2018,08/23/2018,USD
22,05/08/2018,Cash,$0.56,04/27/2018,05/09/2018,05/24/2018,USD
23,01/31/2018,Cash,$0.50,01/19/2018,02/01/2018,02/15/2018,USD
24,10/31/2017,Cash,$0.50,10/11/2017,11/01/2017,11/15/2017,USD
25,07/28/2017,Cash,$0.50,07/13/2017,08/01/2017,08/24/2017,USD
26,05/08/2017,Cash,$0.46,04/27/2017,05/10/2017,05/25/2017,USD
27,01/30/2017,Cash,$0.46,01/12/2017,02/01/2017,02/15/2017,USD
28,10/28/2016,Cash,$0.46,10/12/2016,11/01/2016,11/22/2016,USD
29,07/28/2016,Cash,$0.46,07/07/2016,08/01/2016,08/25/2016,USD
30,05/05/2016,Cash,$0.42,04/29/2016,05/09/2016,05/23/2016,USD
31,01/28/2016,Cash,$0.42,01/14/2016,02/01/2016,02/16/2016,USD
32,10/29/2015,Cash,$0.42,10/13/2015,11/02/2015,11/19/2015,USD
33,07/30/2015,Cash,$0.42,07/09/2015,08/03/2015,08/20/2015,USD
34,05/07/2015,Cash,$0.38,04/30/2015,05/11/2015,05/21/2015,USD
35,01/29/2015,Cash,$0.38,01/16/2015,02/02/2015,02/17/2015,USD
36,10/30/2014,Cash,$0.38,10/15/2014,11/03/2014,11/20/2014,USD
37,07/30/2014,Cash,$0.38,07/09/2014,08/01/2014,08/15/2014,USD
38,05/08/2014,Cash,$0.35,05/02/2014,05/12/2014,05/23/2014,USD
39,01/30/2014,Cash,$0.35,01/17/2014,02/03/2014,02/17/2014,USD
40,10/30/2013,Cash,$0.35,10/16/2013,11/01/2013,11/15/2013,USD
41,07/30/2013,Cash,$0.35,07/11/2013,08/01/2013,08/15/2013,USD
42,04/29/2003,Cash,$0.11,N/A,04/29/2003,N/A,USD
43,01/30/2003,Cash,$0.11,N/A,01/30/2003,N/A,USD
44,10/30/2002,Cash,$0.11,N/A,10/30/2002,N/A,USD
45,07/30/2002,Cash,$0.11,N/A,07/30/2002,N/A,USD
46,04/29/2002,Cash,$0.11,N/A,04/29/2002,N/A,USD
47,01/30/2002,Cash,$0.11,N/A,01/30/2002,N/A,USD
48,10/30/2001,Cash,$0.11,N/A,10/30/2001,N/A,USD
49,07/30/2001,Cash,$0.09,N/A,07/30/2001,N/A,USD
50,04/27/2001,Cash,$0.09,N/A,04/27/2001,N/A,USD
51,01/30/2001,Cash,$0.09,N/A,01/30/2001,N/A,USD
52,10/30/2000,Cash,$0.09,N/A,10/30/2000,N/A,USD
53,07/28/2000,Cash,$0.06,N/A,07/28/2000,N/A,USD
54,04/27/2000,Cash,$0.09,N/A,04/27/2000,N/A,USD
55,01/28/2000,Cash,$0.09,N/A,01/28/2000,N/A,USD
56,10/28/1999,Cash,$0.09,N/A,10/28/1999,N/A,USD
57,07/29/1999,Cash,$0.06,N/A,07/29/1999,N/A,USD
58,04/29/1999,Cash,$0.09,N/A,04/29/1999,N/A,USD
59,01/28/1999,Cash,$0.09,N/A,01/28/1999,N/A,USD
60,10/29/1998,Cash,$0.09,N/A,10/29/1998,N/A,USD
61,07/30/1998,Cash,$0.06,N/A,07/30/1998,N/A,USD
62,04/29/1998,Cash,$0.09,N/A,04/29/1998,N/A,USD
63,01/29/1998,Cash,$0.09,N/A,01/29/1998,N/A,USD
64,10/23/1997,Cash,$0.09,N/A,10/23/1997,N/A,USD
65,07/29/1997,Cash,$0.06,N/A,07/29/1997,N/A,USD
66,04/29/1997,Cash,$0.09,N/A,04/29/1997,N/A,USD
67,01/28/1997,Cash,$0.09,N/A,01/28/1997,N/A,USD
68,10/24/1996,Cash,$0.09,N/A,10/24/1996,N/A,USD
69,07/30/1996,Cash,$0.06,N/A,07/30/1996,N/A,USD
70,04/23/1996,Cash,$0.09,N/A,04/23/1996,N/A,USD
71,01/30/1996,Cash,$0.09,N/A,01/30/1996,N/A,USD
72,10/25/1995,Cash,$0.09,N/A,10/25/1995,N/A,USD
73,07/31/1995,Cash,$0.06,N/A,07/31/1995,N/A,USD
74,04/21/1995,Cash,$0.09,N/A,04/21/1995,N/A,USD
75,01/26/1995,Cash,$0.09,N/A,01/26/1995,N/A,USD
76,10/24/1994,Cash,$0.09,N/A,10/24/1994,N/A,USD
77,07/27/1994,Cash,$0.06,N/A,07/27/1994,N/A,USD
78,04/25/1994,Cash,$0.06,N/A,04/25/1994,N/A,USD
79,01/26/1994,Cash,$0.06,N/A,01/26/1994,N/A,USD
80,10/22/1993,Cash,$0.06,N/A,10/22/1993,N/A,USD
81,07/20/1993,Cash,$0.06,N/A,07/20/1993,N/A,USD
82,04/23/1993,Cash,$0.06,N/A,04/23/1993,N/A,USD
83,01/22/1993,Cash,$0.06,N/A,01/22/1993,N/A,USD
84,10/19/1992,Cash,$0.06,N/A,10/19/1992,N/A,USD
85,07/21/1992,Cash,$0.04,N/A,07/21/1992,N/A,USD
86,04/16/1992,Cash,$0.06,N/A,04/16/1992,N/A,USD
87,01/29/1992,Cash,$0.06,N/A,01/29/1992,N/A,USD
88,10/21/1991,Cash,$0.06,N/A,10/21/1991,N/A,USD
89,07/22/1991,Cash,$0.05,N/A,07/22/1991,N/A,USD
90,04/22/1991,Cash,$0.05,N/A,04/22/1991,N/A,USD
91,01/25/1991,Cash,$0.05,N/A,01/25/1991,N/A,USD
92,10/22/1990,Cash,$0.05,N/A,10/22/1990,N/A,USD
93,07/23/1990,Cash,$0.04,N/A,07/23/1990,N/A,USD
94,04/23/1990,Cash,$0.04,N/A,04/23/1990,N/A,USD
95,01/30/1990,Cash,$0.04,N/A,01/30/1990,N/A,USD
96,10/23/1989,Cash,$0.04,N/A,10/23/1989,N/A,USD
97,07/24/1989,Cash,$0.03,N/A,07/24/1989,N/A,USD
98,04/24/1989,Cash,$0.03,N/A,04/24/1989,N/A,USD
99,01/24/1989,Cash,$0.03,N/A,01/24/1989,N/A,USD
100,11/04/1988,Cash,$0.03,N/A,11/04/1988,N/A,USD
