,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/18/2024,Cash,$0.26,12/05/2023,01/19/2024,02/02/2024,USD
1,10/19/2023,Cash,$0.26,09/12/2023,10/20/2023,11/03/2023,USD
2,07/20/2023,Cash,$0.26,06/13/2023,07/21/2023,08/04/2023,USD
3,04/20/2023,Cash,$0.26,03/13/2023,04/21/2023,05/05/2023,USD
4,01/19/2023,Cash,$0.26,12/13/2022,01/20/2023,02/03/2023,USD
5,10/20/2022,Cash,$0.26,09/13/2022,10/21/2022,11/04/2022,USD
6,07/21/2022,Cash,$0.26,06/14/2022,07/22/2022,08/05/2022,USD
7,04/21/2022,Cash,$0.26,03/14/2022,04/22/2022,05/06/2022,USD
8,01/20/2022,Cash,$0.26,12/14/2021,01/21/2022,02/04/2022,USD
9,10/21/2021,Cash,$0.26,09/14/2021,10/22/2021,11/05/2021,USD
10,07/22/2021,Cash,$0.26,06/15/2021,07/23/2021,08/06/2021,USD
11,04/15/2021,Cash,$0.26,03/16/2021,04/16/2021,04/30/2021,USD
12,01/14/2021,Cash,$0.26,12/15/2020,01/15/2021,01/29/2021,USD
13,10/15/2020,Cash,$0.26,09/15/2020,10/16/2020,10/30/2020,USD
14,07/16/2020,Cash,$0.26,06/22/2020,07/17/2020,07/31/2020,USD
15,04/08/2020,Cash,$0.26,03/16/2020,04/10/2020,04/24/2020,USD
16,01/09/2020,Cash,$0.26,12/17/2019,01/10/2020,01/24/2020,USD
17,10/10/2019,Cash,$0.26,09/17/2019,10/11/2019,10/25/2019,USD
18,07/11/2019,Cash,$0.26,06/11/2019,07/12/2019,07/26/2019,USD
19,04/11/2019,Cash,$0.26,03/12/2019,04/12/2019,04/26/2019,USD
20,01/10/2019,Cash,$0.26,12/11/2018,01/11/2019,01/25/2019,USD
21,10/11/2018,Cash,$0.26,09/18/2018,10/12/2018,10/26/2018,USD
22,07/12/2018,Cash,$0.26,06/12/2018,07/13/2018,07/27/2018,USD
23,04/12/2018,Cash,$0.26,03/13/2018,04/13/2018,04/27/2018,USD
24,01/11/2018,Cash,$0.26,12/12/2017,01/12/2018,01/26/2018,USD
25,10/12/2017,Cash,$0.26,09/19/2017,10/13/2017,10/27/2017,USD
26,07/12/2017,Cash,$0.26,06/13/2017,07/14/2017,07/28/2017,USD
27,04/11/2017,Cash,$0.26,03/14/2017,04/14/2017,04/28/2017,USD
28,01/11/2017,Cash,$0.24,12/13/2016,01/13/2017,01/27/2017,USD
29,10/12/2016,Cash,$0.24,09/13/2016,10/14/2016,10/28/2016,USD
30,07/13/2016,Cash,$0.24,06/14/2016,07/15/2016,07/29/2016,USD
31,04/13/2016,Cash,$0.24,03/15/2016,04/15/2016,04/29/2016,USD
32,01/06/2016,Cash,$0.22,12/08/2015,01/08/2016,01/22/2016,USD
33,10/14/2015,Cash,$0.22,09/22/2015,10/16/2015,10/30/2015,USD
34,07/15/2015,Cash,$0.22,06/09/2015,07/17/2015,07/31/2015,USD
35,04/08/2015,Cash,$0.22,03/17/2015,04/10/2015,04/24/2015,USD
36,01/07/2015,Cash,$0.20,12/09/2014,01/09/2015,01/23/2015,USD
37,10/08/2014,Cash,$0.20,09/09/2014,10/10/2014,10/24/2014,USD
38,07/09/2014,Cash,$0.20,06/10/2014,07/11/2014,07/25/2014,USD
39,04/09/2014,Cash,$0.20,03/18/2014,04/11/2014,04/25/2014,USD
40,01/08/2014,Cash,$0.16,12/10/2013,01/10/2014,01/24/2014,USD
41,10/09/2013,Cash,$0.16,09/10/2013,10/11/2013,10/25/2013,USD
42,07/09/2013,Cash,$0.16,06/11/2013,07/11/2013,07/26/2013,USD
43,04/10/2013,Cash,$0.16,03/19/2013,04/12/2013,04/30/2013,USD
