,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/29/2023,Cash,$0.125,09/11/2023,10/02/2023,11/03/2023,USD
1,06/30/2023,Cash,$0.125,06/12/2023,07/03/2023,08/04/2023,USD
2,03/31/2023,Cash,$0.125,02/09/2023,04/03/2023,05/05/2023,USD
3,03/08/2023,Cash,$1.00,02/09/2023,03/09/2023,04/06/2023,USD
4,01/03/2023,Cash,$0.10,12/12/2022,01/04/2023,02/03/2023,USD
5,09/30/2022,Cash,$0.10,09/12/2022,10/03/2022,11/04/2022,USD
6,06/30/2022,Cash,$0.10,06/13/2022,07/01/2022,08/04/2022,USD
7,03/31/2022,Cash,$0.10,03/14/2022,04/01/2022,05/05/2022,USD
8,01/03/2022,Cash,$0.10,12/13/2021,01/04/2022,02/03/2022,USD
9,09/30/2021,Cash,$0.10,09/13/2021,10/01/2021,11/04/2021,USD
10,06/30/2021,Cash,$0.10,06/14/2021,07/01/2021,08/05/2021,USD
11,03/31/2021,Cash,$0.10,03/18/2021,04/01/2021,05/06/2021,USD
12,12/31/2020,Cash,$0.10,12/10/2020,01/04/2021,02/04/2021,USD
13,09/30/2020,Cash,$0.10,09/14/2020,10/01/2020,11/05/2020,USD
14,07/01/2020,Cash,$0.10,06/16/2020,07/03/2020,08/04/2020,USD
15,03/31/2020,Cash,$0.10,03/10/2020,04/01/2020,05/05/2020,USD
16,01/17/2020,Cash,$1.00,01/09/2020,01/21/2020,02/20/2020,USD
17,12/31/2019,Cash,$0.10,12/13/2019,01/02/2020,02/04/2020,USD
18,09/30/2019,Cash,$0.10,09/12/2019,10/01/2019,11/05/2019,USD
19,07/03/2019,Cash,$0.10,06/13/2019,07/05/2019,08/06/2019,USD
20,04/01/2019,Cash,$0.10,03/13/2019,04/02/2019,05/01/2019,USD
21,02/04/2019,Cash,$4.25,01/03/2019,02/05/2019,02/26/2019,USD
22,12/31/2018,Cash,$0.10,12/12/2018,01/02/2019,02/05/2019,USD
23,10/01/2018,Cash,$0.10,09/12/2018,10/02/2018,11/06/2018,USD
24,07/03/2018,Cash,$0.10,06/13/2018,07/05/2018,08/07/2018,USD
25,04/02/2018,Cash,$0.10,03/13/2018,04/03/2018,05/01/2018,USD
26,01/22/2018,Cash,$3.00,01/04/2018,01/23/2018,02/13/2018,USD
27,12/29/2017,Cash,$0.10,12/19/2017,01/02/2018,02/06/2018,USD
28,10/02/2017,Cash,$0.10,09/13/2017,10/03/2017,11/07/2017,USD
29,06/30/2017,Cash,$0.10,06/14/2017,07/05/2017,08/01/2017,USD
30,03/31/2017,Cash,$0.10,03/15/2017,04/04/2017,05/02/2017,USD
31,12/29/2016,Cash,$0.10,12/14/2016,01/03/2017,02/07/2017,USD
32,09/30/2016,Cash,$0.10,09/14/2016,10/04/2016,11/01/2016,USD
33,06/30/2016,Cash,$0.10,06/20/2016,07/05/2016,08/03/2016,USD
34,03/31/2016,Cash,$0.10,03/15/2016,04/04/2016,05/04/2016,USD
35,12/31/2015,Cash,$0.10,12/17/2015,01/05/2016,02/02/2016,USD
36,10/01/2015,Cash,$0.10,09/16/2015,10/05/2015,11/03/2015,USD
37,06/30/2015,Cash,$0.10,06/16/2015,07/02/2015,08/03/2015,USD
38,03/31/2015,Cash,$0.10,03/17/2015,04/03/2015,05/04/2015,USD
39,02/06/2015,Cash,$1.50,01/22/2015,02/10/2015,02/24/2015,USD
40,12/31/2014,Cash,$0.10,12/15/2014,01/05/2015,02/02/2015,USD
41,10/01/2014,Cash,$0.10,09/16/2014,10/03/2014,11/03/2014,USD
42,07/01/2014,Cash,$0.10,06/19/2014,07/03/2014,08/04/2014,USD
43,04/02/2014,Cash,$0.10,03/14/2014,04/04/2014,05/05/2014,USD
44,02/07/2014,Cash,$2.50,01/21/2014,02/11/2014,02/25/2014,USD
45,12/31/2013,Cash,$0.10,12/17/2013,01/03/2014,02/03/2014,USD
46,10/02/2013,Cash,$0.10,09/17/2013,10/04/2013,11/04/2013,USD
47,07/02/2013,Cash,$0.10,06/18/2013,07/05/2013,08/02/2013,USD
48,04/03/2013,Cash,$0.10,03/18/2013,04/05/2013,05/03/2013,USD
49,02/08/2013,Cash,$2.50,01/31/2013,02/12/2013,02/26/2013,USD
50,01/02/2013,Cash,$0.10,12/18/2012,01/04/2013,02/04/2013,USD
51,10/03/2012,Cash,$0.10,09/14/2012,10/05/2012,11/05/2012,USD
52,07/03/2012,Cash,$0.10,06/15/2012,07/06/2012,08/03/2012,USD
53,04/03/2012,Cash,$0.10,03/15/2012,04/05/2012,05/04/2012,USD
54,01/04/2012,Cash,$0.10,12/15/2011,01/06/2012,02/03/2012,USD
55,10/05/2011,Cash,$0.10,09/15/2011,10/07/2011,11/04/2011,USD
56,07/05/2011,Cash,$0.10,06/15/2011,07/07/2011,08/05/2011,USD
57,04/05/2011,Cash,$0.10,03/14/2011,04/07/2011,05/05/2011,USD
58,01/05/2011,Cash,$0.10,12/06/2010,01/07/2011,02/04/2011,USD
59,12/14/2010,Cash,$1.00,12/06/2010,12/16/2010,12/28/2010,USD
60,10/05/2010,Cash,$0.10,09/16/2010,10/07/2010,11/05/2010,USD
61,07/02/2010,Cash,$0.10,06/16/2010,07/07/2010,08/05/2010,USD
62,04/05/2010,Cash,$0.10,03/16/2010,04/07/2010,05/05/2010,USD
63,01/05/2010,Cash,$0.10,12/15/2009,01/07/2010,02/05/2010,USD
64,10/05/2009,Cash,$0.10,07/22/2009,10/07/2009,11/05/2009,USD
65,07/02/2009,Cash,$0.08,06/12/2009,07/07/2009,08/06/2009,USD
66,04/09/2009,Cash,$0.08,03/17/2009,04/14/2009,05/07/2009,USD
67,01/02/2009,Cash,$0.08,12/17/2008,01/06/2009,02/05/2009,USD
68,10/03/2008,Cash,$0.08,09/16/2008,10/07/2008,11/04/2008,USD
69,07/01/2008,Cash,$0.08,06/05/2008,07/03/2008,08/06/2008,USD
70,04/08/2008,Cash,$0.08,03/14/2008,04/10/2008,05/08/2008,USD
71,01/02/2008,Cash,$0.08,12/14/2007,01/04/2008,02/07/2008,USD
72,10/01/2007,Cash,$0.08,09/14/2007,10/03/2007,11/01/2007,USD
73,07/30/2007,Cash,$1.50,07/19/2007,08/01/2007,08/22/2007,USD
74,07/03/2007,Cash,$0.08,06/06/2007,07/06/2007,08/08/2007,USD
75,04/09/2007,Cash,$0.08,03/16/2007,04/11/2007,05/09/2007,USD
76,01/03/2007,Cash,$0.08,12/15/2006,01/07/2007,02/07/2007,USD
