,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/14/2023,Cash,$0.2625,10/31/2023,11/15/2023,12/13/2023,USD
1,08/15/2023,Cash,$0.2625,08/01/2023,08/16/2023,09/20/2023,USD
2,05/16/2023,Cash,$0.2625,05/02/2023,05/17/2023,06/14/2023,USD
3,02/14/2023,Cash,$0.2625,01/31/2023,02/15/2023,03/15/2023,USD
4,11/15/2022,Cash,$0.26,11/03/2022,11/16/2022,12/14/2022,USD
5,08/16/2022,Cash,$0.26,08/02/2022,08/17/2022,09/21/2022,USD
6,05/17/2022,Cash,$0.26,05/03/2022,05/18/2022,06/15/2022,USD
7,02/15/2022,Cash,$0.26,02/01/2022,02/16/2022,03/16/2022,USD
8,11/16/2021,Cash,$0.26,11/02/2021,11/17/2021,12/15/2021,USD
9,08/17/2021,Cash,$0.26,08/03/2021,08/18/2021,09/15/2021,USD
10,05/18/2021,Cash,$0.26,05/04/2021,05/19/2021,06/16/2021,USD
11,02/16/2021,Cash,$0.26,02/02/2021,02/17/2021,03/17/2021,USD
12,11/17/2020,Cash,$0.26,11/03/2020,11/18/2020,12/16/2020,USD
13,08/18/2020,Cash,$0.26,08/04/2020,08/19/2020,09/16/2020,USD
14,05/19/2020,Cash,$0.26,05/05/2020,05/20/2020,06/17/2020,USD
15,02/18/2020,Cash,$0.26,02/04/2020,02/19/2020,03/18/2020,USD
16,11/19/2019,Cash,$0.26,11/04/2019,11/20/2019,12/18/2019,USD
17,08/20/2019,Cash,$0.26,08/06/2019,08/21/2019,09/18/2019,USD
18,05/21/2019,Cash,$0.26,05/07/2019,05/22/2019,06/19/2019,USD
19,02/19/2019,Cash,$0.26,02/05/2019,02/20/2019,03/20/2019,USD
20,11/20/2018,Cash,$0.26,11/05/2018,11/21/2018,12/19/2018,USD
21,08/21/2018,Cash,$0.26,08/06/2018,08/22/2018,09/19/2018,USD
22,05/22/2018,Cash,$0.26,05/07/2018,05/23/2018,06/20/2018,USD
23,02/20/2018,Cash,$0.26,02/05/2018,02/21/2018,03/21/2018,USD
24,11/20/2017,Cash,$0.26,11/06/2017,11/21/2017,12/13/2017,USD
25,08/21/2017,Cash,$0.26,08/07/2017,08/23/2017,09/13/2017,USD
26,05/15/2017,Cash,$0.26,05/01/2017,05/17/2017,06/14/2017,USD
27,02/13/2017,Cash,$0.26,02/06/2017,02/15/2017,03/15/2017,USD
28,11/14/2016,Cash,$0.26,10/31/2016,11/16/2016,12/14/2016,USD
29,08/15/2016,Cash,$0.26,08/01/2016,08/17/2016,09/14/2016,USD
30,05/16/2016,Cash,$0.26,05/02/2016,05/18/2016,06/15/2016,USD
31,02/12/2016,Cash,$0.26,02/01/2016,02/17/2016,03/16/2016,USD
32,11/16/2015,Cash,$0.26,11/02/2015,11/18/2015,12/16/2015,USD
33,08/17/2015,Cash,$0.26,08/03/2015,08/19/2015,09/16/2015,USD
34,05/18/2015,Cash,$0.26,05/04/2015,05/20/2015,06/17/2015,USD
35,02/13/2015,Cash,$0.26,02/02/2015,02/18/2015,03/18/2015,USD
36,11/17/2014,Cash,$0.26,11/04/2014,11/19/2014,12/17/2014,USD
37,08/18/2014,Cash,$0.25,08/04/2014,08/20/2014,09/17/2014,USD
38,05/19/2014,Cash,$0.25,05/05/2014,05/21/2014,06/18/2014,USD
39,02/14/2014,Cash,$0.25,02/03/2014,02/19/2014,03/19/2014,USD
40,11/18/2013,Cash,$0.25,11/04/2013,11/20/2013,12/18/2013,USD
