,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/28/2023,Cash,$0.0375,11/01/2023,11/29/2023,12/20/2023,USD
1,09/05/2023,Cash,$0.0375,08/09/2023,09/06/2023,09/27/2023,USD
2,06/06/2023,Cash,$0.0375,05/03/2023,06/07/2023,06/28/2023,USD
3,03/07/2023,Cash,$0.0375,02/08/2023,03/08/2023,03/29/2023,USD
4,11/29/2022,Cash,$0.0375,11/02/2022,11/30/2022,12/21/2022,USD
5,09/06/2022,Cash,$0.0375,08/04/2022,09/07/2022,09/28/2022,USD
6,06/07/2022,Cash,$0.0375,05/02/2022,06/08/2022,06/29/2022,USD
7,03/10/2022,Cash,$0.0375,02/28/2022,03/11/2022,03/30/2022,USD
8,11/23/2021,Cash,$0.0375,10/29/2021,11/24/2021,12/17/2021,USD
9,03/19/2020,Cash,$0.0375,02/13/2020,03/22/2020,03/31/2020,USD
10,11/26/2019,Cash,$0.0375,11/06/2019,11/27/2019,12/19/2019,USD
11,08/29/2019,Cash,$0.0375,08/03/2019,08/30/2019,09/26/2019,USD
12,05/21/2019,Cash,$0.0375,05/06/2019,05/22/2019,06/19/2019,USD
13,02/27/2019,Cash,$0.0375,02/09/2019,02/28/2019,03/29/2019,USD
14,11/27/2018,Cash,$0.0375,10/27/2018,11/28/2018,12/21/2018,USD
15,08/28/2018,Cash,$0.0375,08/07/2018,08/29/2018,09/25/2018,USD
16,05/16/2018,Cash,$0.0375,04/22/2018,05/17/2018,06/21/2018,USD
17,02/27/2018,Cash,$0.0375,02/06/2018,02/28/2018,03/28/2018,USD
18,11/21/2017,Cash,$0.0375,10/24/2017,11/22/2017,12/20/2017,USD
19,08/22/2017,Cash,$0.0375,07/27/2017,08/24/2017,09/22/2017,USD
20,05/16/2017,Cash,$0.0375,04/27/2017,05/18/2017,06/20/2017,USD
21,02/22/2017,Cash,$0.0375,02/01/2017,02/24/2017,03/24/2017,USD
22,11/21/2016,Cash,$0.0375,10/20/2016,11/23/2016,12/19/2016,USD
23,08/22/2016,Cash,$0.0375,07/26/2016,08/24/2016,09/15/2016,USD
24,05/17/2016,Cash,$0.0375,04/27/2016,05/19/2016,06/22/2016,USD
25,02/23/2016,Cash,$0.0375,02/03/2016,02/25/2016,03/24/2016,USD
26,11/18/2015,Cash,$0.0375,10/22/2015,11/20/2015,12/18/2015,USD
27,08/24/2015,Cash,$0.0375,07/27/2015,08/26/2015,09/15/2015,USD
28,05/19/2015,Cash,$0.0375,04/30/2015,05/21/2015,06/22/2015,USD
29,02/24/2015,Cash,$0.0375,02/04/2015,02/26/2015,03/24/2015,USD
30,11/18/2014,Cash,$0.0375,10/28/2014,11/20/2014,12/18/2014,USD
31,08/26/2014,Cash,$0.0375,07/30/2014,08/28/2014,09/18/2014,USD
32,05/21/2014,Cash,$0.0375,05/07/2014,05/23/2014,06/19/2014,USD
33,02/24/2014,Cash,$0.0375,02/07/2014,02/26/2014,03/27/2014,USD
34,11/18/2013,Cash,$0.0375,10/28/2013,11/20/2013,12/18/2013,USD
35,08/26/2013,Cash,$0.0375,07/30/2013,08/28/2013,09/17/2013,USD
36,05/20/2013,Cash,$0.0375,05/02/2013,05/22/2013,06/20/2013,USD
37,03/21/2013,Cash,$0.0375,03/13/2013,03/25/2013,04/01/2013,USD
38,11/19/2012,Cash,$0.0375,10/30/2012,11/21/2012,12/20/2012,USD
39,08/21/2012,Cash,$0.0375,07/31/2012,08/23/2012,09/21/2012,USD
40,05/15/2012,Cash,$0.0375,04/26/2012,05/17/2012,06/22/2012,USD
41,03/13/2012,Cash,$0.0375,02/28/2012,03/15/2012,03/30/2012,USD
42,11/15/2011,Cash,$0.0375,11/02/2011,11/17/2011,12/20/2011,USD
43,08/16/2011,Cash,$0.0375,08/04/2011,08/18/2011,09/22/2011,USD
44,05/17/2011,Cash,$0.0375,04/28/2011,05/19/2011,06/24/2011,USD
45,03/14/2011,Cash,$0.0375,03/03/2011,03/16/2011,03/29/2011,USD
46,11/16/2010,Cash,$0.0375,11/04/2010,11/18/2010,12/16/2010,USD
47,08/16/2010,Cash,$0.0375,08/05/2010,08/18/2010,09/14/2010,USD
48,05/18/2010,Cash,$0.0375,04/29/2010,05/20/2010,06/24/2010,USD
49,03/22/2010,Cash,$0.0375,03/18/2010,03/24/2010,03/31/2010,USD
50,11/17/2009,Cash,$0.0375,11/03/2009,11/19/2009,12/17/2009,USD
51,05/19/2009,Cash,$0.0375,04/30/2009,05/21/2009,06/25/2009,USD
52,03/24/2009,Cash,$0.0375,03/23/2009,03/25/2009,03/31/2009,USD
53,11/10/2008,Cash,$0.0375,10/29/2008,11/13/2008,12/16/2008,USD
54,08/19/2008,Cash,$0.0375,08/08/2008,08/21/2008,09/11/2008,USD
55,05/20/2008,Cash,$0.0375,05/02/2008,05/22/2008,06/19/2008,USD
56,03/19/2008,Cash,$0.0375,03/18/2008,03/24/2008,03/31/2008,USD
57,11/16/2007,Cash,$0.0375,10/25/2007,11/20/2007,12/13/2007,USD
58,08/21/2007,Cash,$0.0375,08/07/2007,08/23/2007,09/13/2007,USD
59,05/21/2007,Cash,$0.0375,05/04/2007,05/23/2007,06/19/2007,USD
60,03/21/2007,Cash,$0.0375,03/20/2007,03/23/2007,03/30/2007,USD
61,11/20/2006,Cash,$0.0375,11/08/2006,11/22/2006,12/14/2006,USD
62,08/14/2006,Cash,$0.0375,08/04/2006,08/16/2006,09/13/2006,USD
63,05/15/2006,Cash,$0.0375,04/28/2006,05/17/2006,06/15/2006,USD
64,03/16/2006,Cash,$0.0375,03/10/2006,03/20/2006,03/30/2006,USD
65,11/08/2005,Cash,$0.0375,N/A,11/10/2005,12/15/2005,USD
66,08/23/2005,Cash,$0.0375,08/04/2005,08/25/2005,09/15/2005,USD
67,05/17/2005,Cash,$0.0375,04/21/2005,05/19/2005,06/16/2005,USD
68,03/15/2005,Cash,$0.0375,03/03/2005,03/17/2005,03/31/2005,USD
69,11/08/2004,Cash,$0.0375,10/29/2004,11/10/2004,12/16/2004,USD
70,08/24/2004,Cash,$0.0375,08/05/2004,08/26/2004,09/09/2004,USD
71,05/25/2004,Cash,$0.0375,04/28/2004,05/27/2004,06/17/2004,USD
72,03/16/2004,Cash,$0.0375,03/08/2004,03/18/2004,03/30/2004,USD
73,11/10/2003,Cash,$0.0375,N/A,11/13/2003,12/15/2003,USD
74,08/26/2003,Cash,$0.0375,N/A,08/28/2003,09/12/2003,USD
75,05/27/2003,Cash,$0.0375,N/A,05/29/2003,06/16/2003,USD
76,03/14/2003,Cash,$0.0375,03/06/2003,03/18/2003,03/28/2003,USD
77,11/13/2002,Cash,$0.0375,11/01/2002,11/15/2002,12/16/2002,USD
78,08/28/2002,Cash,$0.0375,08/07/2002,08/30/2002,09/13/2002,USD
79,05/28/2002,Cash,$0.0375,04/25/2002,05/30/2002,06/17/2002,USD
80,03/15/2002,Cash,$0.0375,03/06/2002,03/19/2002,03/25/2002,USD
81,11/14/2001,Cash,$0.0375,11/01/2001,11/16/2001,12/07/2001,USD
82,08/22/2001,Cash,$0.0375,08/01/2001,08/24/2001,09/07/2001,USD
83,05/24/2001,Cash,$0.0375,04/24/2001,05/29/2001,06/15/2001,USD
84,03/15/2001,Cash,$0.0375,03/07/2001,03/19/2001,03/29/2001,USD
85,11/15/2000,Cash,$0.0375,11/01/2000,11/17/2000,12/08/2000,USD
86,08/23/2000,Cash,$0.0375,08/01/2000,08/25/2000,09/08/2000,USD
87,05/31/2000,Cash,$0.0375,04/27/2000,06/02/2000,06/19/2000,USD
88,03/09/2000,Cash,$0.0375,03/02/2000,03/13/2000,03/28/2000,USD
89,11/17/1999,Cash,$0.0375,10/19/1999,11/19/1999,12/10/1999,USD
90,08/23/1999,Cash,$0.0375,07/23/1999,08/25/1999,09/10/1999,USD
91,06/02/1999,Cash,$0.0375,N/A,06/04/1999,06/21/1999,USD
92,03/11/1999,Cash,$0.0375,03/04/1999,03/15/1999,03/30/1999,USD
93,11/18/1998,Cash,$0.0375,10/23/1998,11/20/1998,12/11/1998,USD
94,08/26/1998,Cash,$0.0375,07/24/1998,08/28/1998,09/11/1998,USD
95,06/03/1998,Cash,$0.0375,04/23/1998,06/05/1998,06/22/1998,USD
96,03/12/1998,Cash,$0.0375,03/05/1997,03/16/1998,03/31/1998,USD
97,11/14/1997,Cash,$0.0375,09/23/1997,11/18/1997,12/04/1997,USD
98,08/07/1997,Cash,$0.0375,06/17/1997,08/11/1997,09/05/1997,USD
99,06/10/1997,Cash,$0.0375,04/29/1997,06/12/1997,06/30/1997,USD
100,03/12/1997,Cash,$0.0375,12/17/1996,03/14/1997,03/28/1997,USD
101,11/18/1996,Cash,$0.0375,09/17/1996,11/20/1996,12/06/1996,USD
102,08/08/1996,Cash,$0.0375,06/18/1996,08/12/1996,09/06/1996,USD
103,06/04/1996,Cash,$0.0375,04/16/1996,06/06/1996,06/28/1996,USD
104,03/13/1996,Cash,$0.0375,02/27/1996,03/15/1996,03/29/1996,USD
105,11/08/1995,Cash,$0.0375,09/12/1995,11/10/1995,12/04/1995,USD
106,08/10/1995,Cash,$0.0375,06/13/1995,08/14/1995,09/06/1995,USD
107,06/01/1995,Cash,$0.0375,04/18/1995,06/07/1995,06/29/1995,USD
