,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/10/2023,Cash,$0.1875,10/20/2023,11/13/2023,11/27/2023,USD
1,07/14/2023,Cash,$0.1875,06/26/2023,07/17/2023,07/31/2023,USD
2,04/21/2023,Cash,$0.1875,04/03/2023,04/24/2023,05/08/2023,USD
3,01/30/2023,Cash,$0.1875,01/03/2023,01/31/2023,02/14/2023,USD
4,11/09/2022,Cash,$0.1875,10/20/2022,11/10/2022,11/29/2022,USD
5,07/08/2022,Cash,$0.1875,06/27/2022,07/11/2022,07/25/2022,USD
6,04/14/2022,Cash,$0.1875,04/04/2022,04/18/2022,05/02/2022,USD
7,01/28/2022,Cash,$0.1875,01/04/2022,01/31/2022,02/14/2022,USD
8,11/05/2021,Cash,$0.1875,10/19/2021,11/08/2021,11/22/2021,USD
9,07/09/2021,Cash,$0.1875,06/28/2021,07/12/2021,07/26/2021,USD
10,04/16/2021,Cash,$0.1875,04/05/2021,04/19/2021,05/03/2021,USD
11,01/14/2021,Cash,$0.1875,01/05/2021,01/18/2021,02/01/2021,USD
12,10/30/2020,Cash,$0.1875,10/20/2020,11/02/2020,11/16/2020,USD
13,08/07/2020,Cash,$0.1875,07/29/2020,08/10/2020,08/24/2020,USD
14,05/08/2020,Cash,$0.1875,04/28/2020,05/11/2020,05/26/2020,USD
15,02/07/2020,Cash,$0.1875,01/28/2020,02/10/2020,02/24/2020,USD
16,11/15/2019,Cash,$0.1875,11/05/2019,11/18/2019,11/29/2019,USD
17,08/12/2019,Cash,$0.1875,07/30/2019,08/13/2019,08/27/2019,USD
18,05/10/2019,Cash,$0.1875,04/24/2019,05/13/2019,05/28/2019,USD
19,02/08/2019,Cash,$0.1875,01/29/2019,02/11/2019,02/25/2019,USD
20,11/08/2018,Cash,$0.1875,10/31/2018,11/12/2018,11/26/2018,USD
21,08/10/2018,Cash,$0.1875,07/31/2018,08/13/2018,08/27/2018,USD
22,05/11/2018,Cash,$0.1875,04/26/2018,05/14/2018,05/29/2018,USD
23,02/09/2018,Cash,$0.1875,01/30/2018,02/12/2018,02/26/2018,USD
24,11/10/2017,Cash,$0.1875,10/25/2017,11/13/2017,11/27/2017,USD
25,08/03/2017,Cash,$0.1875,07/25/2017,08/07/2017,08/21/2017,USD
26,05/04/2017,Cash,$0.1875,04/27/2017,05/08/2017,05/22/2017,USD
27,02/02/2017,Cash,$0.1875,01/25/2017,02/06/2017,02/21/2017,USD
28,11/03/2016,Cash,$0.1875,10/26/2016,11/07/2016,11/21/2016,USD
29,08/04/2016,Cash,$0.1875,07/26/2016,08/08/2016,08/22/2016,USD
