,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/09/2023,Cash,$0.06,10/10/2023,11/10/2023,11/29/2023,USD
1,08/03/2023,Cash,$0.06,07/18/2023,08/04/2023,08/23/2023,USD
2,05/04/2023,Cash,$0.06,04/04/2023,05/05/2023,05/24/2023,USD
3,02/02/2023,Cash,$0.06,01/04/2023,02/03/2023,02/22/2023,USD
4,11/03/2022,Cash,$0.06,10/04/2022,11/04/2022,11/23/2022,USD
5,08/04/2022,Cash,$0.06,07/19/2022,08/05/2022,08/24/2022,USD
6,05/05/2022,Cash,$0.06,04/05/2022,05/06/2022,05/25/2022,USD
7,02/03/2022,Cash,$0.06,01/04/2022,02/04/2022,02/23/2022,USD
8,11/04/2021,Cash,$0.06,10/05/2021,11/05/2021,11/24/2021,USD
9,08/05/2021,Cash,$0.06,07/20/2021,08/06/2021,08/25/2021,USD
10,05/04/2021,Cash,$0.06,04/06/2021,05/05/2021,05/26/2021,USD
11,02/04/2021,Cash,$0.06,01/05/2021,02/05/2021,02/24/2021,USD
12,11/05/2020,Cash,$0.06,10/06/2020,11/06/2020,11/24/2020,USD
13,08/05/2020,Cash,$0.06,07/21/2020,08/06/2020,08/27/2020,USD
14,05/05/2020,Cash,$0.06,04/07/2020,05/06/2020,05/27/2020,USD
15,02/05/2020,Cash,$0.06,01/07/2020,02/06/2020,02/27/2020,USD
16,11/06/2019,Cash,$0.06,10/08/2019,11/07/2019,11/22/2019,USD
17,08/06/2019,Cash,$0.06,07/23/2019,08/07/2019,08/23/2019,USD
18,05/07/2019,Cash,$0.06,04/09/2019,05/08/2019,05/24/2019,USD
19,02/07/2019,Cash,$0.06,01/08/2019,02/08/2019,02/26/2019,USD
20,11/06/2018,Cash,$0.06,10/09/2018,11/07/2018,11/21/2018,USD
21,08/06/2018,Cash,$0.06,07/24/2018,08/07/2018,08/23/2018,USD
22,05/08/2018,Cash,$0.06,04/10/2018,05/09/2018,05/24/2018,USD
23,02/08/2018,Cash,$0.06,01/09/2018,02/09/2018,02/22/2018,USD
24,11/06/2017,Cash,$0.06,10/10/2017,11/07/2017,11/22/2017,USD
25,08/03/2017,Cash,$0.06,07/18/2017,08/07/2017,08/24/2017,USD
26,05/05/2017,Cash,$0.06,04/04/2017,05/09/2017,05/24/2017,USD
27,02/03/2017,Cash,$0.06,01/04/2017,02/07/2017,02/24/2017,USD
28,11/03/2016,Cash,$0.06,10/04/2016,11/07/2016,11/22/2016,USD
29,08/04/2016,Cash,$0.06,07/19/2016,08/08/2016,08/24/2016,USD
30,05/06/2016,Cash,$0.06,04/05/2016,05/10/2016,05/24/2016,USD
31,02/04/2016,Cash,$0.06,01/05/2016,02/08/2016,02/24/2016,USD
32,11/04/2015,Cash,$0.06,10/06/2015,11/06/2015,11/20/2015,USD
33,08/04/2015,Cash,$0.06,07/22/2015,08/06/2015,08/21/2015,USD
34,05/05/2015,Cash,$0.06,04/07/2015,05/07/2015,05/22/2015,USD
35,02/04/2015,Cash,$0.06,01/06/2015,02/06/2015,02/20/2015,USD
36,11/05/2014,Cash,$0.06,10/07/2014,11/07/2014,11/21/2014,USD
37,08/06/2014,Cash,$0.06,07/22/2014,08/08/2014,08/22/2014,USD
38,05/07/2014,Cash,$0.06,04/08/2014,05/09/2014,05/23/2014,USD
39,02/05/2014,Cash,$0.06,01/07/2014,02/07/2014,02/21/2014,USD
40,11/06/2013,Cash,$0.06,10/08/2013,11/08/2013,11/26/2013,USD
41,08/07/2013,Cash,$0.06,07/23/2013,08/09/2013,08/23/2013,USD
42,05/07/2003,Cash,$0.04,N/A,05/07/2003,N/A,USD
43,02/06/2003,Cash,$0.04,N/A,02/06/2003,N/A,USD
44,11/06/2002,Cash,$0.04,N/A,11/06/2002,N/A,USD
45,08/16/2002,Cash,$0.04,N/A,08/16/2002,N/A,USD
46,05/08/2002,Cash,$0.04,N/A,05/08/2002,N/A,USD
47,02/07/2002,Cash,$0.04,N/A,02/07/2002,N/A,USD
48,11/07/2001,Cash,$0.04,N/A,11/07/2001,N/A,USD
49,08/16/2001,Cash,$0.04,N/A,08/16/2001,N/A,USD
50,05/09/2001,Cash,$0.04,N/A,05/09/2001,N/A,USD
51,02/07/2001,Cash,$0.04,N/A,02/07/2001,N/A,USD
52,11/08/2000,Cash,$0.04,N/A,11/08/2000,N/A,USD
53,08/17/2000,Cash,$0.04,N/A,08/17/2000,N/A,USD
54,05/10/2000,Cash,$0.04,N/A,05/10/2000,N/A,USD
55,02/09/2000,Cash,$0.04,N/A,02/09/2000,N/A,USD
56,11/08/1999,Cash,$0.04,N/A,11/08/1999,N/A,USD
57,08/18/1999,Cash,$0.04,N/A,08/18/1999,N/A,USD
58,05/11/1999,Cash,$0.04,N/A,05/11/1999,N/A,USD
59,02/09/1999,Cash,$0.04,N/A,02/09/1999,N/A,USD
60,11/06/1998,Cash,$0.04,N/A,11/06/1998,N/A,USD
61,08/18/1998,Cash,$0.04,N/A,08/18/1998,N/A,USD
62,05/13/1998,Cash,$0.04,N/A,05/13/1998,N/A,USD
63,02/11/1998,Cash,$0.04,N/A,02/11/1998,N/A,USD
64,11/06/1997,Cash,$0.04,N/A,11/06/1997,N/A,USD
65,08/18/1997,Cash,$0.04,N/A,08/18/1997,N/A,USD
66,05/14/1997,Cash,$0.04,N/A,05/14/1997,N/A,USD
67,02/12/1997,Cash,$0.04,N/A,02/12/1997,N/A,USD
68,11/12/1996,Cash,$0.04,N/A,11/12/1996,N/A,USD
69,08/16/1996,Cash,$0.04,N/A,08/16/1996,N/A,USD
70,05/14/1996,Cash,$0.04,N/A,05/14/1996,N/A,USD
71,02/13/1996,Cash,$0.04,N/A,02/13/1996,N/A,USD
72,11/17/1995,Cash,$0.04,N/A,11/17/1995,N/A,USD
73,08/23/1995,Cash,$0.04,N/A,08/23/1995,N/A,USD
74,05/12/1995,Cash,$0.04,N/A,05/12/1995,N/A,USD
75,02/10/1995,Cash,$0.04,N/A,02/10/1995,N/A,USD
76,11/16/1994,Cash,$0.04,N/A,11/16/1994,N/A,USD
77,08/18/1994,Cash,$0.04,N/A,08/18/1994,N/A,USD
78,05/19/1994,Cash,$0.04,N/A,05/19/1994,N/A,USD
79,02/11/1994,Cash,$0.04,N/A,02/11/1994,N/A,USD
80,11/16/1993,Cash,$0.04,N/A,11/16/1993,N/A,USD
81,08/19/1993,Cash,$0.04,N/A,08/19/1993,N/A,USD
82,05/19/1993,Cash,$0.04,N/A,05/19/1993,N/A,USD
83,02/12/1993,Cash,$0.04,N/A,02/12/1993,N/A,USD
84,11/16/1992,Cash,$0.04,N/A,11/16/1992,N/A,USD
85,08/14/1992,Cash,$0.04,N/A,08/14/1992,N/A,USD
86,05/20/1992,Cash,$0.04,N/A,05/20/1992,N/A,USD
87,02/13/1992,Cash,$0.04,N/A,02/13/1992,N/A,USD
88,11/18/1991,Cash,$0.04,N/A,11/18/1991,N/A,USD
89,08/14/1991,Cash,$0.04,N/A,08/14/1991,N/A,USD
90,05/22/1991,Cash,$0.04,N/A,05/22/1991,N/A,USD
91,02/14/1991,Cash,$0.04,N/A,02/14/1991,N/A,USD
92,11/16/1990,Cash,$0.04,N/A,11/16/1990,N/A,USD
93,08/14/1990,Cash,$0.04,N/A,08/14/1990,N/A,USD
94,05/24/1990,Cash,$0.04,N/A,05/24/1990,N/A,USD
95,02/14/1990,Cash,$0.04,N/A,02/14/1990,N/A,USD
96,11/17/1989,Cash,$0.04,N/A,11/17/1989,N/A,USD
97,08/15/1989,Cash,$0.04,N/A,08/15/1989,N/A,USD
98,05/24/1989,Cash,$0.04,N/A,05/24/1989,N/A,USD
99,02/15/1989,Cash,$0.04,N/A,02/15/1989,N/A,USD
100,11/17/1988,Cash,$0.04,N/A,11/17/1988,N/A,USD
