,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/28/2023,Cash,$0.05,09/13/2023,09/29/2023,10/13/2023,USD
1,06/29/2023,Cash,$0.05,06/08/2023,06/30/2023,07/14/2023,USD
2,03/30/2023,Cash,$0.05,03/08/2023,03/31/2023,04/14/2023,USD
3,12/29/2022,Cash,$0.05,12/14/2022,12/30/2022,01/13/2023,USD
4,09/29/2022,Cash,$0.05,09/07/2022,09/30/2022,10/14/2022,USD
5,06/29/2022,Cash,$0.05,06/07/2022,06/30/2022,07/15/2022,USD
6,03/30/2022,Cash,$0.05,03/09/2022,03/31/2022,04/15/2022,USD
7,12/30/2021,Cash,$0.05,12/15/2021,12/31/2021,01/14/2022,USD
8,09/29/2021,Cash,$0.05,09/08/2021,09/30/2021,10/15/2021,USD
9,06/29/2021,Cash,$0.05,06/07/2021,06/30/2021,07/15/2021,USD
10,04/29/2020,Cash,$0.05,03/04/2020,04/30/2020,05/29/2020,USD
11,01/30/2020,Cash,$0.05,12/19/2019,01/31/2020,02/28/2020,USD
12,10/29/2019,Cash,$0.05,09/05/2019,10/30/2019,11/29/2019,USD
13,07/29/2019,Cash,$0.05,06/06/2019,07/30/2019,08/30/2019,USD
14,04/29/2019,Cash,$0.05,03/07/2019,04/30/2019,05/30/2019,USD
15,01/30/2019,Cash,$0.05,12/20/2018,01/31/2019,02/28/2019,USD
16,10/30/2018,Cash,$0.05,09/06/2018,10/31/2018,11/30/2018,USD
17,07/30/2018,Cash,$0.05,06/07/2018,07/31/2018,08/31/2018,USD
18,04/27/2018,Cash,$0.05,03/07/2018,04/30/2018,05/31/2018,USD
19,01/25/2018,Cash,$0.05,12/20/2017,01/26/2018,02/28/2018,USD
20,10/30/2017,Cash,$0.05,09/07/2017,10/31/2017,11/30/2017,USD
21,07/27/2017,Cash,$0.05,06/06/2017,07/31/2017,08/31/2017,USD
22,04/26/2017,Cash,$0.05,03/07/2017,04/30/2017,05/31/2017,USD
