,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/15/2023,Cash,$0.14,10/19/2023,11/16/2023,12/14/2023,USD
1,08/23/2023,Cash,$0.14,07/27/2023,08/24/2023,09/21/2023,USD
2,05/17/2023,Cash,$0.14,04/20/2023,05/18/2023,06/15/2023,USD
3,02/15/2023,Cash,$0.14,01/19/2023,02/16/2023,03/16/2023,USD
4,11/16/2022,Cash,$0.14,10/21/2022,11/17/2022,12/15/2022,USD
5,08/23/2022,Cash,$0.14,07/28/2022,08/24/2022,09/21/2022,USD
6,05/10/2022,Cash,$0.14,04/13/2022,05/11/2022,06/08/2022,USD
7,02/16/2022,Cash,$0.14,01/20/2022,02/17/2022,03/17/2022,USD
8,11/17/2021,Cash,$0.14,10/21/2021,11/18/2021,12/16/2021,USD
9,08/25/2021,Cash,$0.14,07/29/2021,08/26/2021,09/23/2021,USD
10,05/12/2021,Cash,$0.14,04/15/2021,05/13/2021,06/10/2021,USD
11,02/17/2021,Cash,$0.14,01/21/2021,02/18/2021,03/18/2021,USD
12,11/18/2020,Cash,$0.14,10/22/2020,11/19/2020,12/17/2020,USD
13,08/26/2020,Cash,$0.14,07/30/2020,08/27/2020,09/24/2020,USD
14,05/12/2020,Cash,$0.14,04/15/2020,05/13/2020,06/10/2020,USD
15,02/19/2020,Cash,$0.14,01/23/2020,02/20/2020,03/19/2020,USD
16,11/08/2019,Cash,$0.14,10/15/2019,11/12/2019,12/10/2019,USD
17,08/21/2019,Cash,$0.14,07/25/2019,08/22/2019,09/19/2019,USD
18,05/15/2019,Cash,$0.13,04/18/2019,05/16/2019,06/13/2019,USD
19,02/12/2019,Cash,$0.13,01/16/2019,02/13/2019,03/13/2019,USD
20,11/23/2018,Cash,$0.13,11/13/2018,11/26/2018,12/11/2018,USD
21,08/22/2018,Cash,$0.13,07/26/2018,08/23/2018,09/20/2018,USD
22,05/16/2018,Cash,$0.12,04/19/2018,05/17/2018,06/14/2018,USD
23,02/14/2018,Cash,$0.12,01/18/2018,02/15/2018,03/15/2018,USD
24,11/15/2017,Cash,$0.12,10/19/2017,11/16/2017,12/14/2017,USD
25,08/22/2017,Cash,$0.12,07/27/2017,08/24/2017,09/21/2017,USD
26,05/16/2017,Cash,$0.11,04/20/2017,05/18/2017,06/15/2017,USD
27,02/14/2017,Cash,$0.11,01/19/2017,02/16/2017,03/16/2017,USD
28,11/15/2016,Cash,$0.11,10/20/2016,11/17/2016,12/15/2016,USD
29,08/22/2016,Cash,$0.11,07/28/2016,08/24/2016,09/21/2016,USD
30,05/17/2016,Cash,$0.10,04/21/2016,05/19/2016,06/16/2016,USD
31,02/16/2016,Cash,$0.10,01/21/2016,02/18/2016,03/17/2016,USD
32,11/23/2015,Cash,$0.10,10/29/2015,11/26/2015,12/24/2015,USD
33,08/21/2015,Cash,$0.10,07/28/2015,08/25/2015,09/22/2015,USD
34,05/19/2015,Cash,$0.08,04/23/2015,05/21/2015,06/18/2015,USD
35,02/17/2015,Cash,$0.08,01/22/2015,02/19/2015,03/19/2015,USD
36,11/18/2014,Cash,$0.08,10/23/2014,11/20/2014,12/18/2014,USD
37,08/26/2014,Cash,$0.08,08/05/2014,08/28/2014,09/25/2014,USD
38,05/20/2014,Cash,$0.07,04/29/2014,05/22/2014,06/19/2014,USD
39,02/18/2014,Cash,$0.07,01/28/2014,02/20/2014,03/20/2014,USD
40,11/19/2013,Cash,$0.07,10/24/2013,11/21/2013,12/19/2013,USD
41,08/20/2013,Cash,$0.07,07/25/2013,08/22/2013,09/19/2013,USD
42,02/19/2013,Cash,$0.06,01/24/2013,02/21/2013,03/21/2013,USD
