,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/14/2023,Cash,$0.06,12/04/2023,12/15/2023,12/29/2023,USD
1,09/14/2023,Cash,$0.06,08/30/2023,09/15/2023,09/29/2023,USD
2,06/13/2023,Cash,$0.06,05/30/2023,06/14/2023,06/28/2023,USD
3,03/14/2023,Cash,$0.06,02/28/2023,03/15/2023,03/29/2023,USD
4,12/14/2022,Cash,$0.05,12/01/2022,12/15/2022,12/29/2022,USD
5,09/12/2022,Cash,$0.05,09/01/2022,09/13/2022,09/27/2022,USD
6,06/14/2022,Cash,$0.05,05/25/2022,06/15/2022,06/29/2022,USD
7,03/14/2022,Cash,$0.05,02/28/2022,03/15/2022,03/29/2022,USD
8,12/14/2021,Cash,$0.04,12/01/2021,12/15/2021,12/29/2021,USD
9,09/10/2021,Cash,$0.04,09/01/2021,09/13/2021,09/27/2021,USD
10,06/10/2021,Cash,$0.04,06/01/2021,06/11/2021,06/25/2021,USD
11,03/11/2021,Cash,$0.04,03/01/2021,03/12/2021,03/26/2021,USD
12,12/14/2020,Cash,$0.04,N/A,12/15/2020,12/30/2020,USD
13,09/14/2020,Cash,$0.04,09/04/2020,09/15/2020,09/28/2020,USD
14,06/17/2020,Cash,$0.03,06/08/2020,06/18/2020,06/29/2020,USD
15,03/09/2020,Cash,$0.04,02/20/2020,03/10/2020,03/25/2020,USD
16,12/09/2019,Cash,$0.03,11/15/2019,12/10/2019,12/26/2019,USD
17,09/09/2019,Cash,$0.04,08/15/2019,09/10/2019,09/25/2019,USD
18,06/07/2019,Cash,$0.03,05/20/2019,06/10/2019,06/25/2019,USD
19,03/08/2019,Cash,$0.03,02/15/2019,03/11/2019,03/25/2019,USD
20,12/07/2018,Cash,$0.03,11/15/2018,12/10/2018,12/26/2018,USD
21,09/07/2018,Cash,$0.03,08/15/2018,09/10/2018,09/25/2018,USD
22,06/08/2018,Cash,$0.03,05/15/2018,06/11/2018,06/25/2018,USD
23,03/09/2018,Cash,$0.03,02/15/2018,03/12/2018,03/26/2018,USD
24,12/08/2017,Cash,$0.03,11/15/2017,12/11/2017,12/26/2017,USD
25,09/08/2017,Cash,$0.03,08/16/2017,09/11/2017,09/25/2017,USD
26,06/08/2017,Cash,$0.03,05/15/2017,06/12/2017,06/26/2017,USD
27,03/08/2017,Cash,$0.03,02/15/2017,03/10/2017,03/27/2017,USD
28,12/08/2016,Cash,$0.03,11/15/2016,12/12/2016,12/27/2016,USD
29,09/07/2016,Cash,$0.03,08/03/2016,09/09/2016,09/26/2016,USD
30,06/08/2016,Cash,$0.03,05/09/2016,06/10/2016,06/27/2016,USD
31,03/08/2016,Cash,$0.03,02/09/2016,03/10/2016,03/25/2016,USD
