,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/17/2023,Cash,$0.46,10/05/2023,10/18/2023,10/31/2023,USD
1,07/17/2023,Cash,$0.42,07/05/2023,07/18/2023,07/31/2023,USD
2,04/12/2023,Cash,$0.42,04/03/2023,04/13/2023,04/28/2023,USD
3,01/19/2023,Cash,$0.42,01/03/2023,01/20/2023,01/31/2023,USD
4,10/14/2022,Cash,$0.42,10/06/2022,10/17/2022,10/31/2022,USD
5,07/14/2022,Cash,$0.40,07/05/2022,07/15/2022,07/29/2022,USD
6,04/13/2022,Cash,$0.40,04/01/2022,04/14/2022,04/29/2022,USD
7,01/13/2022,Cash,$0.40,01/04/2022,01/14/2022,01/31/2022,USD
8,10/15/2021,Cash,$0.40,10/07/2021,10/18/2021,10/29/2021,USD
9,07/14/2021,Cash,$0.38,07/02/2021,07/15/2021,07/30/2021,USD
10,04/14/2021,Cash,$0.38,04/02/2021,04/15/2021,04/30/2021,USD
11,01/14/2021,Cash,$0.38,01/04/2021,01/15/2021,01/29/2021,USD
12,10/16/2020,Cash,$0.38,10/08/2020,10/19/2020,10/30/2020,USD
13,07/15/2020,Cash,$0.36,07/02/2020,07/16/2020,07/31/2020,USD
14,04/15/2020,Cash,$0.36,04/02/2020,04/16/2020,04/30/2020,USD
15,01/15/2020,Cash,$0.36,01/03/2020,01/16/2020,01/31/2020,USD
16,10/11/2019,Cash,$0.36,10/04/2019,10/15/2019,10/31/2019,USD
17,07/15/2019,Cash,$0.35,07/03/2019,07/16/2019,07/31/2019,USD
18,04/15/2019,Cash,$0.35,04/04/2019,04/16/2019,04/30/2019,USD
19,01/15/2019,Cash,$0.35,01/02/2019,01/16/2019,01/31/2019,USD
20,10/15/2018,Cash,$0.35,10/05/2018,10/16/2018,10/31/2018,USD
21,07/16/2018,Cash,$0.32,07/05/2018,07/17/2018,07/31/2018,USD
22,04/16/2018,Cash,$0.32,04/04/2018,04/17/2018,04/30/2018,USD
23,01/16/2018,Cash,$0.32,01/03/2018,01/17/2018,01/31/2018,USD
24,10/13/2017,Cash,$0.32,10/05/2017,10/16/2017,10/31/2017,USD
25,07/13/2017,Cash,$0.30,07/05/2017,07/17/2017,07/31/2017,USD
26,04/11/2017,Cash,$0.30,04/04/2017,04/14/2017,04/28/2017,USD
27,01/11/2017,Cash,$0.30,01/04/2017,01/16/2017,01/31/2017,USD
28,10/13/2016,Cash,$0.30,10/06/2016,10/17/2016,10/31/2016,USD
29,07/14/2016,Cash,$0.275,07/08/2016,07/18/2016,07/29/2016,USD
30,04/14/2016,Cash,$0.275,04/08/2016,04/18/2016,04/29/2016,USD
31,01/13/2016,Cash,$0.275,01/05/2016,01/15/2016,01/29/2016,USD
32,10/15/2015,Cash,$0.275,10/08/2015,10/19/2015,10/30/2015,USD
33,07/09/2015,Cash,$0.26,07/02/2015,07/13/2015,07/31/2015,USD
34,04/09/2015,Cash,$0.26,04/02/2015,04/13/2015,04/30/2015,USD
35,01/08/2015,Cash,$0.26,01/02/2015,01/12/2015,01/30/2015,USD
36,10/16/2014,Cash,$0.26,10/09/2014,10/20/2014,10/31/2014,USD
37,07/09/2014,Cash,$0.24,07/01/2014,07/11/2014,07/31/2014,USD
38,04/09/2014,Cash,$0.24,04/01/2014,04/11/2014,04/30/2014,USD
39,01/09/2014,Cash,$0.24,01/03/2014,01/13/2014,01/31/2014,USD
40,10/17/2013,Cash,$0.24,10/10/2013,10/21/2013,10/31/2013,USD
41,07/10/2013,Cash,$0.225,07/02/2013,07/12/2013,07/31/2013,USD
42,04/10/2013,Cash,$0.225,04/02/2013,04/12/2013,04/30/2013,USD
43,12/13/2012,Cash,$0.225,12/07/2012,12/17/2012,12/28/2012,USD
44,10/11/2012,Cash,$0.225,10/04/2012,10/15/2012,10/31/2012,USD
45,07/11/2012,Cash,$0.215,07/03/2012,07/13/2012,07/31/2012,USD
46,04/11/2012,Cash,$0.215,04/03/2012,04/13/2012,04/30/2012,USD
47,01/11/2012,Cash,$0.215,01/03/2012,01/13/2012,01/31/2012,USD
48,10/13/2011,Cash,$0.215,10/06/2011,10/17/2011,10/31/2011,USD
49,07/13/2011,Cash,$0.21,07/05/2011,07/15/2011,07/29/2011,USD
50,04/11/2011,Cash,$0.21,04/05/2011,04/13/2011,04/29/2011,USD
51,01/12/2011,Cash,$0.21,01/04/2011,01/14/2011,01/31/2011,USD
52,10/14/2010,Cash,$0.21,10/07/2010,10/18/2010,10/29/2010,USD
53,07/14/2010,Cash,$0.205,07/06/2010,07/16/2010,07/30/2010,USD
54,04/14/2010,Cash,$0.205,04/06/2010,04/16/2010,04/30/2010,USD
55,01/13/2010,Cash,$0.205,01/05/2010,01/15/2010,01/29/2010,USD
56,10/15/2009,Cash,$0.205,10/08/2009,10/19/2009,10/30/2009,USD
57,07/15/2009,Cash,$0.20,07/07/2009,07/17/2009,07/31/2009,USD
