,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/11/2024,Cash,$0.37,12/01/2023,01/12/2024,01/26/2024,USD
1,10/12/2023,Cash,$0.37,09/06/2023,10/13/2023,10/27/2023,USD
2,07/13/2023,Cash,$0.37,06/02/2023,07/14/2023,07/28/2023,USD
3,04/13/2023,Cash,$0.37,03/29/2023,04/14/2023,04/28/2023,USD
4,01/12/2023,Cash,$0.37,11/30/2022,01/13/2023,01/27/2023,USD
5,10/13/2022,Cash,$0.37,08/30/2022,10/14/2022,10/28/2022,USD
6,07/14/2022,Cash,$0.37,05/31/2022,07/15/2022,07/29/2022,USD
7,04/13/2022,Cash,$0.37,03/23/2022,04/14/2022,04/29/2022,USD
8,01/13/2022,Cash,$0.37,N/A,01/14/2022,01/28/2022,USD
9,10/14/2021,Cash,$0.37,09/02/2021,10/15/2021,10/29/2021,USD
10,07/15/2021,Cash,$0.37,06/03/2021,07/16/2021,07/30/2021,USD
11,04/15/2021,Cash,$0.37,03/25/2021,04/16/2021,04/30/2021,USD
12,01/14/2021,Cash,$0.37,12/03/2020,01/15/2021,01/29/2021,USD
13,10/15/2020,Cash,$0.37,09/02/2020,10/16/2020,10/30/2020,USD
14,07/16/2020,Cash,$0.37,06/04/2020,07/17/2020,07/31/2020,USD
15,04/08/2020,Cash,$0.37,03/26/2020,04/09/2020,04/24/2020,USD
16,01/16/2020,Cash,$0.37,12/11/2019,01/17/2020,01/31/2020,USD
17,10/10/2019,Cash,$0.37,09/18/2019,10/11/2019,10/25/2019,USD
18,07/11/2019,Cash,$0.37,06/07/2019,07/12/2019,07/26/2019,USD
19,04/11/2019,Cash,$0.37,03/29/2019,04/12/2019,04/26/2019,USD
20,01/10/2019,Cash,$0.31,12/12/2018,01/11/2019,01/25/2019,USD
21,10/12/2018,Cash,$0.31,10/04/2018,10/15/2018,10/26/2018,USD
22,07/12/2018,Cash,$0.31,06/13/2018,07/13/2018,07/27/2018,USD
23,04/12/2018,Cash,$0.31,03/29/2018,04/13/2018,04/27/2018,USD
24,01/11/2018,Cash,$0.31,12/14/2017,01/12/2018,01/26/2018,USD
25,10/12/2017,Cash,$0.31,10/04/2017,10/13/2017,10/27/2017,USD
26,07/12/2017,Cash,$0.31,06/12/2017,07/14/2017,07/28/2017,USD
27,04/11/2017,Cash,$0.31,03/30/2017,04/14/2017,04/28/2017,USD
28,01/11/2017,Cash,$0.31,12/14/2016,01/13/2017,01/27/2017,USD
29,10/12/2016,Cash,$0.31,09/15/2016,10/14/2016,10/28/2016,USD
30,07/13/2016,Cash,$0.31,06/13/2016,07/15/2016,07/29/2016,USD
31,04/13/2016,Cash,$0.31,03/29/2016,04/15/2016,04/29/2016,USD
32,01/13/2016,Cash,$0.31,12/16/2015,01/15/2016,01/29/2016,USD
33,10/13/2015,Cash,$0.31,09/14/2015,10/15/2015,10/30/2015,USD
34,07/13/2015,Cash,$0.31,06/09/2015,07/15/2015,07/30/2015,USD
35,04/13/2015,Cash,$0.28,03/31/2015,04/15/2015,04/30/2015,USD
36,01/13/2015,Cash,$0.28,12/09/2014,01/15/2015,01/30/2015,USD
37,10/10/2014,Cash,$0.28,09/03/2014,10/15/2014,10/30/2014,USD
38,07/11/2014,Cash,$0.28,06/09/2014,07/15/2014,07/30/2014,USD
39,04/11/2014,Cash,$0.28,03/20/2014,04/15/2014,04/30/2014,USD
40,01/13/2014,Cash,$0.28,12/12/2013,01/15/2014,01/30/2014,USD
41,10/10/2013,Cash,$0.28,10/03/2013,10/15/2013,10/30/2013,USD
