,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/30/2023,Cash,$0.20,09/20/2023,10/31/2023,12/15/2023,USD
1,08/30/2023,Cash,$0.20,07/19/2023,08/31/2023,09/15/2023,USD
2,04/27/2023,Cash,$0.20,03/22/2023,04/28/2023,06/15/2023,USD
3,01/30/2023,Cash,$0.20,12/14/2022,01/31/2023,03/15/2023,USD
4,10/28/2022,Cash,$0.20,09/21/2022,10/31/2022,12/15/2022,USD
5,08/30/2022,Cash,$0.20,07/20/2022,08/31/2022,09/15/2022,USD
6,04/28/2022,Cash,$0.15,03/16/2022,04/29/2022,06/15/2022,USD
7,01/28/2022,Cash,$0.15,12/15/2021,01/31/2022,03/15/2022,USD
8,10/28/2021,Cash,$0.15,09/22/2021,10/29/2021,12/15/2021,USD
9,08/30/2021,Cash,$0.15,07/21/2021,08/31/2021,09/15/2021,USD
10,04/29/2021,Cash,$0.15,03/17/2021,04/30/2021,06/15/2021,USD
11,01/28/2021,Cash,$0.15,12/16/2020,01/29/2021,03/15/2021,USD
12,10/29/2020,Cash,$0.15,09/23/2020,10/30/2020,12/15/2020,USD
13,08/28/2020,Cash,$0.15,07/22/2020,08/31/2020,09/15/2020,USD
14,04/29/2020,Cash,$0.15,03/18/2020,04/30/2020,06/15/2020,USD
15,01/30/2020,Cash,$0.15,12/11/2019,01/31/2020,03/16/2020,USD
16,10/30/2019,Cash,$0.15,09/18/2019,10/31/2019,12/16/2019,USD
17,08/29/2019,Cash,$0.15,07/24/2019,08/30/2019,09/16/2019,USD
18,04/29/2019,Cash,$0.15,03/20/2019,04/30/2019,06/17/2019,USD
19,01/30/2019,Cash,$0.15,12/12/2018,01/31/2019,03/15/2019,USD
20,10/30/2018,Cash,$0.15,09/26/2018,10/31/2018,12/17/2018,USD
21,08/30/2018,Cash,$0.15,07/18/2018,08/31/2018,09/17/2018,USD
22,04/27/2018,Cash,$0.15,03/21/2018,04/30/2018,06/15/2018,USD
23,01/30/2018,Cash,$0.15,12/13/2017,01/31/2018,03/15/2018,USD
24,10/30/2017,Cash,$0.15,09/20/2017,10/31/2017,12/15/2017,USD
25,08/29/2017,Cash,$0.15,07/19/2017,08/31/2017,09/15/2017,USD
26,04/26/2017,Cash,$0.15,03/22/2017,04/28/2017,06/15/2017,USD
27,01/27/2017,Cash,$0.15,12/14/2016,01/31/2017,03/15/2017,USD
28,10/27/2016,Cash,$0.15,09/21/2016,10/31/2016,12/15/2016,USD
29,08/29/2016,Cash,$0.15,07/20/2016,08/31/2016,09/15/2016,USD
30,04/27/2016,Cash,$0.15,03/23/2016,04/29/2016,06/15/2016,USD
31,01/27/2016,Cash,$0.15,12/16/2015,01/29/2016,03/15/2016,USD
32,10/28/2015,Cash,$0.15,09/22/2015,10/30/2015,12/15/2015,USD
33,08/27/2015,Cash,$0.15,07/22/2015,08/31/2015,09/15/2015,USD
34,04/28/2015,Cash,$0.15,03/25/2015,04/30/2015,06/15/2015,USD
35,01/28/2015,Cash,$0.15,12/17/2014,01/30/2015,03/16/2015,USD
36,10/29/2014,Cash,$0.15,09/24/2014,10/31/2014,12/15/2014,USD
37,08/27/2014,Cash,$0.15,07/23/2014,08/29/2014,09/15/2014,USD
38,04/28/2014,Cash,$0.15,03/19/2014,04/30/2014,06/16/2014,USD
39,01/29/2014,Cash,$0.15,12/18/2013,01/31/2014,03/17/2014,USD
40,10/29/2013,Cash,$0.15,09/18/2013,10/31/2013,12/16/2013,USD
41,08/28/2013,Cash,$0.125,07/17/2013,08/30/2013,09/16/2013,USD
42,04/26/2013,Cash,$0.125,03/20/2013,04/30/2013,06/17/2013,USD
43,01/29/2013,Cash,$0.125,12/19/2012,01/31/2013,03/15/2013,USD
