,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/02/2023,Cash,$0.10,09/19/2023,10/03/2023,10/13/2023,USD
1,07/05/2023,Cash,$0.10,06/21/2023,07/06/2023,07/17/2023,USD
2,04/04/2023,Cash,$0.10,03/22/2023,04/05/2023,04/14/2023,USD
3,12/30/2022,Cash,$0.10,12/19/2022,01/03/2023,01/13/2023,USD
4,10/04/2022,Cash,$0.10,09/22/2022,10/05/2022,10/17/2022,USD
5,07/06/2022,Cash,$0.145,06/22/2022,07/07/2022,07/18/2022,USD
6,04/01/2022,Cash,$0.145,03/23/2022,04/04/2022,04/14/2022,USD
7,12/23/2021,Cash,$0.145,12/16/2021,12/27/2021,01/10/2022,USD
8,10/01/2021,Cash,$0.145,09/22/2021,10/04/2021,10/15/2021,USD
9,07/02/2021,Cash,$0.145,06/23/2021,07/06/2021,07/20/2021,USD
10,04/01/2021,Cash,$0.10,03/23/2021,04/05/2021,04/15/2021,USD
11,12/24/2020,Cash,$0.10,12/17/2020,12/28/2020,01/11/2021,USD
12,10/01/2020,Cash,$0.10,09/22/2020,10/02/2020,10/15/2020,USD
13,07/07/2020,Cash,$0.10,06/30/2020,07/08/2020,07/15/2020,USD
14,04/02/2020,Cash,$0.07,03/24/2020,04/03/2020,04/17/2020,USD
15,12/26/2019,Cash,$0.145,12/18/2019,12/27/2019,01/13/2020,USD
16,09/27/2019,Cash,$0.145,09/20/2019,09/30/2019,10/14/2019,USD
17,06/28/2019,Cash,$0.145,06/20/2019,07/01/2019,07/16/2019,USD
18,03/28/2019,Cash,$0.145,03/20/2019,03/29/2019,04/12/2019,USD
19,12/27/2018,Cash,$0.135,12/19/2018,12/28/2018,01/14/2019,USD
20,09/28/2018,Cash,$0.135,09/21/2018,10/01/2018,10/15/2018,USD
21,06/29/2018,Cash,$0.135,06/21/2018,07/02/2018,07/17/2018,USD
22,03/28/2018,Cash,$0.135,03/20/2018,03/30/2018,04/13/2018,USD
23,12/28/2017,Cash,$0.1275,12/19/2017,12/29/2017,01/15/2018,USD
24,09/27/2017,Cash,$0.1275,09/18/2017,09/28/2017,10/12/2017,USD
25,06/29/2017,Cash,$0.1275,06/21/2017,07/03/2017,07/14/2017,USD
26,03/29/2017,Cash,$0.1275,03/21/2017,03/31/2017,04/14/2017,USD
27,12/29/2016,Cash,$0.12,12/20/2016,01/03/2017,01/13/2017,USD
28,09/30/2016,Cash,$0.12,09/21/2016,10/04/2016,10/14/2016,USD
