,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,05/10/2023,Cash,$0.117495,05/02/2023,05/11/2023,N/A,USD
1,05/10/2023,Cash,$0.126522,05/01/2023,05/11/2023,N/A,USD
2,12/01/2022,Cash,$0.22145,11/22/2022,12/02/2022,N/A,USD
3,05/11/2022,Cash,$0.067885,05/24/2022,05/12/2022,N/A,USD
4,08/06/2021,Cash,$0.2433006,N/A,08/09/2021,08/17/2021,USD
5,05/12/2021,Cash,$0.1211251,05/03/2021,05/13/2021,05/21/2021,USD
6,05/04/2020,Cash,$0.001715,04/21/2020,05/05/2020,01/11/2021,USD
7,09/27/2019,Cash,$0.0716948,09/20/2019,09/30/2019,10/07/2019,USD
8,05/06/2019,Cash,$0.162504,04/27/2019,05/07/2019,06/05/2019,USD
9,03/19/2015,Cash,$0.062071,N/A,03/23/2015,03/30/2015,USD
10,01/08/2015,Cash,$0.077511,N/A,01/12/2015,01/23/2015,USD
11,03/11/2014,Cash,$0.124027,N/A,03/13/2014,03/20/2014,USD
12,11/21/2013,Cash,$0.02503,N/A,11/25/2013,12/06/2013,USD
13,11/21/2013,Cash,$0.117788,N/A,11/25/2013,12/06/2013,USD
14,08/15/2013,Cash,$0.02238,N/A,08/19/2013,08/26/2013,USD
15,08/15/2013,Cash,$0.061435,N/A,08/19/2013,08/26/2013,USD
16,04/10/2013,Cash,$0.027526,N/A,04/12/2013,07/12/2013,USD
17,04/10/2013,Cash,$0.12633,N/A,04/12/2013,05/02/2013,USD
18,01/03/2013,Cash,$0.101249,N/A,01/07/2013,01/14/2013,USD
19,05/09/2012,Cash,$0.394582,N/A,05/11/2012,05/31/2012,USD
20,05/05/2011,Cash,$0.128701,N/A,05/09/2011,05/17/2011,USD
21,05/05/2011,Cash,$0.636557,N/A,05/09/2011,05/17/2011,USD
22,05/03/2010,Cash,$0.575987,N/A,05/05/2010,07/02/2010,USD
23,12/23/2009,Cash,$0.046981,N/A,12/28/2009,05/07/2010,USD
24,05/04/2009,Cash,$0.145014,N/A,05/06/2009,05/18/2009,USD
25,03/30/2009,Cash,$0.540888,N/A,04/01/2009,07/06/2009,USD
26,08/21/2008,Cash,$0.089867,N/A,08/25/2008,12/05/2008,USD
27,04/22/2008,Cash,$0.046969,N/A,04/24/2008,05/12/2008,USD
28,04/22/2008,Cash,$0.972941,N/A,04/24/2008,05/12/2008,USD
29,12/26/2007,Cash,$0.248763,N/A,12/28/2007,01/15/2008,USD
30,12/26/2007,Cash,$1.468534,N/A,12/28/2007,01/15/2008,USD
31,05/02/2007,Cash,$0.2940983,N/A,05/04/2007,09/11/2007,USD
32,05/02/2007,Cash,$1.013296,N/A,05/04/2007,09/11/2007,USD
33,08/08/2006,Cash,$0.597523,N/A,08/10/2006,08/17/2006,USD
34,06/29/2006,Cash,$0.725525,N/A,07/03/2006,07/12/2006,USD
35,05/04/2006,Cash,$0.41350205,N/A,05/08/2006,05/16/2006,USD
36,05/04/2006,Cash,$0.239797,N/A,05/08/2006,05/16/2006,USD
37,05/02/2005,Cash,$0.298333,N/A,05/04/2005,06/21/2005,USD
38,05/02/2005,Cash,$2.97435,N/A,05/04/2005,06/21/2005,USD
39,06/18/2004,Cash,$0.03913,N/A,06/22/2004,06/29/2004,USD
40,04/30/2004,Cash,$3.01355,N/A,05/04/2004,06/18/2004,USD
41,05/01/2003,Cash,$3.6589,N/A,05/05/2003,06/18/2003,USD
42,05/14/2002,Cash,$0.40419,N/A,05/16/2002,06/19/2002,USD
43,04/18/2002,Cash,$0.22455,N/A,04/22/2002,06/18/2002,USD
44,06/15/2001,Cash,$4.7198,N/A,06/19/2001,06/26/2001,USD
45,03/27/2001,Cash,$10.0016,N/A,03/19/2001,03/26/2001,USD
46,01/04/2001,Cash,$1.9079,N/A,01/08/2001,03/05/2001,USD
47,03/07/2000,Cash,$0.3593,N/A,03/09/2000,03/23/2000,USD
48,01/03/2000,Cash,$0.4537,N/A,01/05/2000,01/18/2000,USD
49,06/09/1999,Cash,$0.7922,N/A,06/11/1999,06/22/1999,USD
50,12/24/1998,Cash,$0.9749,N/A,12/29/1998,01/07/1999,USD
51,08/05/1998,Cash,$1.4718,N/A,08/07/1998,08/18/1998,USD
52,05/01/1998,Cash,$0.4044,N/A,05/05/1998,05/22/1998,USD
53,12/31/1997,Cash,$1.1395,N/A,01/05/1998,01/23/1998,USD
54,08/01/1997,Cash,$0.8925805,N/A,08/05/1997,09/09/1997,USD
55,04/24/1997,Cash,$1.0665452,N/A,04/28/1997,05/27/1997,USD
56,08/21/1996,Cash,$0.3593274,N/A,08/23/1996,09/11/1996,USD
57,04/19/1996,Cash,$0.3890152,N/A,04/23/1996,05/28/1996,USD
58,11/30/1995,Cash,$0.1539207,N/A,12/04/1995,12/29/1995,USD
59,05/01/1995,Cash,$1.119296,N/A,05/05/1995,05/30/1995,USD
