,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,01/25/2024,Cash,$0.23,12/05/2023,01/26/2024,02/23/2024,USD
1,10/26/2023,Cash,$0.23,08/31/2023,10/27/2023,11/24/2023,USD
2,07/27/2023,Cash,$0.23,06/08/2023,07/28/2023,08/25/2023,USD
3,04/27/2023,Cash,$0.23,03/16/2023,04/28/2023,05/26/2023,USD
4,01/26/2023,Cash,$0.20,12/06/2022,01/27/2023,02/24/2023,USD
5,10/27/2022,Cash,$0.20,08/30/2022,10/28/2022,11/25/2022,USD
6,07/28/2022,Cash,$0.20,06/09/2022,07/29/2022,08/26/2022,USD
7,04/28/2022,Cash,$0.20,03/16/2022,04/29/2022,05/27/2022,USD
8,01/27/2022,Cash,$0.18,01/20/2022,01/28/2022,02/25/2022,USD
9,10/28/2021,Cash,$0.18,09/02/2021,10/29/2021,11/26/2021,USD
10,07/29/2021,Cash,$0.18,06/10/2021,07/30/2021,08/27/2021,USD
11,01/30/2020,Cash,$0.37,01/17/2020,01/31/2020,02/28/2020,USD
12,10/31/2019,Cash,$0.37,09/05/2019,11/01/2019,11/29/2019,USD
13,08/01/2019,Cash,$0.37,06/07/2019,08/02/2019,08/30/2019,USD
14,05/02/2019,Cash,$0.37,04/04/2019,05/03/2019,05/31/2019,USD
15,01/31/2019,Cash,$0.37,01/18/2019,02/01/2019,03/01/2019,USD
16,11/01/2018,Cash,$0.37,08/30/2018,11/02/2018,11/30/2018,USD
17,08/02/2018,Cash,$0.37,06/06/2018,08/03/2018,08/31/2018,USD
18,05/03/2018,Cash,$0.37,03/14/2018,05/04/2018,06/01/2018,USD
19,02/01/2018,Cash,$0.31,01/11/2018,02/02/2018,03/02/2018,USD
20,10/26/2017,Cash,$0.31,08/24/2017,10/27/2017,11/30/2017,USD
21,07/26/2017,Cash,$0.31,05/25/2017,07/28/2017,08/30/2017,USD
22,04/26/2017,Cash,$0.31,03/09/2017,04/28/2017,05/31/2017,USD
23,01/25/2017,Cash,$0.26,01/11/2017,01/27/2017,02/28/2017,USD
24,10/26/2016,Cash,$0.26,08/25/2016,10/28/2016,11/28/2016,USD
25,07/27/2016,Cash,$0.26,05/26/2016,07/29/2016,08/26/2016,USD
26,04/27/2016,Cash,$0.26,03/24/2016,04/29/2016,05/27/2016,USD
27,01/28/2016,Cash,$0.22,01/07/2016,01/29/2016,02/26/2016,USD
28,10/29/2015,Cash,$0.22,08/27/2015,10/30/2015,11/27/2015,USD
29,07/30/2015,Cash,$0.22,06/16/2015,07/31/2015,08/27/2015,USD
30,04/30/2015,Cash,$0.22,03/26/2015,05/01/2015,05/27/2015,USD
31,01/29/2015,Cash,$0.18,01/08/2015,01/30/2015,02/26/2015,USD
32,10/29/2014,Cash,$0.18,08/26/2014,10/31/2014,11/25/2014,USD
33,07/30/2014,Cash,$0.18,06/16/2014,08/01/2014,08/27/2014,USD
34,04/30/2014,Cash,$0.18,03/27/2014,05/02/2014,05/28/2014,USD
35,01/29/2014,Cash,$0.15,01/09/2014,01/31/2014,02/27/2014,USD
36,10/30/2013,Cash,$0.15,09/04/2013,11/01/2013,11/26/2013,USD
37,07/31/2013,Cash,$0.15,06/18/2013,08/02/2013,08/28/2013,USD
38,05/01/2013,Cash,$0.15,03/28/2013,05/03/2013,05/29/2013,USD
39,01/24/2013,Cash,$0.12,01/08/2013,01/28/2013,02/27/2013,USD
40,10/24/2012,Cash,$0.12,09/07/2012,10/26/2012,11/26/2012,USD
41,07/25/2012,Cash,$0.12,06/19/2012,07/27/2012,08/28/2012,USD
42,04/25/2012,Cash,$0.12,03/22/2012,04/27/2012,05/29/2012,USD
43,01/25/2012,Cash,$0.10,01/10/2012,01/27/2012,02/27/2012,USD
44,10/26/2011,Cash,$0.10,08/25/2011,10/28/2011,11/28/2011,USD
45,09/24/2008,Cash,$0.192,09/15/2008,09/26/2008,11/07/2008,USD
46,05/21/2008,Cash,$0.6317,N/A,05/23/2008,07/14/2008,USD
47,09/26/2007,Cash,$0.096,N/A,09/28/2007,11/16/2007,USD
48,05/30/2007,Cash,$0.6317,N/A,06/01/2007,07/13/2007,USD
49,09/20/2006,Cash,$0.0842,N/A,09/22/2006,11/10/2006,USD
50,05/31/2006,Cash,$0.5339,N/A,06/02/2006,06/14/2006,USD
51,10/05/2005,Cash,$0.0727,N/A,10/07/2005,11/14/2005,USD
52,06/08/2005,Cash,$0.4549,N/A,06/10/2005,07/15/2005,USD
53,10/06/2004,Cash,$0.2062,N/A,10/08/2004,11/12/2004,USD
54,06/02/2004,Cash,$1.1787,N/A,06/04/2004,07/12/2004,USD
55,10/08/2003,Cash,$0.1701,N/A,10/10/2003,11/17/2003,USD
56,06/04/2003,Cash,$0.8765,N/A,06/06/2003,07/24/2003,USD
57,10/09/2002,Cash,$0.1468,N/A,10/11/2002,11/18/2002,USD
58,06/05/2002,Cash,$0.6819,N/A,06/07/2002,07/15/2002,USD
59,10/10/2001,Cash,$0.1255,N/A,10/12/2001,11/19/2001,USD
60,06/06/2001,Cash,$0.5658,N/A,06/08/2001,07/13/2001,USD
61,10/11/2000,Cash,$0.1176,N/A,10/13/2000,11/20/2000,USD
62,06/01/2000,Cash,$0.5436,N/A,06/05/2000,07/13/2000,USD
63,02/16/2000,Cash,$0.3175,01/21/2000,02/18/2000,03/20/2000,USD
64,11/17/1999,Cash,$0.31,10/19/1999,11/19/1999,12/20/1999,USD
65,10/13/1999,Cash,$0.1212,N/A,10/15/1999,11/22/1999,USD
66,08/18/1999,Cash,$0.31,07/23/1999,08/20/1999,09/20/1999,USD
67,05/19/1999,Cash,$0.31,04/28/1999,05/21/1999,06/21/1999,USD
68,05/19/1999,Cash,$0.4718,N/A,05/21/1999,07/12/1999,USD
69,02/17/1999,Cash,$0.31,01/21/1999,02/19/1999,03/20/1999,USD
70,11/18/1998,Cash,$0.3025,10/20/1998,11/20/1998,12/21/1998,USD
71,08/19/1998,Cash,$0.3025,07/21/1998,08/21/1998,09/21/1998,USD
72,05/20/1998,Cash,$0.3025,04/28/1998,05/22/1998,06/20/1998,USD
73,02/18/1998,Cash,$0.3025,01/20/1998,02/20/1998,03/20/1998,USD
74,11/19/1997,Cash,$0.295,10/21/1997,11/21/1997,12/20/1997,USD
75,08/20/1997,Cash,$0.295,07/16/1997,08/22/1997,09/20/1997,USD
76,05/21/1997,Cash,$0.295,04/22/1997,05/23/1997,06/20/1997,USD
77,02/19/1997,Cash,$0.4425,01/21/1997,02/21/1997,03/20/1997,USD
78,11/13/1996,Cash,$0.4325,10/16/1996,11/15/1996,12/20/1996,USD
79,08/14/1996,Cash,$0.4325,07/16/1996,08/16/1996,09/20/1996,USD
80,05/15/1996,Cash,$0.4325,04/24/1996,05/17/1996,06/20/1996,USD
81,02/21/1996,Cash,$0.4325,01/17/1996,02/23/1996,03/20/1996,USD
