,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/16/2023,Cash,$1.06,10/19/2023,11/17/2023,12/01/2023,USD
1,08/17/2023,Cash,$1.06,07/14/2023,08/18/2023,09/01/2023,USD
2,05/11/2023,Cash,$1.02,04/18/2023,05/12/2023,06/01/2023,USD
3,02/09/2023,Cash,$1.02,01/20/2023,02/10/2023,03/01/2023,USD
4,11/09/2022,Cash,$1.02,10/20/2022,11/11/2022,12/01/2022,USD
5,08/11/2022,Cash,$1.02,07/15/2022,08/12/2022,09/01/2022,USD
6,05/12/2022,Cash,$0.99,04/21/2022,05/13/2022,06/01/2022,USD
7,02/10/2022,Cash,$0.99,01/21/2022,02/11/2022,03/01/2022,USD
8,11/10/2021,Cash,$0.99,10/22/2021,11/12/2021,12/01/2021,USD
9,08/12/2021,Cash,$0.99,07/08/2021,08/13/2021,09/01/2021,USD
10,05/13/2021,Cash,$0.90,04/16/2021,05/14/2021,06/01/2021,USD
11,02/11/2021,Cash,$0.90,01/22/2021,02/12/2021,03/01/2021,USD
12,11/12/2020,Cash,$0.90,10/23/2020,11/13/2020,12/01/2020,USD
13,08/13/2020,Cash,$0.90,07/21/2020,08/14/2020,09/01/2020,USD
14,05/14/2020,Cash,$0.88,04/23/2020,05/15/2020,06/01/2020,USD
15,02/13/2020,Cash,$0.88,01/18/2020,02/14/2020,03/02/2020,USD
16,11/14/2019,Cash,$0.88,10/28/2019,11/15/2019,12/02/2019,USD
17,08/15/2019,Cash,$0.88,07/24/2019,08/16/2019,09/03/2019,USD
18,05/16/2019,Cash,$0.85,04/19/2019,05/17/2019,06/03/2019,USD
19,02/14/2019,Cash,$0.85,01/19/2019,02/15/2019,03/01/2019,USD
20,11/15/2018,Cash,$0.85,10/27/2018,11/16/2018,12/03/2018,USD
21,08/16/2018,Cash,$0.85,07/16/2018,08/17/2018,09/04/2018,USD
22,05/10/2018,Cash,$0.78,04/20/2018,05/11/2018,06/01/2018,USD
23,02/08/2018,Cash,$0.78,01/19/2018,02/09/2018,03/01/2018,USD
24,11/09/2017,Cash,$0.78,10/20/2017,11/10/2017,12/01/2017,USD
25,08/09/2017,Cash,$0.78,07/19/2017,08/11/2017,09/01/2017,USD
26,05/10/2017,Cash,$0.75,04/21/2017,05/12/2017,06/01/2017,USD
27,02/08/2017,Cash,$0.75,01/20/2017,02/10/2017,03/01/2017,USD
28,11/08/2016,Cash,$0.75,10/21/2016,11/11/2016,12/01/2016,USD
29,08/10/2016,Cash,$0.75,07/13/2016,08/12/2016,09/01/2016,USD
30,05/11/2016,Cash,$0.67,04/22/2016,05/13/2016,06/01/2016,USD
31,02/10/2016,Cash,$0.67,01/15/2016,02/12/2016,03/01/2016,USD
32,11/10/2015,Cash,$0.67,10/16/2015,11/13/2015,12/01/2015,USD
33,08/12/2015,Cash,$0.67,07/16/2015,08/14/2015,09/01/2015,USD
34,05/13/2015,Cash,$0.64,04/16/2015,05/15/2015,06/01/2015,USD
35,02/11/2015,Cash,$0.64,01/16/2015,02/13/2015,03/02/2015,USD
36,11/12/2014,Cash,$0.64,10/17/2014,11/14/2014,12/01/2014,USD
37,08/13/2014,Cash,$0.64,07/16/2014,08/15/2014,09/02/2014,USD
38,05/14/2014,Cash,$0.58,04/11/2014,05/16/2014,06/02/2014,USD
39,02/12/2014,Cash,$0.58,01/24/2014,02/14/2014,03/03/2014,USD
40,11/13/2013,Cash,$0.58,10/23/2013,11/15/2013,12/02/2013,USD
41,08/14/2013,Cash,$0.58,07/15/2013,08/16/2013,09/03/2013,USD
42,05/15/2013,Cash,$0.52,04/19/2013,05/17/2013,06/03/2013,USD
43,02/13/2013,Cash,$0.52,01/25/2013,02/15/2013,03/01/2013,USD
44,11/14/2012,Cash,$0.52,10/24/2012,11/16/2012,12/03/2012,USD
45,08/08/2012,Cash,$0.52,07/18/2012,08/10/2012,09/04/2012,USD
46,05/09/2012,Cash,$0.48,04/19/2012,05/11/2012,06/01/2012,USD
47,02/08/2012,Cash,$0.48,01/26/2012,02/10/2012,03/01/2012,USD
48,11/08/2011,Cash,$0.48,10/25/2011,11/11/2011,12/01/2011,USD
49,08/10/2011,Cash,$0.48,07/22/2011,08/12/2011,09/01/2011,USD
50,05/11/2011,Cash,$0.44,04/21/2011,05/13/2011,06/01/2011,USD
51,02/09/2011,Cash,$0.44,01/27/2011,02/11/2011,03/01/2011,USD
52,11/09/2010,Cash,$0.40,10/26/2010,11/12/2010,12/01/2010,USD
53,08/11/2010,Cash,$0.40,07/19/2010,08/13/2010,09/01/2010,USD
54,05/12/2010,Cash,$0.40,04/22/2010,05/14/2010,06/01/2010,USD
55,02/10/2010,Cash,$0.35,01/28/2010,02/12/2010,03/01/2010,USD
56,11/10/2009,Cash,$0.35,10/27/2009,11/13/2009,12/01/2009,USD
57,05/13/2009,Cash,$0.35,04/21/2009,05/15/2009,06/01/2009,USD
58,02/11/2009,Cash,$0.32,01/27/2009,02/13/2009,03/02/2009,USD
59,11/17/2008,Cash,$0.32,10/21/2008,11/19/2008,12/08/2008,USD
60,09/26/2008,Cash,$5.00,09/15/2008,09/30/2008,10/31/2008,USD
61,08/13/2008,Cash,$0.32,07/21/2008,08/15/2008,09/02/2008,USD
62,05/14/2008,Cash,$0.32,04/15/2008,05/16/2008,06/02/2008,USD
63,02/13/2008,Cash,$0.30,01/22/2008,02/15/2008,03/03/2008,USD
64,11/13/2007,Cash,$0.30,10/25/2007,11/15/2007,12/03/2007,USD
65,08/14/2007,Cash,$0.30,07/24/2007,08/16/2007,09/04/2007,USD
66,05/11/2007,Cash,$0.30,04/17/2007,05/15/2007,06/01/2007,USD
67,02/08/2007,Cash,$0.28,01/26/2007,02/12/2007,03/01/2007,USD
68,11/13/2006,Cash,$0.28,10/26/2006,11/15/2006,12/01/2006,USD
69,08/14/2006,Cash,$0.28,07/18/2006,08/16/2006,09/01/2006,USD
70,05/11/2006,Cash,$0.28,04/13/2006,05/15/2006,06/01/2006,USD
71,11/09/2005,Cash,$0.27,10/27/2005,11/14/2005,12/01/2005,USD
72,08/12/2005,Cash,$0.27,07/18/2005,08/16/2005,09/01/2005,USD
73,05/12/2005,Cash,$0.27,04/15/2005,05/16/2005,06/01/2005,USD
74,02/10/2005,Cash,$0.25,01/20/2005,02/14/2005,03/01/2005,USD
75,11/15/2004,Cash,$0.25,10/28/2004,11/17/2004,12/01/2004,USD
76,08/16/2004,Cash,$0.25,07/19/2004,08/18/2004,09/01/2004,USD
77,05/14/2004,Cash,$0.25,04/13/2004,05/18/2004,06/01/2004,USD
78,02/12/2004,Cash,$0.23,01/30/2004,02/17/2004,03/01/2004,USD
79,11/13/2003,Cash,$0.23,10/29/2003,11/17/2003,12/01/2003,USD
80,08/15/2003,Cash,$0.23,07/18/2003,08/19/2003,09/02/2003,USD
81,05/15/2003,Cash,$0.23,04/15/2003,05/19/2003,06/02/2003,USD
82,02/12/2003,Cash,$0.20,01/31/2003,02/14/2003,03/03/2003,USD
83,11/14/2002,Cash,$0.20,10/29/2002,11/18/2002,12/02/2002,USD
84,08/16/2002,Cash,$0.20,07/22/2002,08/20/2002,09/03/2002,USD
85,05/16/2002,Cash,$0.16,04/17/2002,05/20/2002,06/03/2002,USD
86,02/13/2002,Cash,$0.16,02/01/2002,02/15/2002,03/01/2002,USD
87,11/15/2001,Cash,$0.16,10/30/2001,11/19/2001,12/03/2001,USD
88,08/17/2001,Cash,$0.16,07/20/2001,08/21/2001,09/04/2001,USD
89,05/16/2001,Cash,$0.16,04/18/2001,05/18/2001,06/01/2001,USD
90,02/13/2001,Cash,$0.16,01/24/2001,02/15/2001,03/01/2001,USD
91,11/15/2000,Cash,$0.16,10/24/2000,11/17/2000,12/01/2000,USD
