,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,06/29/2023,Cash,$0.349223,06/09/2023,06/30/2023,08/18/2023,USD
1,03/30/2023,Cash,$0.347905,03/07/2023,03/31/2023,05/17/2023,USD
2,12/29/2022,Cash,$0.343249,12/12/2022,12/30/2022,05/04/2023,USD
3,09/29/2022,Cash,$0.347743,09/14/2022,09/30/2022,11/23/2022,USD
4,06/29/2022,Cash,$0.351376,06/14/2022,06/30/2022,08/24/2022,USD
5,03/30/2022,Cash,$0.3604,03/14/2022,03/31/2022,05/24/2022,USD
6,12/30/2021,Cash,$0.740015,N/A,12/31/2021,04/29/2022,USD
7,09/29/2021,Cash,$0.234885,11/18/2021,09/30/2021,11/26/2021,USD
8,06/29/2021,Cash,$0.241564,06/15/2021,06/30/2021,08/17/2021,USD
9,12/30/2020,Cash,$0.893239,N/A,12/31/2020,04/28/2021,USD
10,06/29/2020,Cash,$0.093763,06/12/2020,06/30/2020,08/26/2020,USD
11,12/30/2019,Cash,$0.810261,12/11/2019,12/31/2019,04/28/2020,USD
12,06/27/2019,Cash,$0.091799,06/10/2019,06/28/2019,09/04/2019,USD
13,12/28/2018,Cash,$0.87228,12/12/2018,12/31/2018,05/01/2019,USD
14,06/28/2018,Cash,$0.099202,06/15/2018,06/29/2018,08/27/2018,USD
15,12/28/2017,Cash,$0.936943,12/19/2017,12/29/2017,04/26/2018,USD
16,06/28/2017,Cash,$0.098923,N/A,06/30/2017,09/06/2017,USD
17,12/28/2016,Cash,$0.877804,N/A,12/30/2016,04/20/2017,USD
18,06/28/2016,Cash,$0.101069,N/A,06/30/2016,08/24/2016,USD
19,12/29/2015,Cash,$0.870837,N/A,12/31/2015,04/19/2016,USD
20,06/26/2015,Cash,$0.093315,N/A,06/30/2015,08/19/2015,USD
21,12/29/2014,Cash,$0.850185,N/A,12/31/2014,04/22/2015,USD
22,06/26/2014,Cash,$0.107927,N/A,06/30/2014,08/20/2014,USD
23,12/27/2013,Cash,$0.893655,N/A,12/31/2013,04/23/2014,USD
24,06/26/2013,Cash,$0.099135,N/A,06/28/2013,08/21/2013,USD
25,12/27/2012,Cash,$0.830441,N/A,12/31/2012,04/23/2013,USD
26,06/27/2012,Cash,$0.098189,N/A,06/29/2012,08/21/2012,USD
27,12/28/2011,Cash,$0.817637,N/A,12/30/2011,04/24/2012,USD
28,06/28/2011,Cash,$0.103813,N/A,06/30/2011,08/23/2011,USD
29,12/29/2010,Cash,$0.855484,N/A,12/31/2010,04/12/2011,USD
30,06/28/2010,Cash,$0.095096,N/A,06/30/2010,08/17/2010,USD
31,12/29/2009,Cash,$0.8305007,N/A,12/31/2009,04/13/2010,USD
32,06/26/2009,Cash,$0.0886831,N/A,06/30/2009,08/19/2009,USD
33,12/29/2008,Cash,$0.6924865,N/A,12/31/2008,04/10/2009,USD
34,06/26/2008,Cash,$0.1092645,N/A,06/30/2008,08/14/2008,USD
35,12/27/2007,Cash,$0.9534511,N/A,12/31/2007,04/11/2008,USD
36,06/27/2007,Cash,$0.1174287,N/A,06/29/2007,08/23/2007,USD
37,12/27/2006,Cash,$0.8261049,N/A,12/29/2006,04/06/2007,USD
38,06/28/2006,Cash,$0.1153681,N/A,06/30/2006,08/24/2006,USD
39,12/28/2005,Cash,$0.9094422,N/A,12/30/2005,04/11/2006,USD
40,06/28/2005,Cash,$0.1089858,N/A,06/30/2005,08/29/2005,USD
41,12/29/2004,Cash,$1.0173607,N/A,12/31/2004,04/22/2005,USD
42,06/28/2004,Cash,$0.0958515,N/A,06/30/2004,08/31/2004,USD
43,12/29/2003,Cash,$0.5301162,N/A,12/31/2003,04/29/2004,USD
44,12/27/2002,Cash,$0.1587679,N/A,12/31/2002,04/23/2003,USD
45,12/27/2001,Cash,$0.0466019,N/A,12/31/2001,N/A,USD
46,12/27/2000,Cash,$0.0446894,N/A,12/29/2000,04/17/2001,USD
47,12/29/1998,Cash,$0.0067938,N/A,12/31/1998,06/09/1999,USD
48,12/29/1997,Cash,$0.006019,N/A,12/31/1997,06/02/1998,USD
49,12/27/1996,Cash,$0.0136181,N/A,12/31/1996,04/29/1997,USD
