,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/27/2023,Cash,$0.06,N/A,10/30/2023,11/06/2023,USD
1,07/28/2023,Cash,$0.06,07/06/2023,07/31/2023,08/07/2023,USD
2,04/21/2023,Cash,$0.06,04/05/2023,04/24/2023,05/01/2023,USD
3,01/27/2023,Cash,$0.06,01/04/2023,01/30/2023,02/06/2023,USD
4,10/28/2022,Cash,$0.06,10/20/2022,10/31/2022,11/07/2022,USD
5,07/22/2022,Cash,$0.06,07/06/2022,07/25/2022,08/01/2022,USD
6,04/22/2022,Cash,$0.06,04/06/2022,04/25/2022,05/02/2022,USD
7,01/28/2022,Cash,$0.06,01/06/2022,01/31/2022,02/07/2022,USD
8,10/22/2021,Cash,$0.06,10/13/2021,10/25/2021,11/01/2021,USD
9,07/23/2021,Cash,$0.06,07/12/2021,07/26/2021,08/02/2021,USD
10,04/23/2021,Cash,$0.06,04/12/2021,04/26/2021,05/03/2021,USD
11,01/22/2021,Cash,$0.06,01/06/2021,01/25/2021,02/01/2021,USD
12,10/23/2020,Cash,$0.06,10/12/2020,10/26/2020,11/02/2020,USD
13,07/24/2020,Cash,$0.06,07/09/2020,07/27/2020,08/03/2020,USD
14,04/23/2020,Cash,$0.06,04/09/2020,04/24/2020,05/01/2020,USD
15,01/24/2020,Cash,$0.06,01/09/2020,01/27/2020,02/03/2020,USD
16,10/24/2019,Cash,$0.06,10/14/2019,10/25/2019,11/01/2019,USD
17,07/24/2019,Cash,$0.06,07/10/2019,07/25/2019,08/01/2019,USD
18,04/23/2019,Cash,$0.06,04/09/2019,04/24/2019,05/01/2019,USD
19,01/24/2019,Cash,$0.06,01/09/2019,01/25/2019,02/01/2019,USD
20,10/31/2018,Cash,$0.06,10/22/2018,11/01/2018,11/08/2018,USD
21,07/25/2018,Cash,$0.06,07/06/2018,07/26/2018,08/02/2018,USD
22,04/24/2018,Cash,$0.06,04/09/2018,04/25/2018,05/02/2018,USD
23,01/25/2018,Cash,$0.06,01/16/2018,01/26/2018,02/02/2018,USD
24,11/10/2017,Cash,$0.06,11/01/2017,11/13/2017,11/20/2017,USD
25,07/26/2017,Cash,$0.05,07/18/2017,07/28/2017,08/04/2017,USD
26,05/04/2017,Cash,$0.05,04/26/2017,05/08/2017,05/15/2017,USD
27,01/26/2017,Cash,$0.05,01/20/2017,01/30/2017,02/06/2017,USD
28,11/08/2016,Cash,$0.05,10/31/2016,11/10/2016,11/17/2016,USD
29,08/09/2016,Cash,$0.05,08/01/2016,08/11/2016,08/18/2016,USD
30,04/28/2016,Cash,$0.05,04/22/2016,05/02/2016,05/09/2016,USD
31,01/27/2016,Cash,$0.05,01/19/2016,01/29/2016,02/05/2016,USD
32,11/05/2015,Cash,$0.05,10/28/2015,11/09/2015,11/16/2015,USD
33,07/21/2015,Cash,$0.05,07/13/2015,07/23/2015,07/30/2015,USD
34,05/07/2015,Cash,$0.05,04/29/2015,05/11/2015,05/18/2015,USD
35,01/22/2015,Cash,$0.05,01/15/2015,01/26/2015,02/02/2015,USD
36,11/05/2014,Cash,$0.05,10/28/2014,11/07/2014,11/14/2014,USD
37,07/31/2014,Cash,$0.05,07/25/2014,08/04/2014,08/11/2014,USD
38,05/07/2014,Cash,$0.05,04/30/2014,05/09/2014,05/16/2014,USD
39,02/12/2014,Cash,$0.05,02/05/2014,02/17/2014,02/24/2014,USD
40,11/06/2013,Cash,$0.04,10/29/2013,11/08/2013,11/15/2013,USD
41,08/08/2013,Cash,$0.03,07/30/2013,08/12/2013,08/15/2013,USD
42,12/20/2012,Cash,$0.14,12/13/2012,12/24/2012,12/28/2012,USD
