,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/02/2023,Cash,$0.89,10/04/2023,11/03/2023,11/17/2023,USD
1,08/09/2023,Cash,$0.89,06/29/2023,08/10/2023,08/24/2023,USD
2,05/03/2023,Cash,$0.89,04/05/2023,05/04/2023,05/18/2023,USD
3,02/07/2023,Cash,$0.80,01/04/2023,02/08/2023,02/22/2023,USD
4,11/03/2022,Cash,$0.80,10/05/2022,11/04/2022,11/18/2022,USD
5,08/09/2022,Cash,$0.80,06/30/2022,08/10/2022,08/24/2022,USD
6,05/04/2022,Cash,$0.80,04/06/2022,05/05/2022,05/19/2022,USD
7,02/08/2022,Cash,$0.76,01/05/2022,02/09/2022,02/23/2022,USD
8,11/04/2021,Cash,$0.76,10/05/2021,11/05/2021,11/19/2021,USD
9,08/09/2021,Cash,$0.76,06/29/2021,08/10/2021,08/24/2021,USD
10,05/03/2021,Cash,$0.76,04/07/2021,05/04/2021,05/18/2021,USD
11,02/08/2021,Cash,$0.75,01/06/2021,02/09/2021,02/23/2021,USD
12,11/05/2020,Cash,$0.75,10/01/2020,11/06/2020,11/20/2020,USD
13,08/10/2020,Cash,$0.75,06/30/2020,08/11/2020,08/25/2020,USD
14,05/04/2020,Cash,$0.75,04/02/2020,05/05/2020,05/19/2020,USD
15,02/10/2020,Cash,$0.75,01/09/2020,02/11/2020,02/25/2020,USD
16,11/07/2019,Cash,$0.75,10/04/2019,11/08/2019,11/22/2019,USD
17,08/12/2019,Cash,$0.75,06/29/2019,08/13/2019,08/27/2019,USD
18,05/09/2019,Cash,$0.75,04/05/2019,05/10/2019,05/24/2019,USD
19,02/11/2019,Cash,$0.74,01/11/2019,02/12/2019,02/26/2019,USD
20,11/05/2018,Cash,$0.74,10/05/2018,11/06/2018,11/20/2018,USD
21,08/09/2018,Cash,$0.74,06/30/2018,08/10/2018,08/24/2018,USD
22,05/09/2018,Cash,$0.74,03/30/2018,05/10/2018,05/24/2018,USD
23,02/08/2018,Cash,$0.52,01/06/2018,02/09/2018,02/23/2018,USD
24,11/06/2017,Cash,$0.52,10/04/2017,11/07/2017,11/21/2017,USD
25,08/07/2017,Cash,$0.52,06/28/2017,08/09/2017,08/23/2017,USD
26,05/08/2017,Cash,$0.52,04/05/2017,05/10/2017,05/24/2017,USD
27,02/07/2017,Cash,$0.40,01/04/2017,02/09/2017,02/23/2017,USD
28,11/04/2016,Cash,$0.40,10/04/2016,11/08/2016,11/22/2016,USD
29,08/08/2016,Cash,$0.40,06/29/2016,08/10/2016,08/24/2016,USD
30,05/06/2016,Cash,$0.40,04/05/2016,05/10/2016,05/24/2016,USD
31,02/05/2016,Cash,$0.31,01/06/2016,02/09/2016,02/24/2016,USD
32,11/05/2015,Cash,$0.31,10/06/2015,11/09/2015,11/24/2015,USD
33,08/07/2015,Cash,$0.31,06/30/2015,08/11/2015,08/25/2015,USD
34,05/06/2015,Cash,$0.31,04/09/2015,05/08/2015,05/22/2015,USD
