,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/20/2023,Cash,$0.12,09/07/2023,09/21/2023,10/05/2023,USD
1,07/12/2023,Cash,$0.12,06/22/2023,07/13/2023,07/27/2023,USD
2,03/15/2023,Cash,$0.10,03/09/2023,03/16/2023,03/30/2023,USD
3,12/19/2022,Cash,$0.10,12/06/2022,12/20/2022,01/03/2023,USD
4,09/21/2022,Cash,$0.10,09/08/2022,09/22/2022,10/06/2022,USD
5,07/06/2022,Cash,$0.10,06/21/2022,07/07/2022,07/21/2022,USD
6,03/16/2022,Cash,$0.08,03/03/2022,03/17/2022,03/31/2022,USD
7,12/15/2021,Cash,$0.08,12/02/2021,12/16/2021,01/03/2022,USD
8,09/13/2021,Cash,$0.08,09/01/2021,09/14/2021,09/28/2021,USD
9,06/30/2021,Cash,$0.08,N/A,07/01/2021,07/06/2021,USD
10,03/16/2021,Cash,$0.05,N/A,03/17/2021,03/31/2021,USD
11,12/16/2020,Cash,$0.05,N/A,12/17/2020,01/05/2021,USD
12,09/16/2020,Cash,$0.05,09/03/2020,09/17/2020,10/01/2020,USD
