,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/31/2023,Cash,$0.48,10/10/2023,11/01/2023,11/10/2023,USD
1,07/06/2023,Cash,$0.45,06/22/2023,07/07/2023,07/21/2023,USD
2,04/11/2023,Cash,$0.45,03/28/2023,04/12/2023,04/26/2023,USD
3,12/29/2022,Cash,$0.45,12/15/2022,12/30/2022,01/13/2023,USD
4,10/25/2022,Cash,$0.45,10/12/2022,10/26/2022,11/09/2022,USD
5,07/01/2022,Cash,$0.43,06/21/2022,07/05/2022,07/19/2022,USD
6,04/05/2022,Cash,$0.43,03/22/2022,04/06/2022,04/20/2022,USD
7,12/29/2021,Cash,$0.43,12/16/2021,12/30/2021,01/13/2022,USD
8,10/21/2021,Cash,$0.43,10/07/2021,10/22/2021,11/05/2021,USD
9,07/01/2021,Cash,$0.41,06/18/2021,07/02/2021,07/16/2021,USD
10,03/31/2021,Cash,$0.41,03/18/2021,04/02/2021,04/16/2021,USD
11,12/31/2020,Cash,$0.41,12/18/2020,01/04/2021,01/18/2021,USD
12,10/22/2020,Cash,$0.41,10/09/2020,10/23/2020,11/06/2020,USD
13,06/29/2020,Cash,$0.40,06/16/2020,06/30/2020,07/14/2020,USD
14,04/01/2020,Cash,$0.40,03/19/2020,04/02/2020,04/16/2020,USD
15,12/24/2019,Cash,$0.40,12/13/2019,12/26/2019,01/10/2020,USD
16,10/24/2019,Cash,$0.40,10/10/2019,10/25/2019,11/08/2019,USD
17,06/28/2019,Cash,$0.39,06/18/2019,07/01/2019,07/15/2019,USD
18,04/03/2019,Cash,$0.39,03/22/2019,04/04/2019,04/18/2019,USD
19,12/26/2018,Cash,$0.39,12/14/2018,12/27/2018,01/10/2019,USD
20,10/24/2018,Cash,$0.39,10/12/2018,10/25/2018,11/09/2018,USD
21,06/29/2018,Cash,$0.37,06/19/2018,07/02/2018,07/16/2018,USD
22,03/28/2018,Cash,$0.37,03/15/2018,03/30/2018,04/13/2018,USD
23,12/22/2017,Cash,$0.37,12/11/2017,12/26/2017,01/09/2018,USD
24,10/23/2017,Cash,$0.37,10/10/2017,10/24/2017,11/07/2017,USD
25,06/21/2017,Cash,$0.33,06/08/2017,06/23/2017,07/12/2017,USD
26,03/28/2017,Cash,$0.33,03/16/2017,03/30/2017,04/13/2017,USD
27,12/21/2016,Cash,$0.33,12/08/2016,12/23/2016,01/06/2017,USD
28,10/20/2016,Cash,$0.33,10/10/2016,10/24/2016,11/07/2016,USD
29,06/16/2016,Cash,$0.30,06/08/2016,06/20/2016,06/28/2016,USD
30,03/30/2016,Cash,$0.30,03/17/2016,04/01/2016,04/15/2016,USD
31,12/18/2015,Cash,$0.30,12/08/2015,12/22/2015,01/07/2016,USD
32,10/14/2015,Cash,$0.30,10/01/2015,10/16/2015,10/30/2015,USD
33,06/24/2015,Cash,$0.27,06/11/2015,06/26/2015,07/10/2015,USD
