,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/05/2023,Cash,$0.21,09/19/2023,10/06/2023,10/20/2023,USD
1,07/06/2023,Cash,$0.21,06/13/2023,07/07/2023,07/21/2023,USD
2,04/05/2023,Cash,$0.21,03/09/2023,04/06/2023,04/21/2023,USD
3,01/05/2023,Cash,$0.20,12/14/2022,01/06/2023,01/20/2023,USD
4,10/06/2022,Cash,$0.20,09/20/2022,10/07/2022,10/21/2022,USD
5,07/07/2022,Cash,$0.20,06/14/2022,07/08/2022,07/22/2022,USD
6,04/07/2022,Cash,$0.20,03/08/2022,04/08/2022,04/22/2022,USD
7,01/06/2022,Cash,$0.17,12/14/2021,01/07/2022,01/21/2022,USD
8,10/07/2021,Cash,$0.17,09/21/2021,10/08/2021,10/22/2021,USD
9,07/08/2021,Cash,$0.17,06/15/2021,07/09/2021,07/23/2021,USD
10,04/08/2021,Cash,$0.17,03/09/2021,04/09/2021,04/23/2021,USD
11,01/07/2021,Cash,$0.11,12/09/2020,01/08/2021,01/22/2021,USD
12,10/08/2020,Cash,$0.11,09/22/2020,10/09/2020,10/23/2020,USD
13,07/09/2020,Cash,$0.11,06/16/2020,07/10/2020,07/24/2020,USD
14,04/08/2020,Cash,$0.11,03/10/2020,04/09/2020,04/24/2020,USD
15,01/09/2020,Cash,$0.11,12/12/2019,01/10/2020,01/24/2020,USD
16,10/10/2019,Cash,$0.11,09/25/2019,10/11/2019,10/25/2019,USD
17,07/11/2019,Cash,$0.11,06/19/2019,07/12/2019,07/26/2019,USD
18,04/11/2019,Cash,$0.11,03/13/2019,04/12/2019,04/26/2019,USD
19,01/10/2019,Cash,$0.11,12/13/2018,01/11/2019,01/25/2019,USD
20,10/11/2018,Cash,$0.11,09/26/2018,10/12/2018,10/26/2018,USD
21,07/12/2018,Cash,$0.11,06/20/2018,07/13/2018,07/27/2018,USD
22,04/12/2018,Cash,$0.11,03/13/2018,04/13/2018,04/27/2018,USD
23,01/11/2018,Cash,$0.08,12/13/2017,01/12/2018,01/26/2018,USD
24,10/12/2017,Cash,$0.08,09/19/2017,10/13/2017,10/27/2017,USD
25,07/12/2017,Cash,$0.08,06/20/2017,07/14/2017,07/28/2017,USD
26,04/11/2017,Cash,$0.08,02/21/2017,04/14/2017,04/28/2017,USD
