,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/03/2023,Cash,$0.34,09/19/2023,10/04/2023,10/18/2023,USD
1,06/20/2023,Cash,$0.34,05/23/2023,06/21/2023,07/12/2023,USD
2,04/05/2023,Cash,$0.34,03/21/2023,04/06/2023,04/19/2023,USD
3,12/27/2022,Cash,$0.34,12/13/2022,12/28/2022,01/11/2023,USD
4,10/04/2022,Cash,$0.30,09/20/2022,10/05/2022,10/18/2022,USD
5,06/21/2022,Cash,$0.30,05/17/2022,06/22/2022,07/13/2022,USD
6,04/05/2022,Cash,$0.30,03/15/2022,04/06/2022,04/21/2022,USD
7,12/27/2021,Cash,$0.30,12/14/2021,12/28/2021,01/11/2022,USD
8,10/05/2021,Cash,$0.2625,09/21/2021,10/06/2021,10/21/2021,USD
9,06/21/2021,Cash,$0.2625,05/18/2021,06/22/2021,07/14/2021,USD
10,04/01/2021,Cash,$0.2625,03/16/2021,04/05/2021,04/20/2021,USD
11,12/21/2020,Cash,$0.2625,12/01/2020,12/22/2020,01/13/2021,USD
12,09/25/2020,Cash,$0.25,09/15/2020,09/28/2020,10/09/2020,USD
13,06/19/2020,Cash,$0.25,05/19/2020,06/22/2020,07/09/2020,USD
14,03/27/2020,Cash,$0.25,03/17/2020,03/30/2020,04/09/2020,USD
15,12/24/2019,Cash,$0.25,12/04/2019,12/26/2019,01/09/2020,USD
16,09/27/2019,Cash,$0.225,09/18/2019,09/30/2019,10/11/2019,USD
17,06/24/2019,Cash,$0.225,05/22/2019,06/25/2019,07/11/2019,USD
18,03/29/2019,Cash,$0.225,03/20/2019,04/01/2019,04/12/2019,USD
19,12/19/2018,Cash,$0.225,12/07/2018,12/20/2018,01/09/2019,USD
20,10/02/2018,Cash,$0.20,09/19/2018,10/03/2018,10/17/2018,USD
21,06/21/2018,Cash,$0.20,05/16/2018,06/22/2018,07/11/2018,USD
22,04/03/2018,Cash,$0.20,03/20/2018,04/04/2018,04/18/2018,USD
23,12/21/2017,Cash,$0.20,12/07/2017,12/22/2017,01/10/2018,USD
24,09/28/2017,Cash,$0.175,09/19/2017,09/29/2017,10/12/2017,USD
25,06/21/2017,Cash,$0.175,05/16/2017,06/23/2017,07/12/2017,USD
26,03/29/2017,Cash,$0.175,03/21/2017,03/31/2017,04/12/2017,USD
27,12/22/2016,Cash,$0.175,12/08/2016,12/27/2016,01/12/2017,USD
28,09/29/2016,Cash,$0.15,09/20/2016,10/03/2016,10/14/2016,USD
29,06/17/2016,Cash,$0.30,05/17/2016,06/21/2016,07/12/2016,USD
30,03/24/2016,Cash,$0.30,03/15/2016,03/29/2016,04/12/2016,USD
31,12/18/2015,Cash,$0.30,12/03/2015,12/22/2015,01/11/2016,USD
32,09/24/2015,Cash,$0.25,09/15/2015,09/28/2015,10/13/2015,USD
33,06/23/2015,Cash,$0.25,05/19/2015,06/25/2015,07/13/2015,USD
34,03/26/2015,Cash,$0.25,03/17/2015,03/30/2015,04/13/2015,USD
35,12/19/2014,Cash,$0.25,12/04/2014,12/23/2014,01/12/2015,USD
36,09/25/2014,Cash,$0.20,09/16/2014,09/29/2014,10/14/2014,USD
37,06/25/2014,Cash,$0.20,05/20/2014,06/27/2014,07/11/2014,USD
38,04/02/2014,Cash,$0.20,03/18/2014,04/04/2014,04/14/2014,USD
39,12/26/2013,Cash,$0.20,12/05/2013,12/30/2013,01/15/2014,USD
40,09/26/2013,Cash,$0.14,09/17/2013,09/30/2013,10/15/2013,USD
41,06/24/2013,Cash,$0.14,05/21/2013,06/26/2013,07/15/2013,USD
42,03/26/2013,Cash,$0.14,03/14/2013,03/28/2013,04/15/2013,USD
43,12/19/2012,Cash,$0.14,12/11/2012,12/21/2012,12/31/2012,USD
44,09/27/2012,Cash,$0.11,09/18/2012,10/01/2012,10/15/2012,USD
45,05/31/2012,Cash,$0.22,05/15/2012,06/04/2012,06/18/2012,USD
46,03/29/2012,Cash,$0.22,03/20/2012,04/02/2012,04/16/2012,USD
47,12/14/2011,Cash,$0.22,11/30/2011,12/16/2011,01/09/2012,USD
48,09/29/2011,Cash,$0.20,09/20/2011,10/03/2011,10/17/2011,USD
49,06/15/2011,Cash,$0.20,05/17/2011,06/17/2011,07/08/2011,USD
50,03/24/2011,Cash,$0.20,03/15/2011,03/28/2011,04/11/2011,USD
51,12/15/2010,Cash,$0.20,12/01/2010,12/17/2010,01/11/2011,USD
52,09/30/2010,Cash,$0.18,09/21/2010,10/04/2010,10/18/2010,USD
53,06/16/2010,Cash,$0.18,05/18/2010,06/18/2010,07/09/2010,USD
54,03/25/2010,Cash,$0.18,03/16/2010,03/29/2010,04/12/2010,USD
55,12/16/2009,Cash,$0.18,12/02/2009,12/18/2009,01/12/2010,USD
56,10/01/2009,Cash,$0.15,09/22/2009,10/05/2009,10/19/2009,USD
57,06/17/2009,Cash,$0.15,05/19/2009,06/19/2009,07/10/2009,USD
58,03/26/2009,Cash,$0.15,03/18/2009,03/30/2009,04/13/2009,USD
59,12/16/2008,Cash,$0.15,12/03/2008,12/18/2008,01/12/2009,USD
60,10/01/2008,Cash,$0.15,09/16/2008,10/03/2008,10/17/2008,USD
61,06/18/2008,Cash,$0.15,05/22/2008,06/20/2008,07/11/2008,USD
62,03/19/2008,Cash,$0.15,03/11/2008,03/24/2008,04/11/2008,USD
63,03/13/2008,Cash,$0.15,03/11/2008,03/24/2008,04/11/2008,USD
64,12/13/2007,Cash,$0.15,12/06/2007,12/17/2007,01/11/2008,USD
65,10/01/2007,Cash,$0.12,09/18/2007,10/03/2007,10/17/2007,USD
66,06/18/2007,Cash,$0.12,05/24/2007,06/20/2007,07/12/2007,USD
67,03/21/2007,Cash,$0.12,03/13/2007,03/24/2007,04/12/2007,USD
68,12/14/2006,Cash,$0.12,12/07/2006,12/18/2006,01/12/2007,USD
69,10/02/2006,Cash,$0.09,09/19/2006,10/04/2006,10/18/2006,USD
70,06/16/2006,Cash,$0.09,05/16/2006,06/20/2006,07/12/2006,USD
71,03/22/2006,Cash,$0.09,03/14/2006,03/24/2006,04/12/2006,USD
72,09/30/2005,Cash,$0.06,09/20/2005,10/04/2005,10/18/2005,USD
73,06/17/2005,Cash,$0.06,05/18/2005,06/21/2005,07/12/2005,USD
74,03/23/2005,Cash,$0.12,03/15/2005,03/28/2005,04/12/2005,USD
75,12/16/2004,Cash,$0.12,12/08/2004,12/20/2004,01/10/2005,USD
76,10/07/2004,Cash,$0.06,09/30/2004,10/12/2004,10/26/2004,USD
77,06/16/2004,Cash,$0.06,05/27/2004,06/20/2004,07/12/2004,USD
78,03/18/2004,Cash,$0.06,03/12/2004,03/22/2004,04/12/2004,USD
79,12/16/2003,Cash,$0.06,12/04/2003,12/18/2003,01/12/2004,USD
80,10/01/2003,Cash,$0.06,09/23/2003,10/03/2003,10/17/2003,USD
81,06/16/2003,Cash,$0.06,05/30/2003,06/18/2003,07/11/2003,USD
82,03/28/2003,Cash,$0.12,03/20/2003,04/01/2003,04/14/2003,USD
83,12/16/2002,Cash,$0.12,12/04/2002,12/18/2002,01/10/2003,USD
84,09/26/2002,Cash,$0.12,09/19/2002,09/30/2002,10/12/2002,USD
85,06/14/2002,Cash,$0.12,05/16/2002,06/18/2002,07/12/2002,USD
86,03/21/2002,Cash,$0.12,03/14/2002,03/25/2002,04/12/2002,USD
87,12/14/2001,Cash,$0.12,12/04/2001,12/18/2001,01/12/2002,USD
88,09/27/2001,Cash,$0.12,09/20/2001,10/01/2001,10/12/2001,USD
89,06/20/2001,Cash,$0.12,05/24/2001,06/22/2001,07/12/2001,USD
90,03/22/2001,Cash,$0.12,03/14/2001,03/26/2001,04/12/2001,USD
91,12/14/2000,Cash,$0.12,12/07/2001,12/18/2000,01/12/2001,USD
92,09/22/2000,Cash,$0.12,09/15/2000,09/26/2000,10/12/2000,USD
93,06/20/2000,Cash,$0.12,05/18/2000,06/22/2000,07/12/2000,USD
94,03/27/2000,Cash,$0.12,03/15/2000,03/29/2000,04/12/2000,USD
95,12/16/1999,Cash,$0.12,12/03/1999,12/20/1999,01/12/2000,USD
96,09/23/1999,Cash,$0.12,09/16/1999,09/27/1999,10/12/1999,USD
97,06/16/1999,Cash,$0.12,05/13/1999,06/18/1999,07/09/1999,USD
98,03/25/1999,Cash,$0.12,03/16/1999,03/29/1999,04/12/1999,USD
99,12/17/1998,Cash,$0.12,11/18/1998,12/21/1998,01/12/1999,USD
100,10/01/1998,Cash,$0.12,09/23/1998,10/05/1998,10/19/1998,USD
101,06/18/1998,Cash,$0.12,05/20/1998,06/22/1998,07/13/1998,USD
102,03/26/1998,Cash,$0.12,03/18/1998,03/30/1998,04/13/1998,USD
103,12/12/1997,Cash,$0.12,11/25/1997,12/16/1997,01/12/1998,USD
104,09/25/1997,Cash,$0.12,09/17/1997,09/29/1997,10/10/1997,USD
105,06/19/1997,Cash,$0.12,05/27/1997,06/23/1997,07/12/1997,USD
106,03/25/1997,Cash,$0.12,03/13/1997,03/27/1997,04/12/1997,USD
107,12/18/1996,Cash,$0.12,11/19/1996,12/20/1996,01/12/1997,USD
108,09/25/1996,Cash,$0.12,09/17/1996,09/27/1996,10/12/1996,USD
109,06/04/1996,Cash,$0.12,05/21/1996,06/06/1996,07/12/1996,USD
110,03/25/1996,Cash,$0.12,03/12/1996,03/27/1996,04/12/1996,USD
111,12/26/1995,Cash,$0.12,12/14/1995,12/28/1995,01/12/1996,USD
112,09/20/1995,Cash,$0.12,08/15/1995,09/22/1995,10/12/1995,USD
113,06/28/1995,Cash,$0.12,06/21/1995,06/30/1995,07/14/1995,USD
