,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,12/06/2023,Cash,$0.33,10/24/2023,12/07/2023,01/04/2024,USD
1,09/06/2023,Cash,$0.31,07/11/2023,09/07/2023,09/28/2023,USD
2,06/07/2023,Cash,$0.31,04/04/2023,06/08/2023,06/29/2023,USD
3,03/08/2023,Cash,$0.31,01/10/2023,03/09/2023,03/30/2023,USD
4,12/06/2022,Cash,$0.31,10/25/2022,12/07/2022,01/04/2023,USD
5,09/06/2022,Cash,$0.30,07/12/2022,09/07/2022,09/28/2022,USD
6,06/07/2022,Cash,$0.30,04/06/2022,06/08/2022,06/29/2022,USD
7,03/08/2022,Cash,$0.30,01/11/2022,03/09/2022,03/30/2022,USD
8,12/06/2021,Cash,$0.30,10/20/2021,12/07/2021,01/04/2022,USD
9,09/03/2021,Cash,$0.25,07/08/2021,09/07/2021,09/28/2021,USD
10,06/07/2021,Cash,$0.25,04/06/2021,06/08/2021,06/29/2021,USD
11,03/08/2021,Cash,$0.25,01/12/2021,03/09/2021,03/30/2021,USD
12,12/04/2020,Cash,$0.25,10/26/2020,12/07/2020,01/04/2021,USD
13,09/03/2020,Cash,$0.25,07/07/2020,09/07/2020,09/28/2020,USD
14,06/05/2020,Cash,$0.25,04/07/2020,06/08/2020,06/29/2020,USD
15,03/06/2020,Cash,$0.25,01/15/2020,03/09/2020,03/30/2020,USD
16,12/05/2019,Cash,$0.25,10/30/2019,12/06/2019,01/03/2020,USD
17,09/05/2019,Cash,$0.1125,06/28/2019,09/06/2019,09/27/2019,USD
18,06/06/2019,Cash,$0.1125,04/03/2019,06/07/2019,06/28/2019,USD
19,03/07/2019,Cash,$0.1125,01/09/2019,03/08/2019,03/29/2019,USD
20,12/06/2018,Cash,$0.1125,10/23/2018,12/07/2018,01/04/2019,USD
21,09/06/2018,Cash,$0.1125,06/29/2018,09/07/2018,09/28/2018,USD
22,06/07/2018,Cash,$0.1125,04/04/2018,06/08/2018,06/29/2018,USD
23,03/08/2018,Cash,$0.0375,01/09/2018,03/09/2018,03/30/2018,USD
24,12/07/2017,Cash,$0.0375,10/23/2017,12/08/2017,01/05/2018,USD
25,09/07/2017,Cash,$0.0375,07/07/2017,09/08/2017,09/29/2017,USD
26,06/07/2017,Cash,$0.0375,04/04/2017,06/09/2017,06/30/2017,USD
27,03/08/2017,Cash,$0.0375,01/10/2017,03/10/2017,03/31/2017,USD
28,12/07/2016,Cash,$0.0375,10/24/2016,12/09/2016,01/06/2017,USD
29,09/07/2016,Cash,$0.0375,07/06/2016,09/09/2016,09/30/2016,USD
30,06/08/2016,Cash,$0.0375,04/06/2016,06/10/2016,07/01/2016,USD
31,03/09/2016,Cash,$0.0375,01/12/2016,03/11/2016,04/01/2016,USD
32,12/08/2015,Cash,$0.0375,10/26/2015,12/10/2015,01/07/2016,USD
33,09/08/2015,Cash,$0.0375,07/07/2015,09/10/2015,10/01/2015,USD
34,06/09/2015,Cash,$0.0375,04/07/2015,06/11/2015,07/02/2015,USD
35,03/10/2015,Cash,$0.0375,01/13/2015,03/12/2015,04/02/2015,USD
36,12/08/2014,Cash,$0.0375,10/27/2014,12/10/2014,01/07/2015,USD
37,09/08/2014,Cash,$0.0375,07/08/2014,09/10/2014,10/01/2014,USD
38,06/09/2014,Cash,$0.0375,04/08/2014,06/11/2014,07/02/2014,USD
39,03/10/2014,Cash,$0.0375,01/14/2014,03/12/2014,04/02/2014,USD
40,12/06/2013,Cash,$0.0375,10/28/2013,12/10/2013,01/07/2014,USD
