,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/27/2023,Cash,$0.28,10/20/2023,10/30/2023,11/09/2023,USD
1,07/28/2023,Cash,$0.28,07/21/2023,07/31/2023,08/10/2023,USD
2,04/28/2023,Cash,$0.28,04/21/2023,05/01/2023,05/11/2023,USD
3,01/27/2023,Cash,$0.25,01/20/2023,01/30/2023,02/10/2023,USD
4,10/28/2022,Cash,$0.25,10/21/2022,10/31/2022,11/10/2022,USD
5,07/29/2022,Cash,$0.25,07/22/2022,08/01/2022,08/11/2022,USD
6,04/29/2022,Cash,$0.25,04/22/2022,05/02/2022,05/11/2022,USD
7,01/28/2022,Cash,$0.22,01/21/2022,01/31/2022,02/11/2022,USD
8,10/29/2021,Cash,$0.22,10/22/2021,11/01/2021,11/10/2021,USD
9,07/23/2021,Cash,$0.22,07/16/2021,07/26/2021,08/11/2021,USD
10,04/23/2021,Cash,$0.22,04/16/2021,04/26/2021,05/11/2021,USD
11,01/29/2021,Cash,$0.21,01/22/2021,02/01/2021,02/11/2021,USD
12,10/23/2020,Cash,$0.21,10/16/2020,10/26/2020,11/10/2020,USD
13,07/24/2020,Cash,$0.21,07/17/2020,07/27/2020,08/11/2020,USD
14,04/24/2020,Cash,$0.21,04/17/2020,04/27/2020,05/11/2020,USD
15,01/24/2020,Cash,$0.20,01/17/2020,01/27/2020,02/11/2020,USD
16,10/25/2019,Cash,$0.20,10/18/2019,10/28/2019,11/08/2019,USD
17,07/26/2019,Cash,$0.20,07/19/2019,07/29/2019,08/09/2019,USD
18,04/26/2019,Cash,$0.20,04/18/2019,04/29/2019,05/10/2019,USD
19,01/25/2019,Cash,$0.19,01/18/2019,01/28/2019,02/11/2019,USD
20,10/26/2018,Cash,$0.19,10/19/2018,10/29/2018,11/09/2018,USD
21,07/27/2018,Cash,$0.19,07/20/2018,07/30/2018,08/10/2018,USD
22,04/27/2018,Cash,$0.19,04/20/2018,04/30/2018,05/10/2018,USD
23,02/22/2018,Cash,$0.20,01/19/2018,02/23/2018,03/09/2018,USD
24,01/26/2018,Cash,$0.18,01/19/2018,01/29/2018,02/09/2018,USD
25,10/30/2017,Cash,$0.18,10/20/2017,10/31/2017,11/10/2017,USD
26,07/27/2017,Cash,$0.18,07/21/2017,07/31/2017,08/11/2017,USD
27,04/28/2017,Cash,$0.18,04/21/2017,05/02/2017,05/11/2017,USD
28,01/26/2017,Cash,$0.17,01/19/2017,01/30/2017,02/10/2017,USD
29,10/27/2016,Cash,$0.17,10/20/2016,10/31/2016,11/10/2016,USD
30,07/22/2016,Cash,$0.17,07/14/2016,07/26/2016,08/11/2016,USD
31,04/22/2016,Cash,$0.17,04/14/2016,04/26/2016,05/11/2016,USD
32,01/27/2016,Cash,$0.16,01/21/2016,01/31/2016,02/10/2016,USD
33,10/27/2015,Cash,$0.16,10/16/2015,10/29/2015,11/12/2015,USD
34,07/23/2015,Cash,$0.16,07/16/2015,07/27/2015,08/11/2015,USD
35,04/23/2015,Cash,$0.15,04/16/2015,04/27/2015,05/12/2015,USD
36,01/23/2015,Cash,$0.15,01/15/2015,01/27/2015,02/11/2015,USD
37,10/24/2014,Cash,$0.15,10/16/2014,10/28/2014,11/11/2014,USD
38,07/29/2014,Cash,$0.15,07/17/2014,07/31/2014,08/12/2014,USD
39,04/24/2014,Cash,$0.15,04/17/2014,04/28/2014,05/12/2014,USD
40,01/24/2014,Cash,$0.15,01/16/2014,01/28/2014,02/07/2014,USD
41,10/24/2013,Cash,$0.15,10/17/2013,10/28/2013,11/08/2013,USD
42,07/26/2013,Cash,$0.15,07/18/2013,07/30/2013,08/09/2013,USD
43,04/23/2003,Cash,$0.25,N/A,04/23/2003,N/A,USD
44,01/23/2003,Cash,$0.25,N/A,01/23/2003,N/A,USD
45,10/23/2002,Cash,$0.25,N/A,10/23/2002,N/A,USD
46,07/24/2002,Cash,$0.25,N/A,07/24/2002,N/A,USD
47,04/24/2002,Cash,$0.25,N/A,04/24/2002,N/A,USD
48,01/23/2002,Cash,$0.25,N/A,01/23/2002,N/A,USD
49,10/24/2001,Cash,$0.25,N/A,10/24/2001,N/A,USD
50,07/25/2001,Cash,$0.25,N/A,07/25/2001,N/A,USD
51,04/25/2001,Cash,$0.25,N/A,04/25/2001,N/A,USD
52,01/24/2001,Cash,$0.25,N/A,01/24/2001,N/A,USD
53,10/25/2000,Cash,$0.25,N/A,10/25/2000,N/A,USD
54,07/26/2000,Cash,$0.25,N/A,07/26/2000,N/A,USD
55,04/26/2000,Cash,$0.25,N/A,04/26/2000,N/A,USD
56,01/28/2000,Cash,$0.25,N/A,01/28/2000,N/A,USD
57,10/27/1999,Cash,$0.25,N/A,10/27/1999,N/A,USD
58,07/26/1999,Cash,$0.25,N/A,07/26/1999,N/A,USD
59,04/26/1999,Cash,$0.25,N/A,04/26/1999,N/A,USD
60,01/25/1999,Cash,$0.25,N/A,01/25/1999,N/A,USD
