,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/04/2023,Cash,$0.25,09/15/2023,10/05/2023,10/26/2023,USD
1,07/05/2023,Cash,$0.25,06/16/2023,07/06/2023,07/27/2023,USD
2,04/05/2023,Cash,$0.25,03/17/2023,04/06/2023,04/27/2023,USD
3,01/04/2023,Cash,$0.25,12/16/2022,01/05/2023,01/26/2023,USD
4,10/05/2022,Cash,$0.25,09/16/2022,10/06/2022,10/27/2022,USD
5,07/06/2022,Cash,$0.25,06/17/2022,07/07/2022,07/28/2022,USD
6,04/06/2022,Cash,$0.25,03/18/2022,04/07/2022,04/28/2022,USD
7,01/05/2022,Cash,$0.25,12/17/2021,01/06/2022,01/27/2022,USD
8,10/06/2021,Cash,$0.25,09/17/2021,10/07/2021,10/28/2021,USD
9,07/07/2021,Cash,$0.25,06/11/2021,07/08/2021,07/29/2021,USD
10,03/31/2021,Cash,$0.25,03/12/2021,04/01/2021,04/22/2021,USD
11,12/30/2020,Cash,$0.25,12/11/2020,12/31/2020,01/21/2021,USD
12,09/30/2020,Cash,$0.25,09/11/2020,10/01/2020,10/22/2020,USD
13,07/01/2020,Cash,$0.25,06/12/2020,07/02/2020,07/23/2020,USD
14,04/01/2020,Cash,$0.25,03/13/2020,04/02/2020,04/23/2020,USD
15,12/31/2019,Cash,$0.25,12/13/2019,01/02/2020,01/23/2020,USD
16,10/02/2019,Cash,$0.25,09/13/2019,10/03/2019,10/24/2019,USD
17,07/01/2019,Cash,$0.25,06/14/2019,07/02/2019,07/25/2019,USD
18,04/03/2019,Cash,$0.25,03/15/2019,04/04/2019,04/25/2019,USD
19,01/02/2019,Cash,$0.25,12/14/2018,01/03/2019,01/24/2019,USD
20,10/03/2018,Cash,$0.25,09/14/2018,10/04/2018,10/25/2018,USD
21,07/03/2018,Cash,$0.25,06/15/2018,07/05/2018,07/26/2018,USD
22,04/04/2018,Cash,$0.25,03/16/2018,04/05/2018,04/26/2018,USD
23,01/03/2018,Cash,$0.25,12/15/2017,01/04/2018,01/25/2018,USD
24,10/04/2017,Cash,$0.25,09/15/2017,10/05/2017,10/26/2017,USD
25,07/03/2017,Cash,$0.25,06/16/2017,07/06/2017,07/27/2017,USD
26,04/04/2017,Cash,$0.25,03/17/2017,04/06/2017,04/27/2017,USD
27,01/03/2017,Cash,$0.25,12/16/2016,01/05/2017,01/26/2017,USD
28,10/04/2016,Cash,$0.25,09/16/2016,10/06/2016,10/27/2016,USD
29,07/05/2016,Cash,$0.25,06/03/2016,07/07/2016,07/28/2016,USD
30,03/29/2016,Cash,$0.25,03/11/2016,03/31/2016,04/21/2016,USD
31,12/29/2015,Cash,$0.25,12/11/2015,12/31/2015,01/21/2016,USD
32,09/29/2015,Cash,$0.25,09/11/2015,10/01/2015,10/22/2015,USD
33,06/30/2015,Cash,$0.25,N/A,07/02/2015,07/23/2015,USD
34,03/31/2015,Cash,$0.25,N/A,04/02/2015,04/23/2015,USD
35,12/30/2014,Cash,$0.25,12/12/2014,01/02/2015,01/22/2015,USD
36,09/30/2014,Cash,$0.25,09/12/2014,10/02/2014,10/23/2014,USD
37,06/30/2014,Cash,$0.25,06/13/2014,07/02/2014,07/24/2014,USD
38,04/01/2014,Cash,$0.25,03/14/2014,04/03/2014,04/24/2014,USD
39,12/31/2013,Cash,$0.25,12/13/2013,01/03/2014,01/23/2014,USD
40,09/30/2013,Cash,$0.25,09/13/2013,10/02/2013,10/24/2013,USD
41,06/28/2013,Cash,$0.25,06/14/2013,07/02/2013,07/25/2013,USD
42,02/10/1992,Cash,$0.0375,N/A,02/10/1992,N/A,USD
43,11/08/1991,Cash,$0.0375,N/A,11/08/1991,N/A,USD
44,08/26/1991,Cash,$0.0375,N/A,08/26/1991,N/A,USD
45,05/13/1991,Cash,$0.0375,N/A,05/13/1991,N/A,USD
46,02/11/1991,Cash,$0.0375,N/A,02/11/1991,N/A,USD
47,11/09/1990,Cash,$0.0375,N/A,11/09/1990,N/A,USD
48,08/31/1990,Cash,$0.0375,N/A,08/31/1990,N/A,USD
49,05/14/1990,Cash,$0.0375,N/A,05/14/1990,N/A,USD
50,02/12/1990,Cash,$0.0375,N/A,02/12/1990,N/A,USD
51,11/13/1989,Cash,$0.0375,N/A,11/13/1989,N/A,USD
52,08/21/1989,Cash,$0.0375,N/A,08/21/1989,N/A,USD
53,05/15/1989,Cash,$0.0375,N/A,05/15/1989,N/A,USD
54,02/14/1989,Cash,$0.0375,N/A,02/14/1989,N/A,USD
55,11/14/1988,Cash,$0.0375,N/A,11/14/1988,N/A,USD
