,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,11/13/2023,Cash,$0.48,10/26/2023,11/14/2023,12/12/2023,USD
1,08/18/2023,Cash,$0.48,07/12/2023,08/21/2023,09/12/2023,USD
2,05/18/2023,Cash,$0.48,04/20/2023,05/19/2023,06/12/2023,USD
3,02/15/2023,Cash,$0.48,01/26/2023,02/16/2023,03/10/2023,USD
4,11/14/2022,Cash,$0.48,10/27/2022,11/15/2022,12/12/2022,USD
5,08/18/2022,Cash,$0.48,07/13/2022,08/19/2022,09/09/2022,USD
6,05/19/2022,Cash,$0.4775,04/28/2022,05/20/2022,06/10/2022,USD
7,02/17/2022,Cash,$0.4775,01/27/2022,02/18/2022,03/11/2022,USD
8,11/12/2021,Cash,$0.4775,10/20/2021,11/15/2021,12/10/2021,USD
9,08/19/2021,Cash,$0.4775,07/14/2021,08/20/2021,09/10/2021,USD
10,05/20/2021,Cash,$0.4675,04/22/2021,05/21/2021,06/11/2021,USD
11,02/18/2021,Cash,$0.4675,01/28/2021,02/19/2021,03/12/2021,USD
12,11/18/2020,Cash,$0.4675,10/29/2020,11/19/2020,12/11/2020,USD
13,08/18/2020,Cash,$0.4675,07/08/2020,08/19/2020,09/11/2020,USD
14,05/19/2020,Cash,$0.4575,04/22/2020,05/20/2020,06/12/2020,USD
15,02/18/2020,Cash,$0.4575,01/30/2020,02/19/2020,03/12/2020,USD
16,11/15/2019,Cash,$0.4575,10/23/2019,11/18/2019,12/12/2019,USD
17,08/19/2019,Cash,$0.4575,07/10/2019,08/20/2019,09/12/2019,USD
18,05/17/2019,Cash,$0.44,04/18/2019,05/20/2019,06/12/2019,USD
19,02/14/2019,Cash,$0.44,01/25/2019,02/15/2019,03/12/2019,USD
20,11/08/2018,Cash,$0.44,10/24/2018,11/12/2018,12/12/2018,USD
21,08/17/2018,Cash,$0.44,06/28/2018,08/20/2018,09/12/2018,USD
22,05/17/2018,Cash,$0.40,04/11/2018,05/18/2018,06/12/2018,USD
23,02/14/2018,Cash,$0.40,01/18/2018,02/15/2018,03/12/2018,USD
24,11/10/2017,Cash,$0.40,10/24/2017,11/13/2017,12/12/2017,USD
25,08/16/2017,Cash,$0.40,07/12/2017,08/18/2017,09/12/2017,USD
26,05/16/2017,Cash,$0.375,04/20/2017,05/18/2017,06/12/2017,USD
27,02/13/2017,Cash,$0.375,01/26/2017,02/15/2017,03/10/2017,USD
28,11/15/2016,Cash,$0.375,10/12/2016,11/17/2016,12/12/2016,USD
29,08/17/2016,Cash,$0.375,07/13/2016,08/19/2016,09/12/2016,USD
30,05/16/2016,Cash,$0.36,04/12/2016,05/18/2016,06/10/2016,USD
31,02/16/2016,Cash,$0.36,01/28/2016,02/18/2016,03/11/2016,USD
32,11/12/2015,Cash,$0.36,10/14/2015,11/16/2015,12/11/2015,USD
33,08/17/2015,Cash,$0.36,07/08/2015,08/19/2015,09/11/2015,USD
34,05/19/2015,Cash,$0.3375,04/08/2015,05/21/2015,06/12/2015,USD
35,02/13/2015,Cash,$0.3375,01/15/2015,02/18/2015,03/12/2015,USD
36,11/13/2014,Cash,$0.3375,10/08/2014,11/17/2014,12/12/2014,USD
37,08/19/2014,Cash,$0.3375,08/05/2014,08/21/2014,09/12/2014,USD
38,05/19/2014,Cash,$0.315,04/09/2014,05/21/2014,06/12/2014,USD
39,02/13/2014,Cash,$0.315,01/09/2014,02/18/2014,03/12/2014,USD
40,11/14/2013,Cash,$0.315,10/09/2013,11/18/2013,12/12/2013,USD
41,08/16/2013,Cash,$0.315,07/10/2013,08/20/2013,09/12/2013,USD
42,02/13/2013,Cash,$0.275,01/10/2013,02/15/2013,03/12/2013,USD
43,11/07/2012,Cash,$0.275,10/10/2012,11/12/2012,12/12/2012,USD
44,08/15/2012,Cash,$0.275,06/19/2012,08/17/2012,09/12/2012,USD
45,05/17/2012,Cash,$0.225,04/09/2012,05/21/2012,06/12/2012,USD
46,08/17/2011,Cash,$0.225,07/13/2011,08/19/2011,09/12/2011,USD
47,08/17/2010,Cash,$0.175,07/14/2010,08/19/2010,09/11/2010,USD
48,11/12/2009,Cash,$0.1375,10/15/2009,11/16/2009,12/12/2009,USD
49,08/18/2008,Cash,$0.1125,07/09/2008,08/20/2008,09/12/2008,USD
50,08/16/2007,Cash,$0.095,07/11/2007,08/20/2007,09/12/2007,USD
51,05/16/2007,Cash,$0.0775,04/10/2007,05/18/2007,06/12/2007,USD
52,05/16/2001,Cash,$0.035,N/A,05/18/2001,N/A,USD
53,02/14/2001,Cash,$0.035,N/A,02/16/2001,N/A,USD
54,11/09/2000,Cash,$0.035,10/11/2000,11/13/2000,12/12/2000,USD
55,08/16/2000,Cash,$0.0337,06/01/2000,08/18/2000,09/15/2000,USD
