,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/12/2023,Cash,$0.31,08/16/2023,09/13/2023,09/27/2023,USD
1,06/13/2023,Cash,$0.27,05/17/2023,06/14/2023,06/28/2023,USD
2,04/11/2023,Cash,$0.27,03/15/2023,04/12/2023,04/26/2023,USD
3,01/10/2023,Cash,$0.27,12/14/2022,01/11/2023,01/25/2023,USD
4,09/13/2022,Cash,$0.27,08/17/2022,09/14/2022,09/28/2022,USD
5,06/07/2022,Cash,$0.18,05/18/2022,06/08/2022,06/29/2022,USD
6,04/12/2022,Cash,$0.18,03/16/2022,04/13/2022,04/27/2022,USD
7,01/11/2022,Cash,$0.18,12/15/2021,01/12/2022,01/26/2022,USD
8,09/14/2021,Cash,$0.18,08/18/2021,09/15/2021,09/29/2021,USD
9,06/15/2021,Cash,$0.12,05/19/2021,06/16/2021,06/30/2021,USD
10,04/13/2021,Cash,$0.12,03/17/2021,04/14/2021,04/28/2021,USD
11,01/12/2021,Cash,$0.12,12/16/2020,01/13/2021,01/27/2021,USD
12,09/15/2020,Cash,$0.12,08/19/2020,09/16/2020,09/30/2020,USD
13,06/16/2020,Cash,$0.11,05/19/2020,06/17/2020,07/01/2020,USD
14,04/14/2020,Cash,$0.11,03/17/2020,04/15/2020,04/29/2020,USD
15,01/14/2020,Cash,$0.11,12/19/2019,01/15/2020,01/29/2020,USD
16,09/10/2019,Cash,$0.11,08/15/2019,09/11/2019,09/25/2019,USD
17,06/18/2019,Cash,$0.11,05/23/2019,06/19/2019,07/03/2019,USD
18,04/02/2019,Cash,$0.11,03/09/2019,04/03/2019,04/17/2019,USD
19,01/08/2019,Cash,$0.11,12/13/2018,01/09/2019,01/23/2019,USD
20,09/11/2018,Cash,$0.10,08/16/2018,09/12/2018,09/26/2018,USD
21,06/19/2018,Cash,$0.10,05/24/2018,06/20/2018,07/05/2018,USD
22,04/10/2018,Cash,$0.10,03/14/2018,04/11/2018,04/25/2018,USD
23,01/09/2018,Cash,$0.10,12/13/2017,01/10/2018,01/24/2018,USD
24,11/14/2017,Cash,$0.10,10/18/2017,11/15/2017,11/29/2017,USD
25,07/10/2017,Cash,$0.10,05/24/2017,07/12/2017,07/26/2017,USD
26,04/10/2017,Cash,$0.10,03/15/2017,04/12/2017,04/26/2017,USD
27,01/09/2017,Cash,$0.10,12/14/2016,01/11/2017,01/25/2017,USD
28,11/07/2016,Cash,$0.10,10/12/2016,11/09/2016,11/23/2016,USD
29,07/11/2016,Cash,$0.10,06/15/2016,07/13/2016,07/27/2016,USD
30,04/11/2016,Cash,$0.10,03/16/2016,04/13/2016,04/27/2016,USD
31,01/11/2016,Cash,$0.10,12/16/2015,01/13/2016,01/27/2016,USD
32,11/06/2015,Cash,$0.10,10/14/2015,11/11/2015,11/25/2015,USD
33,07/20/2015,Cash,$0.09,06/25/2015,07/22/2015,08/05/2015,USD
34,04/20/2015,Cash,$0.09,03/26/2015,04/22/2015,05/06/2015,USD
