,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,10/06/2023,Cash,$0.35,09/28/2023,10/10/2023,10/25/2023,USD
1,07/05/2023,Cash,$0.35,06/26/2023,07/06/2023,07/20/2023,USD
2,04/10/2023,Cash,$0.3475,03/29/2023,04/11/2023,04/25/2023,USD
3,12/23/2022,Cash,$0.3475,12/15/2022,12/27/2022,01/11/2023,USD
4,10/07/2022,Cash,$0.3475,09/29/2022,10/11/2022,10/26/2022,USD
5,07/05/2022,Cash,$0.3475,06/23/2022,07/06/2022,07/20/2022,USD
6,04/04/2022,Cash,$0.345,03/24/2022,04/05/2022,04/20/2022,USD
7,12/27/2021,Cash,$0.345,12/16/2021,12/28/2021,01/12/2022,USD
8,10/08/2021,Cash,$0.345,09/30/2021,10/12/2021,10/27/2021,USD
9,07/02/2021,Cash,$0.345,06/23/2021,07/06/2021,07/21/2021,USD
10,04/05/2021,Cash,$0.3425,03/25/2021,04/06/2021,04/21/2021,USD
11,12/29/2020,Cash,$0.3425,12/17/2020,12/30/2020,01/13/2021,USD
12,03/30/2020,Cash,$0.34,03/20/2020,03/31/2020,04/15/2020,USD
13,12/31/2019,Cash,$0.34,12/20/2019,01/02/2020,01/16/2020,USD
14,10/07/2019,Cash,$0.34,09/26/2019,10/08/2019,10/23/2019,USD
15,07/09/2019,Cash,$0.34,06/28/2019,07/10/2019,07/24/2019,USD
16,04/01/2019,Cash,$0.33,03/22/2019,04/02/2019,04/17/2019,USD
17,12/31/2018,Cash,$0.33,12/20/2018,01/02/2019,01/16/2019,USD
18,10/05/2018,Cash,$0.33,09/27/2018,10/09/2018,10/24/2018,USD
19,07/02/2018,Cash,$0.33,06/21/2018,07/03/2018,07/18/2018,USD
20,04/02/2018,Cash,$0.32,03/22/2018,04/03/2018,04/18/2018,USD
21,12/22/2017,Cash,$0.32,12/14/2017,12/26/2017,01/10/2018,USD
22,10/06/2017,Cash,$0.32,09/28/2017,10/10/2017,10/25/2017,USD
23,06/30/2017,Cash,$0.32,06/22/2017,07/05/2017,07/19/2017,USD
24,03/31/2017,Cash,$0.31,03/23/2017,04/04/2017,04/19/2017,USD
25,12/22/2016,Cash,$0.31,12/15/2016,12/27/2016,01/13/2017,USD
26,09/30/2016,Cash,$0.31,09/22/2016,10/04/2016,10/19/2016,USD
