,exOrEffDate,type,amount,declarationDate,recordDate,paymentDate,currency
0,09/25/2023,Cash,$0.20,09/07/2023,09/26/2023,10/13/2023,USD
1,06/20/2023,Cash,$0.51,05/30/2023,06/21/2023,07/05/2023,USD
2,04/12/2023,Cash,$0.51,03/15/2023,04/13/2023,04/28/2023,USD
3,12/22/2022,Cash,$0.51,11/28/2022,12/23/2022,01/06/2023,USD
4,09/21/2022,Cash,$0.51,08/29/2022,09/22/2022,10/06/2022,USD
5,06/22/2022,Cash,$0.51,N/A,06/23/2022,07/06/2022,USD
6,04/13/2022,Cash,$0.51,N/A,04/14/2022,04/29/2022,USD
7,12/09/2021,Cash,$0.51,11/23/2021,12/10/2021,12/23/2021,USD
8,09/09/2021,Cash,$0.51,08/19/2021,09/10/2021,09/29/2021,USD
9,06/17/2021,Cash,$0.51,06/01/2021,06/18/2021,06/28/2021,USD
10,04/16/2021,Cash,$0.51,03/23/2021,04/19/2021,04/30/2021,USD
11,12/10/2020,Cash,$0.51,11/27/2020,12/11/2020,12/23/2020,USD
12,09/03/2020,Cash,$0.31,08/21/2020,09/04/2020,09/18/2020,USD
