,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,CME,20231227193048,$209.55,12/27/2023,2.05%,,12/07/2023,4.4,Investment Bankers/Brokers/Service,,
1,COST,20231227194244,$659.62,12/27/2023,0.6%,,12/14/2023,4.08,Department/Specialty Retail Stores,,
2,FITBI,20231227212008,$25.1559,12/27/2023,6.48%,,12/12/2023,1.65624,Major Banks,,
3,FITBP,20231227212010,$23.885,12/27/2023,6.18%,,12/12/2023,1.5,Major Banks,,
4,FITBO,20231227212015,$22.9406,12/27/2023,5.32%,,12/12/2023,1.23752,Major Banks,,
5,FLXS,20231227212017,$18.97,12/27/2023,3.14%,,12/12/2023,0.6,Home Furnishings,,
6,GTY,20231227212018,$30.06,12/27/2023,5.99%,,10/24/2023,1.8,Real Estate Investment Trusts,,
7,NOG,20231227212023,$38.80,12/27/2023,4.12%,,10/30/2023,1.6,Oil & Gas Production,,
8,SEIC,20231227212028,$64.12,12/27/2023,1.42%,,12/15/2023,0.86,Investment Bankers/Brokers/Service,,
9,XEL,20231227212035,$61.73,12/27/2023,3.34%,,12/13/2023,2.08,Power Generation,,
