,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,AFCG,20231227222730,$13.09,12/28/2023,14.67%,,12/15/2023,1.92,Real Estate Investment Trusts,,
1,MGRD,20231227222732,$16.52,12/28/2023,6.29%,,12/27/2023,1.05,Investment Managers,,
2,MGRB,20231227222733,$18.39,12/28/2023,6.38%,,12/27/2023,1.1875,Investment Managers,,
3,MGR,20231227222734,$22.59,12/28/2023,6.47%,,12/27/2023,1.4688,Investment Managers,,
4,AGNC,20231227222736,$10.07,12/28/2023,14.3%,,12/13/2023,1.44,Real Estate Investment Trusts,,
5,AGNCP,20231227222737,$22.15,12/28/2023,6.91%,,12/13/2023,1.53125,Real Estate Investment Trusts,,
6,AGNCN,20231227222739,$25.48,12/28/2023,10.71%,,12/13/2023,2.72996,Real Estate Investment Trusts,,
7,AGNCL,20231227222740,$22.55,12/28/2023,8.59%,,12/13/2023,1.93752,Real Estate Investment Trusts,,
8,AGNCM,20231227222741,$24.0479,12/28/2023,7.15%,,12/13/2023,1.71875,Real Estate Investment Trusts,,
9,AGNCO,20231227222743,$23.54,12/28/2023,6.9%,,12/13/2023,1.625,Real Estate Investment Trusts,,
10,ALCO,20231227222744,$29.91,12/28/2023,0.67%,,12/08/2023,0.2,N/A,,
11,DOX,20231227222746,$88.56,12/28/2023,1.96%,,11/07/2023,1.74,EDP Services,,
12,ABCB,20231227222747,$53.58,12/28/2023,1.12%,,12/11/2023,0.6,Major Banks,,
13,BANX,20231227222749,$18.69,12/28/2023,9.63%,,12/08/2023,1.8,"Trusts, Except Educational, Religious, and Charitable",,
14,AHT^F,20231227222750,$14.31,12/28/2023,12.72%,,10/10/2023,1.8436,N/A,,
15,AHT^G,20231227222752,$14.48,12/28/2023,12.73%,,10/10/2023,1.8436,N/A,,
16,AHT^H,20231227222753,$14.25,12/28/2023,13.11%,,10/10/2023,1.875,N/A,,
17,AHT^I,20231227222755,$14.09,12/28/2023,13.69%,,10/10/2023,1.875,N/A,,
18,AHT^D,20231227222756,$14.685,12/28/2023,14.05%,,10/10/2023,2.1124,N/A,,
19,AIZN,20231227222758,$20.11,12/28/2023,6.49%,,12/27/2023,1.3125,Property-Casualty Insurers,,
20,ATNI,20231227222759,$37.93,12/28/2023,2.21%,,12/13/2023,0.84,Telecommunications Equipment,,
21,BANFP,20231227222801,$25.79,12/28/2023,6.98%,,11/16/2023,1.8,Major Banks,,
22,BANF,20231227222802,$99.67,12/28/2023,1.73%,,11/16/2023,1.72,Major Banks,,
23,BHR^B,20231227222803,$13.22,12/28/2023,10.19%,,10/10/2023,1.3752,N/A,,
24,BHR^D,20231227222805,$20.4225,12/28/2023,9.89%,,10/10/2023,2.0624,N/A,,
25,BHR,20231227222807,$2.67,12/28/2023,7.63%,,10/10/2023,0.2,Real Estate Investment Trusts,,
26,BNL,20231227222808,$17.48,12/28/2023,6.41%,,10/26/2023,1.12,Real Estate Investment Trusts,,
27,CHY,20231227222809,$11.94,12/28/2023,10.05%,,12/18/2023,1.2,Investment Managers,,
28,CHI,20231227222811,$10.56,12/28/2023,10.8%,,12/18/2023,1.14,Investment Managers,,
29,CCD,20231227222812,$20.37,12/28/2023,11.49%,,12/18/2023,2.34,"Trusts, Except Educational, Religious, and Charitable",,
30,CHW,20231227222814,$5.857,12/28/2023,10.24%,,12/18/2023,0.6,Investment Managers,,
31,CGO,20231227222815,$9.24,12/28/2023,10.39%,,12/18/2023,0.96,Investment Managers,,
32,CPZ,20231227222817,$14.925,12/28/2023,11.26%,,12/18/2023,1.68,"Trusts, Except Educational, Religious, and Charitable",,
33,CSQ,20231227222818,$15.04,12/28/2023,8.18%,,12/18/2023,1.23,Finance Companies,,
34,CPHC,20231227222820,$20.415,12/28/2023,1.37%,,12/14/2023,0.28,Services-Misc. Amusement & Recreation,,
35,CGBD,20231227222821,$15.57,12/28/2023,11.3%,,11/02/2023,1.76,Finance: Consumer Services,,
36,REFI,20231227222822,$16.90,12/28/2023,11.12%,,12/15/2023,1.88,Real Estate Investment Trusts,,
37,CSSEP,20231227222824,$4.19,12/28/2023,58.17%,,12/18/2023,2.4372,Movies/Entertainment,,
38,CIM,20231227222825,$5.32,12/28/2023,13.64%,,11/02/2023,0.72,Real Estate Investment Trusts,,
39,CION,20231227222827,$11.50,12/28/2023,11.83%,,8/07/2023,1.36,Finance/Investors Services,,
40,CMSC,20231227222828,$24.72,12/28/2023,5.91%,,12/27/2023,1.4688,Power Generation,,
41,CIGI,20231227222829,$125.44,12/28/2023,0.24%,,12/05/2023,0.3,Real Estate,,
42,CCAP,20231227222832,$17.91,12/28/2023,9.16%,,12/27/2023,1.64,Finance: Consumer Services,,
43,XRAY,20231227222833,$35.54,12/28/2023,1.58%,,12/13/2023,0.56,Medical/Dental Instruments,,
44,DBRG,20231227222835,$17.21,12/28/2023,0.23%,,10/27/2023,0.04,Real Estate Investment Trusts,,
45,DTB,20231227222837,$20.20,12/28/2023,5.39%,,12/27/2023,1.0938,Electric Utilities: Central,,
46,EMP,20231227222839,$22.79,12/28/2023,5.34%,,12/27/2023,1.225,N/A,,
47,ENO,20231227222840,$23.27,12/28/2023,5.88%,,12/27/2023,1.375,Power Generation,,
48,ELS,20231227222842,$70.96,12/28/2023,2.51%,,10/24/2023,1.79,Real Estate Investment Trusts,,
49,FMAO,20231227222843,$27.17,12/28/2023,3.09%,,12/19/2023,0.84,Savings Institutions,,
50,FITB,20231227222845,$34.96,12/28/2023,4%,,12/12/2023,1.4,Major Banks,,
51,FBNC,20231227222935,$38.15,12/28/2023,2.31%,,10/23/2023,0.88,Major Banks,,
52,FR,20231227222937,$52.96,12/28/2023,2.39%,,11/01/2023,1.28,Real Estate Investment Trusts,,
53,INBK,20231227222938,$24.81,12/28/2023,0.97%,,12/27/2023,0.24,Major Banks,,
54,FSV,20231227222939,$163.90,12/28/2023,0.55%,,11/28/2023,0.9,N/A,,
55,FULTP,20231227222941,$18.07,12/28/2023,7.09%,,12/19/2023,1.281,Major Banks,,
56,GPJA,20231227222942,$22.90,12/28/2023,5.44%,,12/27/2023,1.25,Electric Utilities: Central,,
57,AJXA,20231227222944,$24.86,12/28/2023,7.27%,,12/27/2023,1.8125,Real Estate Investment Trusts,,
58,GECC,20231227222945,$10.7635,12/28/2023,13.01%,,12/12/2023,1.4,Finance: Consumer Services,,
59,HTLFP,20231227222947,$25.25,12/28/2023,6.93%,,12/27/2023,1.75,Major Banks,,
60,CUBA,20231227222948,$2.75,12/28/2023,25.25%,,12/19/2023,0.6945,Investment Managers,,
61,HST,20231227222950,$20.11,12/28/2023,3.58%,,12/27/2023,0.72,Real Estate Investment Trusts,,
62,HOVNP,20231227222951,$18.50,12/28/2023,10.3%,,12/13/2023,1.906252,Homebuilding,,
63,HUM,20231227222953,$452.83,12/28/2023,0.78%,,10/31/2023,3.54,Medical Specialities,,
