BRX,20240111225834,$22.95,1/02/2024,4.78%,,10/30/2023,1.09,Real Estate Investment Trusts,,
CMCSA,20240111225836,$43.48,1/02/2024,2.67%,,10/03/2023,1.16,Cable & Other Pay Television Services,,
FIF,20240111225838,$16.53,1/02/2024,7.33%,,12/20/2023,1.2,Finance/Investors Services,,
FSD,20240111225839,$11.69,1/02/2024,10.74%,,12/20/2023,1.26,Investment Managers,,
FTHY,20240111225841,$13.96,1/02/2024,11.16%,,12/20/2023,1.56,Investment Managers,,
FPL,20240111225843,$6.97,1/02/2024,6.5%,,10/23/2023,0.45,"Trusts, Except Educational, Religious, and Charitable",,
FCT,20240111225844,$9.86,1/02/2024,11.82%,,12/20/2023,1.164,Finance Companies,,
FAM,20240111225846,$6.26,1/02/2024,11.27%,,12/20/2023,0.72,Finance/Investors Services,,
BEN,20240111225847,$29.08,1/02/2024,4.31%,,12/12/2023,1.24,Investment Managers,,
GPS,20240111225849,$21.29,1/02/2024,2.86%,,11/07/2023,0.6,Clothing/Shoe/Accessory Stores,,
KYN,20240111225850,$8.86,1/02/2024,10.09%,,12/19/2023,0.88,Finance/Investors Services,,
LSTR,20240111225852,$188.99,1/02/2024,0.7%,,12/04/2023,1.32,Trucking Freight/Courier Services,,
NYT,20240111225853,$48.20,1/02/2024,0.9%,,12/14/2023,0.44,Newspapers/Magazines,,
NECB,20240111225855,$16.90,1/02/2024,1.42%,,12/21/2023,0.24,Savings Institutions,,
OPRA,20240111225856,$12.04,1/02/2024,6.64%,,12/12/2023,0.8,Computer Software: Prepackaged Software,,
PKE,20240111225858,$14.26,1/02/2024,3.51%,,12/11/2023,0.5,Military/Government/Technical,,
PKBK,20240111225859,$18.42,1/02/2024,3.91%,,12/19/2023,0.72,Major Banks,,
DOC,20240111225901,$13.23,1/02/2024,6.86%,,12/21/2023,0.92,Real Estate Investment Trusts,,
UBFO,20240111225902,$7.485,1/02/2024,6.41%,,12/18/2023,0.48,Major Banks,,
XOMAP,20240111225904,$25.12,1/02/2024,8.58%,,10/18/2023,2.15624,Biotechnology: Pharmaceutical Preparations,,
XOMAO,20240111225906,$24.84,1/02/2024,8.43%,,10/18/2023,2.09376,Biotechnology: Pharmaceutical Preparations,,
ABM,20240111225908,$42.78,1/03/2024,2.12%,,12/13/2023,0.9,Diversified Commercial Services,,
ACM,20240111225909,$89.33,1/03/2024,0.98%,,11/13/2023,0.88,Military/Government/Technical,,
BBD,20240111225911,$3.28,1/03/2024,5.93%,,12/15/2023,0.2027,Major Banks,,
BBDO,20240111225913,$2.96,1/03/2024,6.1%,,12/15/2023,0.1842,Major Banks,,
BDN,20240111225914,$5.56,1/03/2024,10.81%,,12/05/2023,0.6,Real Estate Investment Trusts,,
CDZIP,20240111225916,$14.25,1/03/2024,15.72%,,12/20/2023,2.24,Water Supply,,
CPB,20240111225917,$43.72,1/03/2024,3.41%,,11/29/2023,1.48,Packaged Foods,,
