Symbol,type,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
AFL,stocks,20240219205042,$80.17,2/20/2024,0.020955469627042533,,11/01/2023,1.68,Accident &Health Insurance,,
GLAD,stocks,20240219205054,$10.28,2/20/2024,0.0963035019455253,,1/09/2024,0.99,Textiles,,
GOODO,stocks,20240219205055,$19.29,2/20/2024,0.07776049766718507,,1/09/2024,1.5,Real Estate Investment Trusts,,
GOODN,stocks,20240219205057,$21.98,2/20/2024,0.07535486806187444,,1/09/2024,1.656252,Real Estate,,
GOOD,stocks,20240219205058,$12.77,2/20/2024,0.09397024275646046,,1/09/2024,1.2,Real Estate Investment Trusts,,
GAIN,stocks,20240219205100,$14.24,2/20/2024,0.06741573033707865,,1/09/2024,0.96,Finance: Consumer Services,,
LANDM,stocks,20240219205101,$24.08,2/20/2024,0.051910299003322266,,1/09/2024,1.250004,Real Estate Investment Trusts,,
LANDO,stocks,20240219205103,$20.475,2/20/2024,0.07326007326007325,,1/09/2024,1.5,Real Estate Investment Trusts,,
LANDP,stocks,20240219205104,$20.22,2/20/2024,0.0741839762611276,,1/09/2024,1.5,Real Estate Investment Trusts,,
LAND,stocks,20240219205106,$13.58,2/20/2024,0.0410898379970545,,1/09/2024,0.558,Real Estate Investment Trusts,,
KRT,stocks,20240219205132,$28.37,2/20/2024,0.028198801550934086,,2/07/2024,0.8,Plastic Products,,
TRI,stocks,20240219205133,$159.07,2/20/2024,0.012321619412837116,,2/08/2024,2.16,Publishing,,
TGT,stocks,20240219205135,$146.33,2/20/2024,0.03006902207339575,,1/17/2024,4.4,Department/Specialty Retail Stores,,
L,stocks,20240219205136,$75.22,2/20/2024,0.003323584153150758,,2/06/2024,0.25,Property-Casualty Insurers,,
ROL,stocks,20240219205138,$41.72,2/20/2024,0.014381591562799617,,1/22/2024,0.6,Diversified Commercial Services,,
