,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry_x,declare_date,epsFix,epsForecastFix,exOrEffDate,type,dividend_y,declarationDate,recordDate,paymentDate,currency,dividend_yield_Rate_y,price,industry_y,dividend,lastYearRptDt,lastYearEPS
0,$0.56,14.29,time-not-supplied,HTHT,H World Group Limited,"$10,874,773,572",Sep/2023,$0.49,1,,2023-11-24,0.56,0.49,12/20/2023,Cash,$0.93,11/29/2023,12/21/2023,01/17/2024,USD,N/A,$6.37,Home Furnishings,,,
1,$0.50,N/A,time-after-hours,NTZ,"Natuzzi, S.p.A.","$70,163,059",Sep/2023,,N/A,,2023-11-24,0.50,,05/26/2005,Cash,$0.0616,N/A,05/31/2005,07/15/2005,USD,N/A,$6.37,Home Furnishings,,,
2,$1.10,64.18,time-not-supplied,SDRL,Seadrill Limited,"$3,216,364,900",Sep/2023,$0.67,1,,2023-11-27,1.10,0.67,12/03/2013,Cash,$0.95,N/A,12/05/2013,N/A,USD,N/A,$2.23,Marine Transportation,,,
3,$0.08,N/A,time-not-supplied,TIGR,UP Fintech Holding Limited,"$697,150,123",Sep/2023,,N/A,,2023-11-27,0.08,,,,,,,,,,,,,,
4,$0.63,N/A,time-not-supplied,ITRN,Ituran Location and Control Ltd.,"$528,289,700",Sep/2023,,N/A,,2023-11-27,0.63,,12/19/2023,Cash,$0.24,11/27/2023,12/20/2023,01/04/2024,USD,N/A,$2.23,Marine Transportation,,,
5,$0.35,N/A,time-not-supplied,SUPV,Grupo Supervielle S.A.,"$332,419,959",Sep/2023,$0,1,,2023-11-27,0.35,0,05/13/2022,Cash,$0.015119,05/06/2022,05/16/2022,05/24/2022,USD,N/A,$2.23,Marine Transportation,,,
6,$0.02,N/A,time-not-supplied,EM,Smart Share Global Limited,"$158,101,030",Sep/2023,,N/A,,2023-11-27,0.02,,,,,,,,,,,,,,
7,$0.27,N/A,time-not-supplied,PSHG,Performance Shipping Inc.,"$26,544,604",Sep/2023,,N/A,,2023-11-27,0.27,,10/29/2020,Cash,$0.01,10/20/2020,10/30/2020,11/09/2020,USD,N/A,$2.23,Marine Transportation,,,
8,$1.45,46.46,time-not-supplied,PDD,PDD Holdings Inc.,"$185,124,874,118",Sep/2023,$0.99,2,,2023-11-28,1.45,0.99,,,,,,,,,,,,,
9,$1.14,62.86,time-not-supplied,INTU,Intuit Inc.,"$159,980,624,640",Oct/2023,$0.70,10,,2023-11-28,1.14,0.70,01/09/2024,Cash,$0.90,11/16/2023,01/10/2024,01/18/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
10,$0.47,46.88,time-not-supplied,WDAY,"Workday, Inc.","$71,635,940,000",Oct/2023,$0.32,8,,2023-11-28,0.47,0.32,,,,,,,,,,,,,
11,$0.16,77.78,time-not-supplied,CRWD,"CrowdStrike Holdings, Inc.","$57,675,578,537",Oct/2023,$0.09,13,,2023-11-28,0.16,0.09,,,,,,,,,,,,,
12,$0.93,-21.85,time-not-supplied,BNS,Bank of Nova Scotia (The),"$53,709,325,140",Oct/2023,$1.19,4,,2023-11-28,0.93,1.19,,,,,,,,,,,,,
13,$0.77,156.67,time-not-supplied,SPLK,Splunk Inc.,"$25,445,185,000",Oct/2023,$0.30,5,,2023-11-28,0.77,0.30,,,,,,,,,,,,,
14,$0.49,32.43,time-not-supplied,HPE,Hewlett Packard Enterprise Company,"$20,679,779,270",Oct/2023,$0.37,5,,2023-11-28,0.49,0.37,12/12/2023,Cash,$0.13,11/28/2023,12/13/2023,01/11/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
15,$1.23,12.84,time-not-supplied,NTAP,"NetApp, Inc.","$18,353,245,666",Oct/2023,$1.09,9,,2023-11-28,1.23,1.09,01/04/2024,Cash,$0.50,11/28/2023,01/05/2024,01/24/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
16,$1.65,-3.51,time-not-supplied,ESLT,Elbit Systems Ltd.,"$9,278,463,500",Sep/2023,$1.71,1,,2023-11-28,1.65,1.71,12/22/2023,Cash,$0.50,11/27/2023,12/26/2023,01/08/2024,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
17,$0.35,34.62,time-not-supplied,AZEK,The AZEK Company Inc.,"$5,154,709,513",Sep/2023,$0.26,7,,2023-11-28,0.35,0.26,,,,,,,,,,,,,
18,$0.01,N/A,time-not-supplied,SID,National Steel Company,"$4,521,980,359",Sep/2023,,N/A,,2023-11-28,0.01,,05/10/2023,Cash,$0.117495,05/02/2023,05/11/2023,N/A,USD,N/A,$0.796,Biotechnology: Pharmaceutical Preparations,,,
19,$0.02,128.57,time-not-supplied,FLNC,"Fluence Energy, Inc.","$3,908,339,968",Sep/2023,($0.07),9,,2023-11-28,0.02,-0.07,,,,,,,,,,,,,
20,$0.13,-13.33,time-not-supplied,LESL,"Leslie's, Inc.","$1,000,931,828",Sep/2023,$0.15,5,,2023-11-28,0.13,0.15,,,,,,,,,,,,,
21,$0,N/A,time-not-supplied,LITB,"LightInTheBox Holding Co., Ltd.","$118,948,925",Sep/2023,,N/A,,2023-11-28,0,,,,,,,,,,,,,,
22,$0.08,N/A,time-not-supplied,JCTCF,Jewett-Cameron Trading Company,"$18,176,780",Aug/2023,,N/A,,2023-11-28,0.08,,,,,,,,,,,,,,
23,$0.30,N/A,time-not-supplied,ALAR,Alarum Technologies Ltd.,"$15,378,000",Sep/2023,,N/A,,2023-11-28,0.30,,,,,,,,,,,,,,
24,$0.10,N/A,time-not-supplied,NRSN,NeuroSense Therapeutics Ltd.,"$9,384,840",Sep/2023,,N/A,,2023-11-28,0.10,,,,,,,,,,,,,,
25,$1.62,7.28,time-not-supplied,CRM,"Salesforce, Inc.","$240,886,800,000",Oct/2023,$1.51,17,,2023-11-29,1.62,1.51,,,,,,,,,,,,,
26,$2.26,3.2,time-not-supplied,SNPS,"Synopsys, Inc.","$81,235,570,850",Oct/2023,$2.19,5,,2023-11-29,2.26,2.19,,,,,,,,,,,,,
27,$0.97,-3.96,time-not-supplied,DLTR,"Dollar Tree, Inc.","$27,613,089,295",Oct/2023,$1.01,12,,2023-11-29,0.97,1.01,,,,,,,,,,,,,
28,$0.42,-6.67,time-not-supplied,HRL,Hormel Foods Corporation,"$17,416,855,783",Oct/2023,$0.45,5,,2023-11-29,0.42,0.45,01/12/2024,Cash,$0.2825,11/20/2023,01/16/2024,02/15/2024,USD,N/A,$0.3912,Precious Metals,,,
29,$0.26,13.04,time-not-supplied,FIVE,"Five Below, Inc.","$10,813,919,034",Oct/2023,$0.23,11,,2023-11-29,0.26,0.23,,,,,,,,,,,,,
30,$0,100,time-not-supplied,NTNX,"Nutanix, Inc.","$10,775,439,736",Oct/2023,($0.11),6,,2023-11-29,0,-0.11,,,,,,,,,,,,,
31,$0.23,91.67,time-not-supplied,PSTG,"Pure Storage, Inc. ","$10,141,690,567",Oct/2023,$0.12,10,,2023-11-29,0.23,0.12,,,,,,,,,,,,,
32,$0.75,4.17,time-not-supplied,DCI,"Donaldson Company, Inc.","$7,359,514,390",Oct/2023,$0.72,3,,2023-11-29,0.75,0.72,08/14/2023,Cash,$0.25,07/28/2023,08/15/2023,08/30/2023,USD,N/A,$0.3912,Precious Metals,,,
33,$2.90,6.62,time-not-supplied,PVH,PVH Corp.,"$6,426,796,405",Oct/2023,$2.72,9,,2023-11-29,2.90,2.72,11/28/2023,Cash,$0.0375,11/01/2023,11/29/2023,12/20/2023,USD,N/A,$0.3912,Precious Metals,,,
34,$0,100,time-not-supplied,NCNO,"nCino, Inc.","$3,308,012,077",Oct/2023,($0.02),5,,2023-11-29,0,-0.02,,,,,,,,,,,,,
35,$0.30,30.43,time-not-supplied,FL,"Foot Locker, Inc.","$2,669,487,228",Oct/2023,$0.23,10,,2023-11-29,0.30,0.23,10/12/2023,Cash,$0.40,08/15/2023,10/13/2023,10/27/2023,USD,N/A,$0.3912,Precious Metals,,,
36,$1.15,36.9,time-not-supplied,YY,JOYY Inc.,"$2,627,303,233",Sep/2023,$0.84,1,,2023-11-29,1.15,0.84,09/25/2023,Cash,$0.20,09/07/2023,09/26/2023,10/13/2023,USD,N/A,$0.3912,Precious Metals,,,
37,$0.50,-15.25,time-not-supplied,PDCO,"Patterson Companies, Inc.","$2,443,470,570",Oct/2023,$0.59,8,,2023-11-29,0.50,0.59,01/18/2024,Cash,$0.26,12/05/2023,01/19/2024,02/02/2024,USD,N/A,$0.3912,Precious Metals,,,
38,$0.59,13.46,time-not-supplied,ROAD,"Construction Partners, Inc.","$2,223,816,716",Sep/2023,$0.52,4,,2023-11-29,0.59,0.52,,,,,,,,,,,,,
39,$2.77,N/A,time-not-supplied,IMKTA,"Ingles Markets, Incorporated","$1,608,063,872",Sep/2023,,N/A,,2023-11-29,2.77,,10/11/2023,Cash,$0.165,10/02/2023,10/12/2023,10/19/2023,USD,N/A,$0.3912,Precious Metals,,,
40,$0.74,19.35,time-not-supplied,LZB,La-Z-Boy Incorporated,"$1,539,634,924",Oct/2023,$0.62,2,,2023-11-29,0.74,0.62,09/05/2023,Cash,$0.1815,08/22/2023,09/06/2023,09/15/2023,USD,N/A,$0.3912,Precious Metals,,,
41,$0.08,N/A,time-not-supplied,GB,Global Blue Group Holding AG,"$886,046,105",Sep/2023,,N/A,,2023-11-29,0.08,,,,,,,,,,,,,,
42,$0.04,-42.86,time-not-supplied,NAT,Nordic American Tankers Limited,"$818,496,000",Sep/2023,$0.07,2,,2023-11-29,0.04,0.07,12/19/2023,Cash,$0.06,11/29/2023,12/20/2023,01/17/2024,USD,N/A,$0.3912,Precious Metals,,,
