,lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry_x,declare_date,epsFix,epsForecastFix,exOrEffDate,type,dividend_y,declarationDate,recordDate,paymentDate,currency,dividend_yield_Rate_y,price,industry_y,dividend
0,12/19/2022,$0.70,time-after-hours,HEI,Heico Corporation,"$24,560,059,398",Oct/2023,$0.69,7,,2023-12-18,0,0.69,06/30/2023,Cash,$0.10,06/12/2023,07/03/2023,07/17/2023,USD,N/A,$4.21,Electronic Components,
1,N/A,$0.70,time-after-hours,HEI.A,Heico Corporation,"$19,701,387,883",Oct/2023,,7,,2023-12-18,0,,06/30/2023,Cash,$0.10,06/12/2023,07/03/2023,07/17/2023,USD,N/A,$4.21,Electronic Components,
2,12/19/2022,($0.01),time-not-supplied,UEC,Uranium Energy Corp.,"$2,542,741,239",Oct/2023,$0,1,,2023-12-18,0,0,,,,,,,,,,,
3,N/A,$0.44,time-not-supplied,EBF,"Ennis, Inc.","$573,124,582",Nov/2023,,7,,2023-12-18,0,,10/05/2023,Cash,$0.25,09/15/2023,10/06/2023,11/03/2023,USD,N/A,$4.21,Electronic Components,
4,12/21/2022,$0.05,time-after-hours,QIPT,Quipt Home Medical Corp.,"$195,239,456",Sep/2023,$0.02,3,,2023-12-18,0,0.02,,,,,,,,,,,
5,N/A,$0.21,time-not-supplied,ARKR,Ark Restaurants Corp.,"$56,405,057",Sep/2023,,7,,2023-12-18,0,,11/29/2023,Cash,$0.1875,11/08/2023,11/30/2023,12/13/2023,USD,N/A,$4.21,Electronic Components,
6,N/A,$0.12,time-not-supplied,OPXS,"Optex Systems Holdings, Inc.",,Sep/2023,,7,,2023-12-18,0,,,,,,,,,,,,
7,12/16/2022,$3.08,time-pre-market,ACN,Accenture plc,"$222,879,052,981",Nov/2023,$3.14,10,,2023-12-19,0,3.14,10/11/2023,Cash,$1.29,09/28/2023,10/12/2023,11/15/2023,USD,N/A,$0.77,EDP Services,
8,12/20/2022,$3.18,time-after-hours,FDX,FedEx Corporation,"$67,287,654,230",Nov/2023,$4.13,10,,2023-12-19,0,4.13,09/08/2023,Cash,$1.26,08/18/2023,09/11/2023,10/02/2023,USD,N/A,$0.77,EDP Services,
9,12/20/2022,$3.99,time-pre-market,FDS,FactSet Research Systems Inc.,"$16,796,215,935",Nov/2023,$4.10,9,,2023-12-19,0,4.10,08/30/2023,Cash,$0.98,08/03/2023,08/31/2023,09/21/2023,USD,N/A,$0.77,EDP Services,
10,12/20/2022,$0.44,time-after-hours,WOR,"Worthington Enterprises, Inc.","$2,590,708,115",Nov/2023,$0.81,1,,2023-12-19,0,0.81,09/14/2023,Cash,$0.32,06/28/2023,09/15/2023,09/29/2023,USD,N/A,$0.77,EDP Services,
