,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$3.77,24.42,time-not-supplied,NVDA,NVIDIA Corporation,"$13,489,157,255,418",Oct/2023,$3.03,13,,,2023-11-21,,3.77,3.03
1,$1.29,8.4,time-not-supplied,BBY,"Best Buy Co., Inc.","$432,212,672,094",Oct/2023,$1.19,13,,,2023-11-21,,1.29,1.19
2,$3.06,0.33,time-not-supplied,LOW,"Lowe's Companies, Inc.","$119,364,620,130",Oct/2023,$3.05,15,,,2023-11-21,,3.06,3.05
3,$1.25,5.93,time-not-supplied,MDT,Medtronic plc,"$106,359,048,336",Oct/2023,$1.18,14,,,2023-11-21,,1.25,1.18
4,$2.01,N/A,time-not-supplied,ADI,"Analog Devices, Inc.","$90,944,915,110",Oct/2023,$2.01,12,,,2023-11-21,,2.01,2.01
5,$1.33,3.91,time-not-supplied,ADSK,"Autodesk, Inc.","$47,308,029,397",Oct/2023,$1.28,10,,,2023-11-21,,1.33,1.28
6,$2.38,39.18,time-not-supplied,BIDU,"Baidu, Inc.","$39,746,469,883",Sep/2023,$1.71,1,,,2023-11-21,,2.38,1.71
7,$0.90,N/A,time-not-supplied,HPQ,HP Inc.,"$29,153,928,744",Oct/2023,$0.90,6,,,2023-11-21,,0.90,0.90
8,$1.90,-5.93,time-not-supplied,J,Jacobs Solutions Inc.,"$16,296,219,431",Sep/2023,$2.02,5,,,2023-11-21,,1.90,2.02
9,$2.85,16.8,time-not-supplied,DKS,Dick's Sporting Goods Inc,"$11,302,778,415",Oct/2023,$2.44,12,,,2023-11-21,,2.85,2.44
10,$0.98,-1.01,time-not-supplied,BURL,"Burlington Stores, Inc.","$11,231,267,103",Oct/2023,$0.99,10,,,2023-11-21,,0.98,0.99
11,$0.12,N/A,time-not-supplied,GDEV,GDEV Inc.,"$4,431,933,653",Sep/2023,,N/A,,,2023-11-21,,0.12,
12,$0.30,N/A,time-not-supplied,NJR,NewJersey Resources Corporation,"$4,284,476,681",Sep/2023,$0.30,2,,,2023-11-21,,0.30,0.30
13,$0.07,N/A,time-not-supplied,IQ,"iQIYI, Inc.","$4,006,085,872",Sep/2023,$0.07,2,,,2023-11-21,,0.07,0.07
14,$1.83,60.53,time-not-supplied,ANF,Abercrombie & Fitch Company,"$3,921,808,689",Oct/2023,$1.14,5,,,2023-11-21,,1.83,1.14
15,$0.49,2.08,time-not-supplied,AEO,"American Eagle Outfitters, Inc.","$3,853,973,208",Oct/2023,$0.48,8,,,2023-11-21,,0.49,0.48
16,$0.88,8.64,time-not-supplied,URBN,"Urban Outfitters, Inc.","$3,414,097,736",Oct/2023,$0.81,7,,,2023-11-21,,0.88,0.81
17,$2.82,59.32,time-not-supplied,DY,"Dycom Industries, Inc.","$3,166,193,329",Oct/2023,$1.77,5,,,2023-11-21,,2.82,1.77
18,$0.16,N/A,time-not-supplied,DLO,DLocal Limited,"$2,741,280,100",Sep/2023,$0.16,3,,,2023-11-21,,0.16,0.16
19,$0.53,55.88,time-not-supplied,KSS,Kohl's Corporation,"$2,683,661,885",Oct/2023,$0.34,7,,,2023-11-21,,0.53,0.34
20,$0.25,92.31,time-not-supplied,JWN,"Nordstrom, Inc.","$2,650,894,493",Oct/2023,$0.13,11,,,2023-11-21,,0.25,0.13
