,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts
0,$2.05,7.89,time-not-supplied,RY,Royal Bank Of Canada,"$128,007,041,273",Oct/2023,$1.90,3
1,$1.35,-1.46,time-not-supplied,TD,Toronto Dominion Bank (The),"$108,749,211,000",Oct/2023,$1.37,4
2,$1.62,31.71,time-not-supplied,DELL,Dell Technologies Inc.,"$52,036,078,430",Oct/2023,$1.23,5
3,$0.24,N/A,time-not-supplied,MRVL,"Marvell Technology, Inc.","$44,962,645,000",Oct/2023,$0.24,13
4,$1.16,2.65,time-not-supplied,CM,Canadian Imperial Bank of Commerce,"$39,158,822,352",Oct/2023,$1.13,4
5,$0.95,5.56,time-not-supplied,KR,Kroger Company (The),"$32,081,483,698",Oct/2023,$0.90,8
6,$5.07,2.22,time-not-supplied,ULTA,"Ulta Beauty, Inc.","$23,637,804,014",Oct/2023,$4.96,14
7,($0.08),20,time-not-supplied,IOT,Samsara Inc.,"$18,503,991,651",Oct/2023,($0.10),5
8,($0.05),50,time-not-supplied,PATH,"UiPath, Inc.","$14,191,121,848",Oct/2023,($0.10),4
9,($0.20),41.18,time-not-supplied,ESTC,Elastic N.V.,"$10,979,280,659",Oct/2023,($0.34),8
10,$0.40,N/A,time-not-supplied,KT,KT Corporation,"$6,631,505,360",Sep/2023,,N/A
11,$2.25,2.74,time-not-supplied,DOOO,BRP Inc.,"$4,621,171,494",Oct/2023,$2.19,4
12,$0.36,-21.74,time-not-supplied,FRO,Frontline Plc,"$4,476,888,200",Sep/2023,$0.46,2
13,$1.29,-17.83,time-not-supplied,ASO,"Academy Sports and Outdoors, Inc.","$4,150,994,476",Oct/2023,$1.57,7
14,($0.96),4.95,time-not-supplied,AMBA,"Ambarella, Inc.","$2,320,913,044",Oct/2023,($1.01),9
15,($0.14),30,time-not-supplied,PD,"PagerDuty, Inc.","$1,996,820,157",Oct/2023,($0.20),1
16,$0.51,-34.62,time-not-supplied,CBRL,"Cracker Barrel Old Country Store, Inc.","$1,633,267,945",Oct/2023,$0.78,4
17,$2.36,28.26,time-not-supplied,AMWD,American Woodmark Corporation,"$1,331,473,145",Oct/2023,$1.84,2
18,$0.11,10,time-not-supplied,CHS,"Chico's FAS, Inc.","$930,868,524",Oct/2023,$0.10,2
19,$1.49,88.61,time-not-supplied,REX,REX American Resources Corporation,"$788,543,712",Oct/2023,$0.79,1
20,$1.32,-12.58,time-not-supplied,TITN,Titan Machinery Inc.,"$586,687,956",Oct/2023,$1.51,3
21,$0.78,N/A,time-not-supplied,MOV,Movado Group Inc.,"$575,846,686",Oct/2023,,N/A
22,($0.12),29.41,time-not-supplied,ZUMZ,Zumiez Inc.,"$400,128,589",Oct/2023,($0.17),5
23,$0.59,55.26,time-not-supplied,GCT,GigaCloud Technology Inc,"$385,100,800",Sep/2023,$0.38,1
24,$0.53,3.92,time-not-supplied,BBW,"Build-A-Bear Workshop, Inc.","$368,084,769",Oct/2023,$0.51,3
25,($0.45),11.76,time-not-supplied,DOMO,"Domo, Inc.","$353,972,346",Oct/2023,($0.51),2
26,($0.03),57.14,time-not-supplied,TLYS,"Tilly's, Inc.","$244,475,460",Oct/2023,($0.07),4
27,($4.38),7.01,time-not-supplied,BIG,"Big Lots, Inc.","$173,416,161",Oct/2023,($4.71),7
28,($0.32),-3.23,time-not-supplied,DLTH,Duluth Holdings Inc.,"$173,065,810",Oct/2023,($0.31),1
29,($0.16),N/A,time-not-supplied,YI,"111, Inc.","$156,177,373",Sep/2023,,N/A
30,$0.19,46.15,time-not-supplied,AOUT,"American Outdoor Brands, Inc.","$104,528,253",Oct/2023,$0.13,2
31,($0.23),N/A,time-not-supplied,BNR,Burning Rock Biotech Limited,"$84,496,083",Sep/2023,,N/A
32,($2.39),N/A,time-not-supplied,REE,REE Automotive Ltd.,"$53,451,538",Sep/2023,,N/A
33,($0.50),N/A,time-not-supplied,KIRK,"Kirkland's, Inc.","$43,682,028",Oct/2023,,N/A
34,($9.83),-36.91,time-not-supplied,EXPR,"Express, Inc.","$33,107,797",Oct/2023,($7.18),2
35,$0.05,N/A,time-not-supplied,BOSC,B.O.S. Better Online Solutions,"$16,701,000",Sep/2023,,N/A
36,($0.43),N/A,time-not-supplied,CANF,Can-Fite Biopharma Ltd,"$9,450,260",Sep/2023,($0.43),2
37,($0.03),N/A,time-not-supplied,WAVE,Eco Wave Power Global AB (publ),"$9,156,945",Sep/2023,,N/A
