,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$9.80,0.93,time-not-supplied,AVGO,Broadcom Inc.,"$380,649,445,919",Oct/2023,$9.71,11,,,2023-12-07,,9.80,9.71
1,$2.53,11.45,time-not-supplied,LULU,lululemon athletica inc.,"$56,422,686,251",Oct/2023,$2.27,16,,,2023-12-07,,2.53,2.27
2,$1.26,5.88,time-not-supplied,DG,Dollar General Corporation,"$29,036,740,553",Oct/2023,$1.19,21,,,2023-12-07,,1.26,1.19
3,$3.47,N/A,time-not-supplied,COO,"The Cooper Companies, Inc. ","$17,083,355,197",Oct/2023,$3.47,9,,,2023-12-07,,3.47,3.47
4,$0.22,214.29,time-not-supplied,DOCU,"DocuSign, Inc.","$9,640,049,042",Oct/2023,$0.07,8,,,2023-12-07,,0.22,0.07
7,$0.56,12,time-not-supplied,CIEN,Ciena Corporation,"$6,846,579,460",Oct/2023,$0.50,8,,,2023-12-07,,0.56,0.50
11,$0.47,N/A,time-not-supplied,FIZZ,National Beverage Corp.,"$4,605,160,022",Oct/2023,,N/A,,,2023-12-07,,0.47,
12,$2.30,2.68,time-not-supplied,GMS,GMS Inc.,"$2,836,642,683",Oct/2023,$2.24,3,,,2023-12-07,,2.30,2.24
13,$1.74,N/A,time-not-supplied,IESC,"IES Holdings, Inc.","$1,508,310,951",Sep/2023,,N/A,,,2023-12-07,,1.74,
14,$0.06,-33.33,time-not-supplied,MEI,"Methode Electronics, Inc.","$796,890,943",Oct/2023,$0.09,1,,,2023-12-07,,0.06,0.09
16,$0.14,N/A,time-not-supplied,SWBI,"Smith & Wesson Brands, Inc.","$640,079,015",Oct/2023,,N/A,,,2023-12-07,,0.14,
17,$0.26,N/A,time-not-supplied,LQDT,"Liquidity Services, Inc.","$526,353,188",Sep/2023,,N/A,,,2023-12-07,,0.26,
19,$0.01,N/A,time-not-supplied,WDH,Waterdrop Inc.,"$472,477,833",Sep/2023,,N/A,,,2023-12-07,,0.01,
21,$0.18,-10,time-not-supplied,CMTL,Comtech Telecommunications Corp.,"$351,593,725",Oct/2023,$0.20,3,,,2023-12-07,,0.18,0.20
25,$0.65,150,time-not-supplied,HOFT,Hooker Furnishings Corporation,"$238,231,387",Oct/2023,$0.26,2,,,2023-12-07,,0.65,0.26
26,$0.03,200,time-not-supplied,DOYU,DouYu International Holdings Limited,"$236,314,944",Sep/2023,$0.01,1,,,2023-12-07,,0.03,0.01
27,$1.73,N/A,time-not-supplied,UONEK,"Urban One, Inc. ","$131,874,549",Jun/2023,,N/A,,,2023-12-07,,1.73,
28,$0.22,N/A,time-not-supplied,UONEK,"Urban One, Inc. ","$131,874,549",Sep/2023,,N/A,,,2023-12-07,,0.22,
29,$0.01,-90.91,time-not-supplied,DLNG,Dynagas LNG Partners LP,"$100,646,785",Sep/2023,$0.11,1,,,2023-12-07,,0.01,0.11
34,$1.73,N/A,time-not-supplied,UONE,"Urban One, Inc. ","$37,739,563",Jun/2023,,N/A,,,2023-12-07,,1.73,
35,$0.22,N/A,time-not-supplied,UONE,"Urban One, Inc. ","$37,739,563",Sep/2023,,N/A,,,2023-12-07,,0.22,
39,$0.01,N/A,time-not-supplied,IHT,InnSuites Hospitality Trust,"$12,158,378",Oct/2023,,N/A,,,2023-12-07,,0.01,
