,lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,12/15/2022,$2.78,time-after-hours,ADBE,Adobe Inc.,"$277,177,534,000",Nov/2023,$3.32,12,,,2023-12-13,,0,3.32
1,12/14/2022,$2.44,time-after-hours,NDSN,Nordson Corporation,"$13,745,054,936",Oct/2023,$2.40,5,,,2023-12-13,,0,2.40
2,11/09/2022,$0.09,time-not-supplied,SKM,"SK Telecom Co., Ltd.","$4,663,334,298",Sep/2023,,N/A,,,2023-12-13,,0,
3,N/A,$0.89,time-pre-market,ABM,ABM Industries Incorporated,"$2,857,201,914",Oct/2023,$0.93,5,,,2023-12-13,,0,0.93
4,12/13/2022,$0.60,time-pre-market,PLAB,"Photronics, Inc.","$1,307,889,009",Oct/2023,$0.53,1,,,2023-12-13,,0,0.53
5,12/14/2022,$0.25,time-pre-market,REVG,"REV Group, Inc.","$975,041,719",Oct/2023,$0.34,1,,,2023-12-13,,0,0.34
6,N/A,($0.02),time-not-supplied,SDA,SunCar Technology Group Inc.,"$706,058,136",Sep/2023,,5,,,2023-12-13,,0,
7,12/14/2022,$1.45,time-not-supplied,RICK,"RCI Hospitality Holdings, Inc.","$586,004,824",Sep/2023,$0.92,2,,,2023-12-13,,0,0.92
8,N/A,N/A,time-not-supplied,IREN,Iris Energy Limited,"$389,795,055",Sep/2023,$0.03,5,,,2023-12-13,,0,0.03
9,12/20/2022,($0.41),time-pre-market,CGNT,Cognyte Software Ltd.,"$377,931,600",Oct/2023,,N/A,,,2023-12-13,,0,
10,12/14/2022,($0.02),time-not-supplied,UROY,Uranium Royalty Corp.,"$284,045,546",Oct/2023,,N/A,,,2023-12-13,,0,
11,N/A,N/A,time-not-supplied,MSB,Mesabi Trust,"$242,326,584",Oct/2023,,5,,,2023-12-13,,0,
12,11/09/2022,$0.35,time-not-supplied,INSE,"Inspired Entertainment, Inc.","$213,853,078",Sep/2023,$0.32,1,,,2023-12-13,,0,0.32
13,N/A,$0.10,time-not-supplied,ISSC,"Innovative Solutions and Support, Inc.","$133,992,883",Sep/2023,,5,,,2023-12-13,,0,
14,N/A,($0.42),time-not-supplied,XBIT,XBiotech Inc.,"$127,226,509",Sep/2023,,5,,,2023-12-13,,0,
15,N/A,$0.46,time-not-supplied,BANX,ArrowMark Financial Corp.,"$121,525,930",Sep/2023,,5,,,2023-12-13,,0,
16,N/A,N/A,time-pre-market,QSG,QuantaSing Group Limited,"$107,651,996",Sep/2023,($0.01),5,,,2023-12-13,,0,-0.01
