Symbol,Last_chck_time,Price,ex_date,Rate,tmp,publish_Date,Amount,Industry
AGNC,2.02401E+13,$9.81 ,1/30/2024,N/A,,1/10/2024,0,Real Estate Investment Trusts
LNT,2.02401E+13,$48.85 ,1/30/2024,N/A,,1/12/2024,0,Power Generation
CALM,2.02401E+13,$56.16 ,1/30/2024,N/A,,11/27/2007,0,Farming/Seeds/Milling
CCLP,2.02401E+13,$1.90 ,1/30/2024,N/A,,1/18/2024,0,Oilfield Services/Equipment
ENTG,2.02401E+13,$120.39 ,1/30/2024,N/A,,1/17/2024,0,Plastic Products
FRMEP,2.02401E+13,$25.95 ,1/30/2024,N/A,,1/18/2024,0,Major Banks
LXP^C,2.02401E+13,$46.96 ,1/30/2024,6.92%,,10/31/2023,3.25,N/A
MCBS,2.02401E+13,$24.48 ,1/30/2024,N/A,,1/17/2024,0,Major Banks
NTIC,2.02401E+13,$13.29 ,1/30/2024,N/A,,1/17/2024,0,Industrial Specialties
OCFCP,2.02401E+13,$24.76 ,1/30/2024,N/A,,1/17/2024,0,Major Banks
PAA,2.02401E+13,$16.30 ,1/30/2024,N/A,,1/8/2024,0,Natural Gas Distribution
PAGP,2.02401E+13,$17.04 ,1/30/2024,N/A,,1/8/2024,0,Oil & Gas Production
SQFTP,2.02401E+13,$15.93 ,1/30/2024,N/A,,12/18/2023,0,Real Estate Investment Trusts
RBB,2.02401E+13,$18.75 ,1/30/2024,N/A,,1/18/2024,0,Major Banks
SCHL,2.02401E+13,$39.81 ,1/30/2024,N/A,,12/13/2023,0,Books
BSRR,2.02401E+13,$21.90 ,1/30/2024,N/A,,1/18/2024,0,Major Banks
TXN,2.02401E+13,$164.09 ,1/30/2024,N/A,,1/18/2024,0,Semiconductors
NBH,2.02401E+13,$10.20 ,1/30/2024,4.44%,,1/16/2024,0.4529,Finance/Investors Services
WST,2.02401E+13,$361.36 ,1/30/2024,0.22%,,12/6/2023,0.8,Medical/Dental Instruments
MTR,2.02401E+13,$10.88 ,1/30/2024,3.40%,,1/18/2024,0.3022,Oil & Gas Production
PBT,2.02401E+13,$15.01 ,1/30/2024,8.49%,,1/19/2024,0.3724,Oil & Gas Production
SJT,2.02401E+13,$5.05 ,1/30/2024,2.93%,,1/19/2024,0.1952,Oil & Gas Production
AOS,2.02401E+13,$80.92 ,1/30/2024,1.58%,,1/16/2024,1.28,Consumer Electronics/Appliances
NNN,2.02401E+13,$41.13 ,1/30/2024,5.49%,,1/16/2024,2.26,Real Estate Investment Trusts
DNP,2.02401E+13,$8.84 ,1/30/2024,8.82%,,12/14/2023,0.78,Investment Managers
CRT,2.02401E+13,$18.23 ,1/30/2024,9.41%,,1/19/2024,1.3839,Oil & Gas Production
