companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Cincinnati Financial Corporation Common Stock,CINF,3/18/2024,4/15/2024,3/19/2024,0.81,3.0,1/26/2024
J & J Snack Foods Corp. Common Stock,JJSF,3/18/2024,4/09/2024,3/19/2024,0.735,2.94,2/14/2024
"OFS Credit Company, Inc. 5.25% Series E Term Preferred Stock Due 2026",OCCIN,3/18/2024,3/29/2024,3/19/2024,0.109375,1.3125,2/01/2024
"OFS Credit Company, Inc. 6.125% Series C Term Preferred Stock",OCCIO,3/18/2024,3/29/2024,3/19/2024,0.1276042,1.53125,2/01/2024
"OFS Credit Company, Inc. Common Stock",OCCI,3/18/2024,3/29/2024,3/19/2024,0.1,1.2,2/01/2024
STMicroelectronics N.V. Common Stock,STM,3/18/2024,3/26/2024,3/19/2024,0.06,0.24,3/23/2023
TotalEnergies SE,TTE,3/18/2024,4/15/2024,3/19/2024,0.8096636,3.2387,1/08/2024
Amphenol Corporation Common Stock,APH,3/18/2024,4/10/2024,3/19/2024,0.22,0.88,2/01/2024
STMicroelectronics N.V. Common Stock,STM,3/18/2024,3/26/2024,3/19/2024,0.06,0.24,3/23/2023
Taiwan Semiconductor Manufacturing Company Ltd.,TSM,3/18/2024,4/11/2024,3/19/2024,0.54146,2.1658,N/A
Avient Corporation Common Stock,AVNT,3/18/2024,4/05/2024,3/19/2024,0.2575,1.03,2/12/2024
Cielo S.A ADR,CIOXY,3/18/2024,5/07/2024,3/19/2024,0.0198283,0.0491,N/A
