,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,BWXT,20231119155007,$77.01,11/20/2023,1.19%,,10/30/2023,0.92,Industrial Machinery/Components,,
1,TAST,20231119155009,$7.01,11/20/2023,N/A,,11/09/2023,0.0,Restaurants,,
2,CTSH,20231119155011,$68.48,11/20/2023,1.69%,,11/01/2023,1.16,EDP Services,,
3,USOI,20231119155013,$68.48,11/20/2023,1.69%,,11/03/2023,16.134,EDP Services,,
4,GLDI,20231119155015,$68.48,11/20/2023,1.69%,,11/03/2023,4.8216,EDP Services,,
5,SLVO,20231119155017,$68.48,11/20/2023,1.69%,,11/03/2023,3.5892,EDP Services,,
6,E,20231119155018,$32.33,11/20/2023,6.43%,,10/31/2023,2.0131,Oil & Gas Production,,
7,JNJ,20231119155020,$150.10,11/20/2023,3.18%,,10/19/2023,4.76,Biotechnology: Pharmaceutical Preparations,,
8,PFIN,20231119155022,$12.88,11/20/2023,1.55%,,11/08/2023,0.2,Industrial Machinery/Components,,
9,PIPR,20231119155024,$152.51,11/20/2023,1.55%,,10/27/2023,2.4,Investment Bankers/Brokers/Service,,
10,SWKS,20231119155026,$93.37,11/20/2023,2.91%,,11/02/2023,2.72,Semiconductors,,
11,STE,20231119155029,$203.42,11/20/2023,1.04%,,10/31/2023,2.08,Industrial Specialties,,
12,FTI,20231119155030,$20.14,11/20/2023,0.97%,,10/24/2023,0.2,Metal Fabrications,,
13,CG,20231119155033,$31.44,11/20/2023,4.45%,,11/03/2023,1.4,Investment Managers,,
14,WMG,20231119155034,$31.24,11/20/2023,2.18%,,11/19/2023,0.68,Services-Misc. Amusement & Recreation,,
15,PRMW,20231119155036,$14.17,11/20/2023,2.24%,,11/02/2023,0.32,Farming/Seeds/Milling,,
16,JNJ,20231119155037,$150.10,11/20/2023,3.18%,,10/19/2023,4.76,Biotechnology: Pharmaceutical Preparations,,
17,SNA,20231119155039,$274.72,11/20/2023,2.33%,,11/02/2023,7.44,Industrial Machinery/Components,,
18,DHI,20231119155041,$127.63,11/20/2023,0.78%,,11/07/2023,1.2,Homebuilding,,
19,E,20231119155043,$32.33,11/20/2023,6.43%,,10/31/2023,1.9449,Oil & Gas Production,,
20,GGB,20231119155044,$4.99,11/20/2023,11.96%,,11/07/2023,0.705,Steel/Iron Ore,,
21,PRU,20231119155046,$94.63,11/20/2023,5.22%,,11/07/2023,5.0,Life Insurance,,
22,TS,20231119155048,$33.55,11/20/2023,1.98%,,11/02/2023,0.4,Steel/Iron Ore,,
23,PIPR,20231119155050,$152.51,11/20/2023,1.55%,,10/27/2023,2.4,Investment Bankers/Brokers/Service,,
24,WLK,20231119155053,$128.14,11/20/2023,1.54%,,11/10/2023,2.0,Major Chemicals,,
25,DHT,20231119155055,$10.16,11/20/2023,13.51%,,11/03/2023,0.76,Marine Transportation,,
26,PRI,20231119155057,$204.15,11/20/2023,1.24%,,11/07/2023,2.6,Life Insurance,,
27,BWXT,20231119155058,$77.01,11/20/2023,1.19%,,10/30/2023,0.92,Industrial Machinery/Components,,
28,XYL,20231119155100,$101.26,11/20/2023,1.3%,,11/09/2023,1.32,Fluid Controls,,
29,FTI,20231119155102,$20.14,11/20/2023,0.97%,,10/24/2023,0.2,Metal Fabrications,,
30,STE,20231119155105,$203.42,11/20/2023,1.04%,,10/31/2023,2.08,Industrial Specialties,,
31,FSCO,20231119155107,$5.68,11/20/2023,12.04%,,11/08/2023,0.684,"Trusts, Except Educational, Religious, and Charitable",,
32,HIYS,20231119155109,$5.68,11/20/2023,12.04%,,11/17/2023,1.855,"Trusts, Except Educational, Religious, and Charitable",,
33,ICLO,20231119155111,$5.68,11/20/2023,12.04%,,11/17/2023,1.6472,"Trusts, Except Educational, Religious, and Charitable",,
34,ISDB,20231119155113,$5.68,11/20/2023,12.04%,,11/17/2023,1.3872,"Trusts, Except Educational, Religious, and Charitable",,
35,STR,20231119155114,$22.34,11/20/2023,7.05%,,11/08/2023,1.96,Oil & Gas Production,,
36,XSHD,20231119155116,$22.34,11/20/2023,7.05%,,11/17/2023,1.2463,Oil & Gas Production,,
37,CEFS,20231119155117,$22.34,11/20/2023,7.05%,,11/17/2023,1.6387,Oil & Gas Production,,
38,IVRA,20231119155118,$22.34,11/20/2023,7.05%,,11/17/2023,0.3096,Oil & Gas Production,,
39,MINN,20231119155120,$22.34,11/20/2023,7.05%,,11/17/2023,0.4881,Oil & Gas Production,,
40,IMSI,20231119155121,$22.34,11/20/2023,7.05%,,11/17/2023,2.0454,Oil & Gas Production,,
41,ATCD,20231119155123,"$1,235.00",11/20/2023,4.87%,,11/09/2023,60.14,N/A,,
42,CHTM,20231119155125,"$1,856.95",11/20/2023,3.2%,,11/09/2023,59.62,N/A,,
43,OTCM,20231119155126,$60.00,11/20/2023,1.2%,,11/08/2023,0.72,N/A,,
44,ISNPY,20231119155128,$17.25,11/20/2023,4.67%,,N/A,1.3258,N/A,,
45,GULRY,20231119155130,$15.24,11/20/2023,1.48%,,N/A,1.1786,N/A,,
46,OCLDY,20231119155133,$10.48,11/20/2023,2.04%,,N/A,0.2816,N/A,,
47,MDIBY,20231119155135,$12.5095,11/20/2023,4.19%,,N/A,0.6237,N/A,,
48,DNIYY,20231119155137,$20.90,11/20/2023,0.96%,,N/A,0.2346,N/A,,
49,AMCR,20231119155141,$9.28,11/21/2023,5.23%,,10/31/2023,0.5,Miscellaneous manufacturing industries,,
50,B,20231119155142,$25.65,11/21/2023,2.44%,,10/12/2023,0.64,Metal Fabrications,,
51,BWG,20231119155233,$7.83,11/21/2023,12.18%,,8/02/2023,0.99,Finance/Investors Services,,
52,BC,20231119155235,$75.61,11/21/2023,2.07%,,10/17/2023,1.6,Industrial Machinery/Components,,
53,DFS,20231119155237,$84.20,11/21/2023,3.24%,,10/18/2023,2.8,Finance: Consumer Services,,
54,EMD,20231119155238,$8.57,11/21/2023,11.67%,,8/02/2023,1.014,Finance/Investors Services,,
55,EVM,20231119155240,$8.625,11/21/2023,4.03%,,11/01/2023,0.3504,Finance/Investors Services,,
56,ETV,20231119155243,$12.12,11/21/2023,9.31%,,11/01/2023,1.1388,Investment Bankers/Brokers/Service,,
57,ETW,20231119155245,$7.64,11/21/2023,9.11%,,11/01/2023,0.6984,Investment Managers,,
