,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,BWXT,20231119152744,$77.01,11/20/2023,1.19%,,10/30/2023,0.92,Industrial Machinery/Components,,
1,TAST,20231119152750,$7.01,11/20/2023,N/A,,11/09/2023,0.0,Restaurants,,
2,CTSH,20231119152752,$68.48,11/20/2023,1.69%,,11/01/2023,1.16,EDP Services,,
3,USOI,20231119152754,$68.48,11/20/2023,1.69%,,11/03/2023,16.134,EDP Services,,
4,GLDI,20231119152756,$68.48,11/20/2023,1.69%,,11/03/2023,4.8216,EDP Services,,
5,SLVO,20231119152757,$68.48,11/20/2023,1.69%,,11/03/2023,3.5892,EDP Services,,
6,E,20231119152759,$32.33,11/20/2023,6.43%,,10/31/2023,2.0131,Oil & Gas Production,,
7,JNJ,20231119152801,$150.10,11/20/2023,3.18%,,10/19/2023,4.76,Biotechnology: Pharmaceutical Preparations,,
8,PFIN,20231119152808,$12.88,11/20/2023,1.55%,,11/08/2023,0.2,Industrial Machinery/Components,,
9,PIPR,20231119152810,$152.51,11/20/2023,1.55%,,10/27/2023,2.4,Investment Bankers/Brokers/Service,,
10,SWKS,20231119152812,$93.37,11/20/2023,2.91%,,11/02/2023,2.72,Semiconductors,,
11,STE,20231119152813,$203.42,11/20/2023,1.04%,,10/31/2023,2.08,Industrial Specialties,,
12,FTI,20231119152816,$20.14,11/20/2023,0.97%,,10/24/2023,0.2,Metal Fabrications,,
13,CG,20231119152818,$31.44,11/20/2023,4.45%,,11/03/2023,1.4,Investment Managers,,
14,WMG,20231119152820,$31.24,11/20/2023,2.18%,,11/19/2023,0.68,Services-Misc. Amusement & Recreation,,
15,PRMW,20231119152822,$14.17,11/20/2023,2.24%,,11/02/2023,0.32,Farming/Seeds/Milling,,
16,JNJ,20231119152824,$150.10,11/20/2023,3.18%,,10/19/2023,4.76,Biotechnology: Pharmaceutical Preparations,,
17,SNA,20231119152835,$274.72,11/20/2023,2.33%,,11/02/2023,7.44,Industrial Machinery/Components,,
18,DHI,20231119152837,$127.63,11/20/2023,0.78%,,11/07/2023,1.2,Homebuilding,,
19,E,20231119152841,$32.33,11/20/2023,6.43%,,10/31/2023,1.9449,Oil & Gas Production,,
20,GGB,20231119152852,$4.99,11/20/2023,11.96%,,11/07/2023,0.705,Steel/Iron Ore,,
21,PRU,20231119152854,$94.63,11/20/2023,5.22%,,11/07/2023,5.0,Life Insurance,,
22,TS,20231119152856,$33.55,11/20/2023,1.98%,,11/02/2023,0.4,Steel/Iron Ore,,
