,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,AAON,20231119205405,$62.49,11/28/2023,0.51%,,11/09/2023,0.32,Industrial Machinery/Components,,
1,EA,20231119205407,$133.40,11/28/2023,0.57%,,10/31/2023,0.76,Computer Software: Prepackaged Software,,
2,NPO,20231119205408,$124.08,11/28/2023,0.93%,,10/25/2023,1.16,N/A,,
3,IGT,20231119205410,$26.75,11/28/2023,2.98%,,10/27/2023,0.8,Services-Misc. Amusement & Recreation,,
4,PAHC,20231119205412,$10.53,11/28/2023,4.56%,,11/06/2023,0.48,Biotechnology: Pharmaceutical Preparations,,
5,PVH,20231119205414,$82.86,11/28/2023,0.18%,,11/01/2023,0.15,Apparel,,
6,TFSL,20231119205415,$13.38,11/28/2023,8.45%,,11/15/2023,1.13,Savings Institutions,,
7,PVH,20231119205416,$82.86,11/28/2023,0.18%,,11/01/2023,0.15,Apparel,,
8,EG,20231119205418,$399.31,11/28/2023,1.77%,,11/09/2023,7.0,Property-Casualty Insurers,,
9,NPO,20231119205420,$124.08,11/28/2023,0.93%,,10/25/2023,1.16,N/A,,
10,CCS,20231119205421,$72.13,11/28/2023,1.28%,,11/08/2023,0.92,Homebuilding,,
11,IGT,20231119205423,$26.75,11/28/2023,2.98%,,10/27/2023,0.8,Services-Misc. Amusement & Recreation,,
12,ENR,20231119205424,$32.36,11/28/2023,3.73%,,11/06/2023,1.2,Industrial Machinery/Components,,
13,NETI,20231119205426,$9.93,11/28/2023,0.39%,,11/14/2023,0.04,Marine Transportation,,
14,KNSL,20231119205427,$352.94,11/28/2023,0.16%,,11/15/2023,0.56,Property-Casualty Insurers,,
15,ATMP,20231119205429,$352.94,11/28/2023,0.16%,,11/17/2023,1.1708,Property-Casualty Insurers,,
16,HARL,20231119205431,$23.75,11/28/2023,5%,,11/15/2023,1.2,N/A,,
17,LNVGY,20231119205432,$24.15,11/28/2023,6.03%,,N/A,0.3701,N/A,,
18,CMRF,20231119205434,$3.70,11/28/2023,N/A,,8/08/2023,0.0367,N/A,,
19,MPFRY,20231119205435,$4.25,11/28/2023,6.24%,,N/A,0.1806,N/A,,
20,INDOY,20231119205437,$7.07,11/28/2023,1.58%,,N/A,0.1127,N/A,,
21,AEFC,20231119205439,$20.57,11/29/2023,6.17%,,11/19/2023,1.275,N/A,,
22,AGNC,20231119205440,$8.68,11/29/2023,16.59%,,11/08/2023,1.44,Real Estate Investment Trusts,,
23,ASTL,20231119205442,$7.51,11/29/2023,2.66%,,11/02/2023,0.2,Steel/Iron Ore,,
24,AIG^A,20231119205444,$23.90,11/29/2023,6.16%,,11/01/2023,1.4625,N/A,,
25,ARCH,20231119205445,$153.05,11/29/2023,9.34%,,10/26/2023,0.0,Coal Mining,,
26,AIC,20231119205447,$24.43,11/29/2023,6.92%,,11/19/2023,1.6875,Real Estate Investment Trusts,,
27,AY,20231119205449,$18.87,11/29/2023,9.43%,,11/07/2023,1.78,Electric Utilities: Central,,
28,BOH,20231119205450,$56.16,11/29/2023,4.93%,,10/23/2023,2.8,Major Banks,,
29,GOLD,20231119205452,$15.88,11/29/2023,2.55%,,11/02/2023,0.4,N/A,,
30,BIPC,20231119205454,$31.74,11/29/2023,4.82%,,11/01/2023,1.53,N/A,,
31,BIP,20231119205455,$27.51,11/29/2023,5.59%,,11/01/2023,1.53,Power Generation,,
32,CCLDP,20231119205457,$17.45,11/29/2023,15.76%,,8/01/2023,2.75004,Computer Software: Prepackaged Software,,
33,CCLDO,20231119205459,$14.6782,11/29/2023,14.9%,,8/01/2023,2.18748,Computer Software: Prepackaged Software,,
34,CPF,20231119205500,$17.69,11/29/2023,5.83%,,10/24/2023,1.04,Major Banks,,
35,CR,20231119205502,$105.68,11/29/2023,0.68%,,10/23/2023,0.72,Office Equipment/Supplies/Services,,
36,CCAP,20231119205504,$16.435,11/29/2023,9.98%,,11/19/2023,1.64,Finance: Consumer Services,,
37,CSX,20231119205505,$31.33,11/29/2023,1.4%,,10/11/2023,0.44,Railroads,,
38,CFR,20231119205507,$98.31,11/29/2023,3.71%,,10/26/2023,3.68,Major Banks,,
