AAT,20231205003722,,12/06/2023,,,10/24/2023,1.32,,,
ARIS,20231205003723,,12/06/2023,,,11/01/2023,0.36,,,
DNB,20231205003725,,12/06/2023,,,10/26/2023,0.2,,,
GAM^B,20231205003726,,12/06/2023,,,11/01/2023,1.4875,,,
HIBB,20231205003728,,12/06/2023,,,11/20/2023,1.0,,,
KIM,20231205003729,,12/06/2023,,,10/26/2023,0.96,,,
MOS,20231205003731,,12/06/2023,,,10/18/2023,0.8,,,
BPOP,20231205003732,,12/06/2023,,,11/16/2023,2.2,,,
RPT,20231205003733,,12/06/2023,,,10/25/2023,0.56,,,
UNF,20231205003735,,12/06/2023,,,10/24/2023,1.32,,,
WVVIP,20231205003736,,12/06/2023,,,11/08/2023,0.22,,,
HAL,20231205003738,,12/06/2023,,,11/17/2023,0.64,,,
UNF,20231205003739,,12/06/2023,,,10/24/2023,1.32,,,
RPT,20231205003740,,12/06/2023,,,11/13/2023,0.56,,,
RPT,20231205003741,,12/06/2023,,,10/25/2023,0.56,,,
KIM,20231205003743,,12/06/2023,,,11/13/2023,0.96,,,
KIM,20231205003744,,12/06/2023,,,10/26/2023,0.96,,,
SQM,20231205003745,,12/06/2023,,,11/17/2023,2.0139,,,
MPW,20231205003746,,12/06/2023,,,11/09/2023,0.6,,,
FNV,20231205003748,,12/06/2023,,,11/08/2023,1.36,,,
BLK,20231205003749,,12/06/2023,,,11/08/2023,20.0,,,
AAT,20231205003751,,12/06/2023,,,10/24/2023,1.32,,,
MOS,20231205003752,,12/06/2023,,,10/18/2023,0.8,,,
NVGS,20231205003754,,12/06/2023,,,11/13/2023,0.2,,,
DCF,20231205003755,,12/06/2023,,,11/22/2023,0.42,,,
DNB,20231205003756,,12/06/2023,,,10/26/2023,0.2,,,
ARIS,20231205003758,,12/06/2023,,,11/01/2023,0.36,,,
CLCO,20231205003759,,12/06/2023,,,11/27/2023,1.64,,,
CMUV,20231205003801,,12/06/2023,,,11/16/2023,0.48,,,
OTCM,20231205003802,,12/06/2023,,,11/08/2023,0.72,,,
FRFC,20231205003804,,12/06/2023,,,11/21/2023,1.28,,,
FGROY,20231205003805,,12/06/2023,,,N/A,0.0318,,,
VTKLY,20231205003806,,12/06/2023,,,N/A,0.2992,,,
STRNY,20231205003808,,12/06/2023,,,N/A,1.0786,,,
BGAOY,20231205003809,,12/06/2023,,,N/A,0.1339,,,
GCHOY,20231205003811,,12/06/2023,,,N/A,0.2579,,,
GCHOY,20231205003812,,12/06/2023,,,N/A,0.2579,,,
AUBN,20231205003813,,12/07/2023,,,11/14/2023,1.08,,,
ADP,20231205003815,,12/07/2023,,,11/08/2023,5.0,,,
BHFAP,20231205003816,,12/07/2023,,,11/15/2023,1.65,,,
BHFAO,20231205003817,,12/07/2023,,,11/15/2023,1.6875,,,
BHFAM,20231205003819,,12/07/2023,,,11/15/2023,1.15625,,,
BHFAN,20231205003820,,12/07/2023,,,11/15/2023,1.34375,,,
CME,20231205003822,,12/07/2023,,,11/09/2023,4.4,,,
ESEA,20231205003823,,12/07/2023,,,11/09/2023,2.0,,,
EXPO,20231205003824,,12/07/2023,,,10/24/2023,1.04,,,
FATBP,20231205003826,,12/07/2023,,,11/14/2023,2.0625,,,
FIS,20231205003827,,12/07/2023,,,10/19/2023,2.08,,,
FFNW,20231205003829,,12/07/2023,,,11/10/2023,0.52,,,
FUSB,20231205003830,,12/07/2023,,,11/15/2023,0.2,,,
FFIC,20231205003832,,12/07/2023,,,11/21/2023,0.88,,,
AAT,20231205003722,,12/06/2023,,,10/24/2023,1.32,,,
ARIS,20231205003723,,12/06/2023,,,11/01/2023,0.36,,,
DNB,20231205003725,,12/06/2023,,,10/26/2023,0.2,,,
GAM^B,20231205003726,,12/06/2023,,,11/01/2023,1.4875,,,
HIBB,20231205003728,,12/06/2023,,,11/20/2023,1.0,,,
KIM,20231205003729,,12/06/2023,,,10/26/2023,0.96,,,
MOS,20231205003731,,12/06/2023,,,10/18/2023,0.8,,,
BPOP,20231205003732,,12/06/2023,,,11/16/2023,2.2,,,
RPT,20231205003733,,12/06/2023,,,10/25/2023,0.56,,,
UNF,20231205003735,,12/06/2023,,,10/24/2023,1.32,,,
WVVIP,20231205003736,,12/06/2023,,,11/08/2023,0.22,,,
HAL,20231205003738,,12/06/2023,,,11/17/2023,0.64,,,
UNF,20231205003739,,12/06/2023,,,10/24/2023,1.32,,,
RPT,20231205003740,,12/06/2023,,,11/13/2023,0.56,,,
RPT,20231205003741,,12/06/2023,,,10/25/2023,0.56,,,
KIM,20231205003743,,12/06/2023,,,11/13/2023,0.96,,,
KIM,20231205003744,,12/06/2023,,,10/26/2023,0.96,,,
SQM,20231205003745,,12/06/2023,,,11/17/2023,2.0139,,,
MPW,20231205003746,,12/06/2023,,,11/09/2023,0.6,,,
FNV,20231205003748,,12/06/2023,,,11/08/2023,1.36,,,
BLK,20231205003749,,12/06/2023,,,11/08/2023,20.0,,,
AAT,20231205003751,,12/06/2023,,,10/24/2023,1.32,,,
MOS,20231205003752,,12/06/2023,,,10/18/2023,0.8,,,
NVGS,20231205003754,,12/06/2023,,,11/13/2023,0.2,,,
DCF,20231205003755,,12/06/2023,,,11/22/2023,0.42,,,
DNB,20231205003756,,12/06/2023,,,10/26/2023,0.2,,,
ARIS,20231205003758,,12/06/2023,,,11/01/2023,0.36,,,
CLCO,20231205003759,,12/06/2023,,,11/27/2023,1.64,,,
CMUV,20231205003801,,12/06/2023,,,11/16/2023,0.48,,,
OTCM,20231205003802,,12/06/2023,,,11/08/2023,0.72,,,
