,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
0,ALB,20231212224513,$126.54,12/14/2023,1.25%,,10/23/2023,1.6,Major Chemicals,,
1,AQNB,20231212224530,$24.8316,12/14/2023,6.29%,,12/12/2023,1.55,Electric Utilities: Central,,
2,AFGB,20231212224531,$22.96,12/14/2023,6.43%,,12/12/2023,1.4688,Property-Casualty Insurers,,
3,AMH,20231212224533,$35.20,12/14/2023,2.48%,,10/30/2023,0.88,Real Estate Investment Trusts,,
4,AMH^G,20231212224534,$23.45,12/14/2023,6.26%,,10/30/2023,1.4688,N/A,,
5,AMH^H,20231212224536,$24.73,12/14/2023,6.29%,,10/30/2023,1.5625,N/A,,
6,ACGLO,20231212224537,$22.6851,12/14/2023,6.01%,,11/10/2023,1.3625,Property-Casualty Insurers,,
7,ACGLN,20231212224539,$19.4456,12/14/2023,5.85%,,11/10/2023,1.1375,Property-Casualty Insurers,,
8,ARCC,20231212224540,$20.06,12/14/2023,9.57%,,10/24/2023,1.92,Finance/Investors Services,,
9,ARES,20231212224542,$110.72,12/14/2023,2.75%,,10/31/2023,3.08,Investment Managers,,
10,AVNT,20231212224544,$36.55,12/14/2023,2.74%,,10/12/2023,1.03,Major Chemicals,,
11,CAR,20231212224545,$197.46,12/14/2023,N/A,,12/05/2023,0.0,Rental/Leasing Companies,,
12,BWNB,20231212224547,$17.8197,12/14/2023,9.09%,,12/12/2023,1.625,Building Products,,
13,BIPI,20231212224548,$16.32,12/14/2023,7.71%,,12/12/2023,1.2812,N/A,,
14,BKCC,20231212224549,$3.95,12/14/2023,10.13%,,11/07/2023,0.4,Finance: Consumer Services,,
15,TCPC,20231212224552,$12.19,12/14/2023,14.44%,,11/02/2023,1.76,Finance/Investors Services,,
16,BIPH,20231212224554,$15.98,12/14/2023,7.66%,,12/12/2023,1.25,N/A,,
17,CFFI,20231212224555,$61.72,12/14/2023,2.85%,,11/21/2023,1.76,Major Banks,,
18,CADE,20231212224557,$27.86,12/14/2023,3.37%,,10/25/2023,0.94,Major Banks,,
19,CSWC,20231212224558,$23.06,12/14/2023,10.75%,,10/25/2023,2.48,Finance/Investors Services,,
20,CSSEN,20231212224600,$17.26,12/14/2023,13.76%,,12/12/2023,2.375,Movies/Entertainment,,
21,CIM^C,20231212224601,$19.50,12/14/2023,9.95%,,11/02/2023,1.9375,N/A,,
22,CIM^A,20231212224603,$20.85,12/14/2023,9.57%,,11/02/2023,2.0,N/A,,
23,CIM^B,20231212224604,$23.8068,12/14/2023,8.44%,,11/02/2023,2.0,N/A,,
24,CIM^D,20231212224606,$23.25,12/14/2023,8.57%,,11/02/2023,2.0,N/A,,
25,COFS,20231212224607,$27.35,12/14/2023,3.8%,,11/29/2023,1.04,Major Banks,,
26,CZFS,20231212224609,$62.02,12/14/2023,3.16%,,12/05/2023,1.96,Major Banks,,
27,CIZN,20231212224610,$9.57,12/14/2023,6.69%,,11/30/2023,0.64,Major Banks,,
28,CTBI,20231212224612,$42.41,12/14/2023,4.34%,,10/24/2023,1.84,Major Banks,,
29,CNFRZ,20231212224613,$16.02,12/14/2023,8.79%,,12/05/2023,1.408332,N/A,,
30,CLM,20231212224615,$7.49,12/14/2023,19.6%,,8/04/2023,1.4736,Finance/Investors Services,,
31,CRF,20231212224617,$7.40,12/14/2023,19%,,8/04/2023,1.4076,Finance/Investors Services,,
32,CCI,20231212224618,$114.52,12/14/2023,5.49%,,10/18/2023,6.26,Real Estate Investment Trusts,,
33,CRWS,20231212224620,$5.085,12/14/2023,6.29%,,11/14/2023,0.32,Textiles,,
34,CUBB,20231212224622,$19.60,12/14/2023,6.8%,,12/12/2023,1.3438,Major Banks,,
35,SREA,20231212224623,$23.805,12/14/2023,6.1%,,12/12/2023,1.4375,Natural Gas Distribution,,
36,DPZ,20231212224625,$397.48,12/14/2023,1.22%,,10/10/2023,4.84,Food Distributors,,
37,ECCV,20231212224626,$22.20,12/14/2023,6.05%,,12/12/2023,1.3587,"Trusts, Except Educational, Religious, and Charitable",,
