ALB,20231212224513,$126.54,12/14/2023,1.25%,,10/23/2023,1.6,Major Chemicals,,
AQNB,20231212224530,$24.8316,12/14/2023,6.29%,,12/12/2023,1.55,Electric Utilities: Central,,
AFGB,20231212224531,$22.96,12/14/2023,6.43%,,12/12/2023,1.4688,Property-Casualty Insurers,,
AMH,20231212224533,$35.20,12/14/2023,2.48%,,10/30/2023,0.88,Real Estate Investment Trusts,,
AMH^G,20231212224534,$23.45,12/14/2023,6.26%,,10/30/2023,1.4688,N/A,,
AMH^H,20231212224536,$24.73,12/14/2023,6.29%,,10/30/2023,1.5625,N/A,,
ACGLO,20231212224537,$22.6851,12/14/2023,6.01%,,11/10/2023,1.3625,Property-Casualty Insurers,,
ACGLN,20231212224539,$19.4456,12/14/2023,5.85%,,11/10/2023,1.1375,Property-Casualty Insurers,,
ARCC,20231212224540,$20.06,12/14/2023,9.57%,,10/24/2023,1.92,Finance/Investors Services,,
ARES,20231212224542,$110.72,12/14/2023,2.75%,,10/31/2023,3.08,Investment Managers,,
AVNT,20231212224544,$36.55,12/14/2023,2.74%,,10/12/2023,1.03,Major Chemicals,,
CAR,20231212224545,$197.46,12/14/2023,N/A,,12/05/2023,0.0,Rental/Leasing Companies,,
BWNB,20231212224547,$17.8197,12/14/2023,9.09%,,12/12/2023,1.625,Building Products,,
BIPI,20231212224548,$16.32,12/14/2023,7.71%,,12/12/2023,1.2812,N/A,,
BKCC,20231212224549,$3.95,12/14/2023,10.13%,,11/07/2023,0.4,Finance: Consumer Services,,
TCPC,20231212224552,$12.19,12/14/2023,14.44%,,11/02/2023,1.76,Finance/Investors Services,,
BIPH,20231212224554,$15.98,12/14/2023,7.66%,,12/12/2023,1.25,N/A,,
CFFI,20231212224555,$61.72,12/14/2023,2.85%,,11/21/2023,1.76,Major Banks,,
CADE,20231212224557,$27.86,12/14/2023,3.37%,,10/25/2023,0.94,Major Banks,,
CSWC,20231212224558,$23.06,12/14/2023,10.75%,,10/25/2023,2.48,Finance/Investors Services,,
CSSEN,20231212224600,$17.26,12/14/2023,13.76%,,12/12/2023,2.375,Movies/Entertainment,,
CIM^C,20231212224601,$19.50,12/14/2023,9.95%,,11/02/2023,1.9375,N/A,,
CIM^A,20231212224603,$20.85,12/14/2023,9.57%,,11/02/2023,2.0,N/A,,
CIM^B,20231212224604,$23.8068,12/14/2023,8.44%,,11/02/2023,2.0,N/A,,
CIM^D,20231212224606,$23.25,12/14/2023,8.57%,,11/02/2023,2.0,N/A,,
COFS,20231212224607,$27.35,12/14/2023,3.8%,,11/29/2023,1.04,Major Banks,,
CZFS,20231212224609,$62.02,12/14/2023,3.16%,,12/05/2023,1.96,Major Banks,,
CIZN,20231212224610,$9.57,12/14/2023,6.69%,,11/30/2023,0.64,Major Banks,,
CTBI,20231212224612,$42.41,12/14/2023,4.34%,,10/24/2023,1.84,Major Banks,,
CNFRZ,20231212224613,$16.02,12/14/2023,8.79%,,12/05/2023,1.408332,N/A,,
CLM,20231212224615,$7.49,12/14/2023,19.6%,,8/04/2023,1.4736,Finance/Investors Services,,
